|dates|Treasure_Montana_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Treasure_Montana_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Treasure_Montana_UnitedStates.Male_Total_Population.data|Treasure_Montana_UnitedStates.Male_Total_Population.missing|Treasure_Montana_UnitedStates.Female_Total_Population.data|Treasure_Montana_UnitedStates.Female_Total_Population.missing|Treasure_Montana_UnitedStates.MaleAndFemale_Under18_Population.data|Treasure_Montana_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-11-25|194.0|0|340.0|0|339.0|0|142.0|0
0|2021-11-26|194.0|0|340.0|0|339.0|0|142.0|0
0|2021-11-27|194.0|0|340.0|0|339.0|0|142.0|0
0|2021-11-28|194.0|0|340.0|0|339.0|0|142.0|0
0|2021-11-29|194.0|0|340.0|0|339.0|0|142.0|0
0|2021-11-30|194.0|0|340.0|0|339.0|0|142.0|0
0|2021-12-01|194.0|0|340.0|0|339.0|0|142.0|0
0|2021-12-02|194.0|0|340.0|0|339.0|0|142.0|0
0|2021-12-03|194.0|0|340.0|0|339.0|0|142.0|0
0|2021-12-04|194.0|0|340.0|0|339.0|0|142.0|0
0|2021-12-05|194.0|0|340.0|0|339.0|0|142.0|0
0|2021-12-06|194.0|0|340.0|0|339.0|0|142.0|0
0|2021-12-07|194.0|0|340.0|0|339.0|0|142.0|0
0|2021-12-08|194.0|0|340.0|0|339.0|0|142.0|0
0|2021-12-09|194.0|0|340.0|0|339.0|0|142.0|0
0|2021-12-10|194.0|0|340.0|0|339.0|0|142.0|0
0|2021-12-11|194.0|0|340.0|0|339.0|0|142.0|0
0|2021-12-12|194.0|0|340.0|0|339.0|0|142.0|0
0|2021-12-13|194.0|0|340.0|0|339.0|0|142.0|0
0|2021-12-14|194.0|0|340.0|0|339.0|0|142.0|0
0|2021-12-15|194.0|0|340.0|0|339.0|0|142.0|0
0|2021-12-16|194.0|0|340.0|0|339.0|0|142.0|0
0|2021-12-17|194.0|0|340.0|0|339.0|0|142.0|0
0|2021-12-18|194.0|0|340.0|0|339.0|0|142.0|0
0|2021-12-19|194.0|0|340.0|0|339.0|0|142.0|0
0|2021-12-20|194.0|0|340.0|0|339.0|0|142.0|0
0|2021-12-21|194.0|0|340.0|0|339.0|0|142.0|0
0|2021-12-22|194.0|0|340.0|0|339.0|0|142.0|0
0|2021-12-23|194.0|0|340.0|0|339.0|0|142.0|0
0|2021-12-24|194.0|0|340.0|0|339.0|0|142.0|0
0|2021-12-25|194.0|0|340.0|0|339.0|0|142.0|0
0|2021-12-26|194.0|0|340.0|0|339.0|0|142.0|0
0|2021-12-27|194.0|0|340.0|0|339.0|0|142.0|0
0|2021-12-28|194.0|0|340.0|0|339.0|0|142.0|0
0|2021-12-29|194.0|0|340.0|0|339.0|0|142.0|0
0|2021-12-30|194.0|0|340.0|0|339.0|0|142.0|0
0|2021-12-31|194.0|0|340.0|0|339.0|0|142.0|0
0|2022-01-01|194.0|0|340.0|0|339.0|0|142.0|0
0|2022-01-02|194.0|0|340.0|0|339.0|0|142.0|0
0|2022-01-03|194.0|0|340.0|0|339.0|0|142.0|0
0|2022-01-04|194.0|0|340.0|0|339.0|0|142.0|0
0|2022-01-05|194.0|0|340.0|0|339.0|0|142.0|0
0|2022-01-06|194.0|0|340.0|0|339.0|0|142.0|0
0|2022-01-07|194.0|0|340.0|0|339.0|0|142.0|0
0|2022-01-08|194.0|0|340.0|0|339.0|0|142.0|0
0|2022-01-09|194.0|0|340.0|0|339.0|0|142.0|0
0|2022-01-10|194.0|0|340.0|0|339.0|0|142.0|0
0|2022-01-11|194.0|0|340.0|0|339.0|0|142.0|0
0|2022-01-12|194.0|0|340.0|0|339.0|0|142.0|0
0|2022-01-13|194.0|0|340.0|0|339.0|0|142.0|0
0|2022-01-14|194.0|0|340.0|0|339.0|0|142.0|0
0|2022-01-15|194.0|0|340.0|0|339.0|0|142.0|0
0|2022-01-16|194.0|0|340.0|0|339.0|0|142.0|0
0|2022-01-17|194.0|0|340.0|0|339.0|0|142.0|0
