|dates|Washington_Georgia_UnitedStates.JHU_ConfirmedCases.data|Washington_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Washington_Georgia_UnitedStates.NYT_ConfirmedCases.data|Washington_Georgia_UnitedStates.NYT_ConfirmedCases.missing|Washington_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Washington_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Washington_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Washington_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-11-19|3233.0|0|3239.0|0|124.0|0|0.0|100
0|2021-11-20|3233.0|0|3239.0|0|124.0|0|0.0|100
0|2021-11-21|3233.0|0|3239.0|0|124.0|0|0.0|100
0|2021-11-22|3235.0|0|3242.0|0|124.0|0|0.0|100
0|2021-11-23|3235.0|0|3242.0|0|124.0|0|0.0|100
0|2021-11-24|3235.0|0|3242.0|0|124.0|0|0.0|100
0|2021-11-25|3235.0|0|3242.0|0|124.0|0|0.0|100
0|2021-11-26|3235.0|0|3242.0|0|124.0|0|0.0|100
0|2021-11-27|3235.0|0|3242.0|0|124.0|0|0.0|100
0|2021-11-28|3235.0|0|3242.0|0|124.0|0|0.0|100
0|2021-11-29|3238.0|0|3245.0|0|124.0|0|0.0|100
0|2021-11-30|3238.0|0|3245.0|0|124.0|0|0.0|100
0|2021-12-01|3241.0|0|3248.0|0|124.0|0|0.0|100
0|2021-12-02|3241.0|0|3249.0|0|124.0|0|0.0|100
0|2021-12-03|3242.0|0|3249.0|0|124.0|0|0.0|100
0|2021-12-04|3242.0|0|3249.0|0|124.0|0|0.0|100
0|2021-12-05|3242.0|0|3249.0|0|124.0|0|0.0|100
0|2021-12-06|3243.0|0|3250.0|0|124.0|0|0.0|100
0|2021-12-07|3244.0|0|3251.0|0|124.0|0|0.0|100
0|2021-12-08|3246.0|0|3253.0|0|124.0|0|0.0|100
0|2021-12-09|3246.0|0|3253.0|0|124.0|0|0.0|100
0|2021-12-10|3247.0|0|3254.0|0|124.0|0|0.0|100
0|2021-12-11|3247.0|0|3254.0|0|124.0|0|0.0|100
0|2021-12-12|3247.0|0|3254.0|0|124.0|0|0.0|100
0|2021-12-13|3250.0|0|3256.0|0|124.0|0|0.0|100
0|2021-12-14|3250.0|0|3257.0|0|124.0|0|0.0|100
0|2021-12-15|3251.0|0|3257.0|0|124.0|0|0.0|100
0|2021-12-16|3253.0|0|3259.0|0|124.0|0|0.0|100
0|2021-12-17|3254.0|0|3260.0|0|124.0|0|0.0|100
0|2021-12-18|3254.0|0|3260.0|0|124.0|0|0.0|100
0|2021-12-19|3254.0|0|3260.0|0|124.0|0|0.0|100
0|2021-12-20|3257.0|0|3264.0|0|124.0|0|0.0|100
0|2021-12-21|3257.0|0|3264.0|0|124.0|0|0.0|100
0|2021-12-22|3261.0|0|3268.0|0|124.0|0|0.0|100
0|2021-12-23|3263.0|0|3270.0|0|124.0|0|0.0|100
0|2021-12-24|3263.0|0|3270.0|0|124.0|0|0.0|100
0|2021-12-25|3263.0|0|3270.0|0|124.0|0|0.0|100
0|2021-12-26|3263.0|0|3270.0|0|124.0|0|0.0|100
0|2021-12-27|3270.0|0|3279.0|0|124.0|0|0.0|100
0|2021-12-28|3281.0|0|3290.0|0|125.0|0|0.0|100
0|2021-12-29|3290.0|0|3299.0|0|125.0|0|0.0|100
0|2021-12-30|3317.0|0|3326.0|0|126.0|0|0.0|100
0|2021-12-31|3338.0|0|3347.0|0|126.0|0|0.0|100
0|2022-01-01|3338.0|0|3347.0|0|126.0|0|0.0|100
0|2022-01-02|3338.0|0|3347.0|0|126.0|0|0.0|100
0|2022-01-03|3338.0|0|3347.0|0|126.0|0|0.0|100
0|2022-01-04|3412.0|0|3421.0|0|127.0|0|0.0|100
0|2022-01-05|3441.0|0|3450.0|0|127.0|0|0.0|100
0|2022-01-06|3441.0|0|3450.0|0|127.0|0|0.0|100
0|2022-01-07|3441.0|0|3450.0|0|127.0|0|0.0|100
0|2022-01-08|3441.0|0|3450.0|0|127.0|0|0.0|100
0|2022-01-09|3441.0|0|3450.0|0|127.0|0|0.0|100
0|2022-01-10|3565.0|0|3575.0|0|127.0|0|0.0|100
0|2022-01-11|3598.0|0|3608.0|0|127.0|0|0.0|100
0|2022-01-12|3634.0|0|3644.0|0|127.0|0|0.0|100
0|2022-01-13|3634.0|0|3694.0|0|127.0|0|0.0|100
0|2022-01-14|3716.0|0|3726.0|0|127.0|0|0.0|100
0|2022-01-15|3716.0|0|3726.0|0|127.0|0|0.0|100
0|2022-01-16|3716.0|0|3726.0|0|127.0|0|0.0|100
0|2022-01-17|3776.0|0|0.0|100|127.0|0|0.0|100
