|dates|Kosciusko_Indiana_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Kosciusko_Indiana_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Kosciusko_Indiana_UnitedStates.Male_Total_Population.data|Kosciusko_Indiana_UnitedStates.Male_Total_Population.missing|Kosciusko_Indiana_UnitedStates.Female_Total_Population.data|Kosciusko_Indiana_UnitedStates.Female_Total_Population.missing|Kosciusko_Indiana_UnitedStates.MaleAndFemale_Under18_Population.data|Kosciusko_Indiana_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-12-20|13274.0|0|39656.0|0|39688.0|0|18917.0|0
0|2021-12-21|13274.0|0|39656.0|0|39688.0|0|18917.0|0
0|2021-12-22|13274.0|0|39656.0|0|39688.0|0|18917.0|0
0|2021-12-23|13274.0|0|39656.0|0|39688.0|0|18917.0|0
0|2021-12-24|13274.0|0|39656.0|0|39688.0|0|18917.0|0
0|2021-12-25|13274.0|0|39656.0|0|39688.0|0|18917.0|0
0|2021-12-26|13274.0|0|39656.0|0|39688.0|0|18917.0|0
0|2021-12-27|13274.0|0|39656.0|0|39688.0|0|18917.0|0
0|2021-12-28|13274.0|0|39656.0|0|39688.0|0|18917.0|0
0|2021-12-29|13274.0|0|39656.0|0|39688.0|0|18917.0|0
0|2021-12-30|13274.0|0|39656.0|0|39688.0|0|18917.0|0
0|2021-12-31|13274.0|0|39656.0|0|39688.0|0|18917.0|0
0|2022-01-01|13274.0|0|39656.0|0|39688.0|0|18917.0|0
0|2022-01-02|13274.0|0|39656.0|0|39688.0|0|18917.0|0
0|2022-01-03|13274.0|0|39656.0|0|39688.0|0|18917.0|0
0|2022-01-04|13274.0|0|39656.0|0|39688.0|0|18917.0|0
0|2022-01-05|13274.0|0|39656.0|0|39688.0|0|18917.0|0
0|2022-01-06|13274.0|0|39656.0|0|39688.0|0|18917.0|0
0|2022-01-07|13274.0|0|39656.0|0|39688.0|0|18917.0|0
0|2022-01-08|13274.0|0|39656.0|0|39688.0|0|18917.0|0
0|2022-01-09|13274.0|0|39656.0|0|39688.0|0|18917.0|0
0|2022-01-10|13274.0|0|39656.0|0|39688.0|0|18917.0|0
0|2022-01-11|13274.0|0|39656.0|0|39688.0|0|18917.0|0
0|2022-01-12|13274.0|0|39656.0|0|39688.0|0|18917.0|0
0|2022-01-13|13274.0|0|39656.0|0|39688.0|0|18917.0|0
0|2022-01-14|13274.0|0|39656.0|0|39688.0|0|18917.0|0
0|2022-01-15|13274.0|0|39656.0|0|39688.0|0|18917.0|0
0|2022-01-16|13274.0|0|39656.0|0|39688.0|0|18917.0|0
0|2022-01-17|13274.0|0|39656.0|0|39688.0|0|18917.0|0
