|dates|Motley_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Motley_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Motley_Texas_UnitedStates.Male_Total_Population.data|Motley_Texas_UnitedStates.Male_Total_Population.missing|Motley_Texas_UnitedStates.Female_Total_Population.data|Motley_Texas_UnitedStates.Female_Total_Population.missing|Motley_Texas_UnitedStates.MaleAndFemale_Under18_Population.data|Motley_Texas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-12-06|374.0|0|634.0|0|600.0|0|245.0|0
0|2021-12-07|374.0|0|634.0|0|600.0|0|245.0|0
0|2021-12-08|374.0|0|634.0|0|600.0|0|245.0|0
0|2021-12-09|374.0|0|634.0|0|600.0|0|245.0|0
0|2021-12-10|374.0|0|634.0|0|600.0|0|245.0|0
0|2021-12-11|374.0|0|634.0|0|600.0|0|245.0|0
0|2021-12-12|374.0|0|634.0|0|600.0|0|245.0|0
0|2021-12-13|374.0|0|634.0|0|600.0|0|245.0|0
0|2021-12-14|374.0|0|634.0|0|600.0|0|245.0|0
0|2021-12-15|374.0|0|634.0|0|600.0|0|245.0|0
0|2021-12-16|374.0|0|634.0|0|600.0|0|245.0|0
0|2021-12-17|374.0|0|634.0|0|600.0|0|245.0|0
0|2021-12-18|374.0|0|634.0|0|600.0|0|245.0|0
0|2021-12-19|374.0|0|634.0|0|600.0|0|245.0|0
0|2021-12-20|374.0|0|634.0|0|600.0|0|245.0|0
0|2021-12-21|374.0|0|634.0|0|600.0|0|245.0|0
0|2021-12-22|374.0|0|634.0|0|600.0|0|245.0|0
0|2021-12-23|374.0|0|634.0|0|600.0|0|245.0|0
0|2021-12-24|374.0|0|634.0|0|600.0|0|245.0|0
0|2021-12-25|374.0|0|634.0|0|600.0|0|245.0|0
0|2021-12-26|374.0|0|634.0|0|600.0|0|245.0|0
0|2021-12-27|374.0|0|634.0|0|600.0|0|245.0|0
0|2021-12-28|374.0|0|634.0|0|600.0|0|245.0|0
0|2021-12-29|374.0|0|634.0|0|600.0|0|245.0|0
0|2021-12-30|374.0|0|634.0|0|600.0|0|245.0|0
0|2021-12-31|374.0|0|634.0|0|600.0|0|245.0|0
0|2022-01-01|374.0|0|634.0|0|600.0|0|245.0|0
0|2022-01-02|374.0|0|634.0|0|600.0|0|245.0|0
0|2022-01-03|374.0|0|634.0|0|600.0|0|245.0|0
0|2022-01-04|374.0|0|634.0|0|600.0|0|245.0|0
0|2022-01-05|374.0|0|634.0|0|600.0|0|245.0|0
0|2022-01-06|374.0|0|634.0|0|600.0|0|245.0|0
0|2022-01-07|374.0|0|634.0|0|600.0|0|245.0|0
0|2022-01-08|374.0|0|634.0|0|600.0|0|245.0|0
0|2022-01-09|374.0|0|634.0|0|600.0|0|245.0|0
0|2022-01-10|374.0|0|634.0|0|600.0|0|245.0|0
0|2022-01-11|374.0|0|634.0|0|600.0|0|245.0|0
0|2022-01-12|374.0|0|634.0|0|600.0|0|245.0|0
0|2022-01-13|374.0|0|634.0|0|600.0|0|245.0|0
0|2022-01-14|374.0|0|634.0|0|600.0|0|245.0|0
0|2022-01-15|374.0|0|634.0|0|600.0|0|245.0|0
0|2022-01-16|374.0|0|634.0|0|600.0|0|245.0|0
0|2022-01-17|374.0|0|634.0|0|600.0|0|245.0|0
