|dates|Union_NewMexico_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Union_NewMexico_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Union_NewMexico_UnitedStates.Male_Total_Population.data|Union_NewMexico_UnitedStates.Male_Total_Population.missing|Union_NewMexico_UnitedStates.Female_Total_Population.data|Union_NewMexico_UnitedStates.Female_Total_Population.missing|Union_NewMexico_UnitedStates.MaleAndFemale_Under18_Population.data|Union_NewMexico_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-11-29|862.0|0|2304.0|0|1814.0|0|776.0|0
0|2021-11-30|862.0|0|2304.0|0|1814.0|0|776.0|0
0|2021-12-01|862.0|0|2304.0|0|1814.0|0|776.0|0
0|2021-12-02|862.0|0|2304.0|0|1814.0|0|776.0|0
0|2021-12-03|862.0|0|2304.0|0|1814.0|0|776.0|0
0|2021-12-04|862.0|0|2304.0|0|1814.0|0|776.0|0
0|2021-12-05|862.0|0|2304.0|0|1814.0|0|776.0|0
0|2021-12-06|862.0|0|2304.0|0|1814.0|0|776.0|0
0|2021-12-07|862.0|0|2304.0|0|1814.0|0|776.0|0
0|2021-12-08|862.0|0|2304.0|0|1814.0|0|776.0|0
0|2021-12-09|862.0|0|2304.0|0|1814.0|0|776.0|0
0|2021-12-10|862.0|0|2304.0|0|1814.0|0|776.0|0
0|2021-12-11|862.0|0|2304.0|0|1814.0|0|776.0|0
0|2021-12-12|862.0|0|2304.0|0|1814.0|0|776.0|0
0|2021-12-13|862.0|0|2304.0|0|1814.0|0|776.0|0
0|2021-12-14|862.0|0|2304.0|0|1814.0|0|776.0|0
0|2021-12-15|862.0|0|2304.0|0|1814.0|0|776.0|0
0|2021-12-16|862.0|0|2304.0|0|1814.0|0|776.0|0
0|2021-12-17|862.0|0|2304.0|0|1814.0|0|776.0|0
0|2021-12-18|862.0|0|2304.0|0|1814.0|0|776.0|0
0|2021-12-19|862.0|0|2304.0|0|1814.0|0|776.0|0
0|2021-12-20|862.0|0|2304.0|0|1814.0|0|776.0|0
0|2021-12-21|862.0|0|2304.0|0|1814.0|0|776.0|0
0|2021-12-22|862.0|0|2304.0|0|1814.0|0|776.0|0
0|2021-12-23|862.0|0|2304.0|0|1814.0|0|776.0|0
0|2021-12-24|862.0|0|2304.0|0|1814.0|0|776.0|0
0|2021-12-25|862.0|0|2304.0|0|1814.0|0|776.0|0
0|2021-12-26|862.0|0|2304.0|0|1814.0|0|776.0|0
0|2021-12-27|862.0|0|2304.0|0|1814.0|0|776.0|0
0|2021-12-28|862.0|0|2304.0|0|1814.0|0|776.0|0
0|2021-12-29|862.0|0|2304.0|0|1814.0|0|776.0|0
0|2021-12-30|862.0|0|2304.0|0|1814.0|0|776.0|0
0|2021-12-31|862.0|0|2304.0|0|1814.0|0|776.0|0
0|2022-01-01|862.0|0|2304.0|0|1814.0|0|776.0|0
0|2022-01-02|862.0|0|2304.0|0|1814.0|0|776.0|0
0|2022-01-03|862.0|0|2304.0|0|1814.0|0|776.0|0
0|2022-01-04|862.0|0|2304.0|0|1814.0|0|776.0|0
0|2022-01-05|862.0|0|2304.0|0|1814.0|0|776.0|0
0|2022-01-06|862.0|0|2304.0|0|1814.0|0|776.0|0
0|2022-01-07|862.0|0|2304.0|0|1814.0|0|776.0|0
0|2022-01-08|862.0|0|2304.0|0|1814.0|0|776.0|0
0|2022-01-09|862.0|0|2304.0|0|1814.0|0|776.0|0
0|2022-01-10|862.0|0|2304.0|0|1814.0|0|776.0|0
0|2022-01-11|862.0|0|2304.0|0|1814.0|0|776.0|0
0|2022-01-12|862.0|0|2304.0|0|1814.0|0|776.0|0
0|2022-01-13|862.0|0|2304.0|0|1814.0|0|776.0|0
0|2022-01-14|862.0|0|2304.0|0|1814.0|0|776.0|0
0|2022-01-15|862.0|0|2304.0|0|1814.0|0|776.0|0
0|2022-01-16|862.0|0|2304.0|0|1814.0|0|776.0|0
0|2022-01-17|862.0|0|2304.0|0|1814.0|0|776.0|0
