|dates|Cimarron_Oklahoma_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Cimarron_Oklahoma_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Cimarron_Oklahoma_UnitedStates.Male_Total_Population.data|Cimarron_Oklahoma_UnitedStates.Male_Total_Population.missing|Cimarron_Oklahoma_UnitedStates.Female_Total_Population.data|Cimarron_Oklahoma_UnitedStates.Female_Total_Population.missing|Cimarron_Oklahoma_UnitedStates.MaleAndFemale_Under18_Population.data|Cimarron_Oklahoma_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-12-10|548.0|0|1102.0|0|1051.0|0|535.0|0
0|2021-12-11|548.0|0|1102.0|0|1051.0|0|535.0|0
0|2021-12-12|548.0|0|1102.0|0|1051.0|0|535.0|0
0|2021-12-13|548.0|0|1102.0|0|1051.0|0|535.0|0
0|2021-12-14|548.0|0|1102.0|0|1051.0|0|535.0|0
0|2021-12-15|548.0|0|1102.0|0|1051.0|0|535.0|0
0|2021-12-16|548.0|0|1102.0|0|1051.0|0|535.0|0
0|2021-12-17|548.0|0|1102.0|0|1051.0|0|535.0|0
0|2021-12-18|548.0|0|1102.0|0|1051.0|0|535.0|0
0|2021-12-19|548.0|0|1102.0|0|1051.0|0|535.0|0
0|2021-12-20|548.0|0|1102.0|0|1051.0|0|535.0|0
0|2021-12-21|548.0|0|1102.0|0|1051.0|0|535.0|0
0|2021-12-22|548.0|0|1102.0|0|1051.0|0|535.0|0
0|2021-12-23|548.0|0|1102.0|0|1051.0|0|535.0|0
0|2021-12-24|548.0|0|1102.0|0|1051.0|0|535.0|0
0|2021-12-25|548.0|0|1102.0|0|1051.0|0|535.0|0
0|2021-12-26|548.0|0|1102.0|0|1051.0|0|535.0|0
0|2021-12-27|548.0|0|1102.0|0|1051.0|0|535.0|0
0|2021-12-28|548.0|0|1102.0|0|1051.0|0|535.0|0
0|2021-12-29|548.0|0|1102.0|0|1051.0|0|535.0|0
0|2021-12-30|548.0|0|1102.0|0|1051.0|0|535.0|0
0|2021-12-31|548.0|0|1102.0|0|1051.0|0|535.0|0
0|2022-01-01|548.0|0|1102.0|0|1051.0|0|535.0|0
0|2022-01-02|548.0|0|1102.0|0|1051.0|0|535.0|0
0|2022-01-03|548.0|0|1102.0|0|1051.0|0|535.0|0
0|2022-01-04|548.0|0|1102.0|0|1051.0|0|535.0|0
0|2022-01-05|548.0|0|1102.0|0|1051.0|0|535.0|0
0|2022-01-06|548.0|0|1102.0|0|1051.0|0|535.0|0
0|2022-01-07|548.0|0|1102.0|0|1051.0|0|535.0|0
0|2022-01-08|548.0|0|1102.0|0|1051.0|0|535.0|0
0|2022-01-09|548.0|0|1102.0|0|1051.0|0|535.0|0
0|2022-01-10|548.0|0|1102.0|0|1051.0|0|535.0|0
0|2022-01-11|548.0|0|1102.0|0|1051.0|0|535.0|0
0|2022-01-12|548.0|0|1102.0|0|1051.0|0|535.0|0
0|2022-01-13|548.0|0|1102.0|0|1051.0|0|535.0|0
0|2022-01-14|548.0|0|1102.0|0|1051.0|0|535.0|0
0|2022-01-15|548.0|0|1102.0|0|1051.0|0|535.0|0
0|2022-01-16|548.0|0|1102.0|0|1051.0|0|535.0|0
0|2022-01-17|548.0|0|1102.0|0|1051.0|0|535.0|0
