|dates|Butler_Missouri_UnitedStates.JHU_ConfirmedCases.data|Butler_Missouri_UnitedStates.JHU_ConfirmedCases.missing|Butler_Missouri_UnitedStates.NYT_ConfirmedCases.data|Butler_Missouri_UnitedStates.NYT_ConfirmedCases.missing|Butler_Missouri_UnitedStates.JHU_ConfirmedDeaths.data|Butler_Missouri_UnitedStates.JHU_ConfirmedDeaths.missing|Butler_Missouri_UnitedStates.JHU_ConfirmedRecoveries.data|Butler_Missouri_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-12-18|7282.0|0|7282.0|0|131.0|0|0.0|100
0|2021-12-19|7288.0|0|7288.0|0|131.0|0|0.0|100
0|2021-12-20|7295.0|0|7295.0|0|131.0|0|0.0|100
0|2021-12-21|7309.0|0|7309.0|0|131.0|0|0.0|100
0|2021-12-22|7317.0|0|7317.0|0|131.0|0|0.0|100
0|2021-12-23|7342.0|0|7342.0|0|131.0|0|0.0|100
0|2021-12-24|7342.0|0|7342.0|0|131.0|0|0.0|100
0|2021-12-25|7342.0|0|7342.0|0|131.0|0|0.0|100
0|2021-12-26|7342.0|0|7342.0|0|131.0|0|0.0|100
0|2021-12-27|7361.0|0|7361.0|0|131.0|0|0.0|100
0|2021-12-28|7368.0|0|7368.0|0|133.0|0|0.0|100
0|2021-12-29|7385.0|0|7385.0|0|133.0|0|0.0|100
0|2021-12-30|7403.0|0|7403.0|0|133.0|0|0.0|100
0|2021-12-31|7403.0|0|7403.0|0|133.0|0|0.0|100
0|2022-01-01|7403.0|0|7403.0|0|133.0|0|0.0|100
0|2022-01-02|7403.0|0|7403.0|0|133.0|0|0.0|100
0|2022-01-03|7403.0|0|7451.0|0|133.0|0|0.0|100
0|2022-01-04|7498.0|0|7498.0|0|134.0|0|0.0|100
0|2022-01-05|7535.0|0|7535.0|0|134.0|0|0.0|100
0|2022-01-06|7585.0|0|7585.0|0|134.0|0|0.0|100
0|2022-01-07|7625.0|0|7625.0|0|134.0|0|0.0|100
0|2022-01-08|7671.0|0|7671.0|0|134.0|0|0.0|100
0|2022-01-09|7686.0|0|7686.0|0|134.0|0|0.0|100
0|2022-01-10|7721.0|0|7721.0|0|134.0|0|0.0|100
0|2022-01-11|7815.0|0|7815.0|0|135.0|0|0.0|100
0|2022-01-12|7906.0|0|7906.0|0|135.0|0|0.0|100
0|2022-01-13|7906.0|0|8003.0|0|135.0|0|0.0|100
0|2022-01-14|8081.0|0|8081.0|0|135.0|0|0.0|100
0|2022-01-15|8231.0|0|8231.0|0|135.0|0|0.0|100
0|2022-01-16|8233.0|0|8233.0|0|135.0|0|0.0|100
0|2022-01-17|8233.0|0|0.0|100|135.0|0|0.0|100
