|dates|Arthur_Nebraska_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Arthur_Nebraska_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Arthur_Nebraska_UnitedStates.Male_Total_Population.data|Arthur_Nebraska_UnitedStates.Male_Total_Population.missing|Arthur_Nebraska_UnitedStates.Female_Total_Population.data|Arthur_Nebraska_UnitedStates.Female_Total_Population.missing|Arthur_Nebraska_UnitedStates.MaleAndFemale_Under18_Population.data|Arthur_Nebraska_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-11-13|102.0|0|230.0|0|235.0|0|120.0|0
0|2021-11-14|102.0|0|230.0|0|235.0|0|120.0|0
0|2021-11-15|102.0|0|230.0|0|235.0|0|120.0|0
0|2021-11-16|102.0|0|230.0|0|235.0|0|120.0|0
0|2021-11-17|102.0|0|230.0|0|235.0|0|120.0|0
0|2021-11-18|102.0|0|230.0|0|235.0|0|120.0|0
0|2021-11-19|102.0|0|230.0|0|235.0|0|120.0|0
0|2021-11-20|102.0|0|230.0|0|235.0|0|120.0|0
0|2021-11-21|102.0|0|230.0|0|235.0|0|120.0|0
0|2021-11-22|102.0|0|230.0|0|235.0|0|120.0|0
0|2021-11-23|102.0|0|230.0|0|235.0|0|120.0|0
0|2021-11-24|102.0|0|230.0|0|235.0|0|120.0|0
0|2021-11-25|102.0|0|230.0|0|235.0|0|120.0|0
0|2021-11-26|102.0|0|230.0|0|235.0|0|120.0|0
0|2021-11-27|102.0|0|230.0|0|235.0|0|120.0|0
0|2021-11-28|102.0|0|230.0|0|235.0|0|120.0|0
0|2021-11-29|102.0|0|230.0|0|235.0|0|120.0|0
0|2021-11-30|102.0|0|230.0|0|235.0|0|120.0|0
0|2021-12-01|102.0|0|230.0|0|235.0|0|120.0|0
0|2021-12-02|102.0|0|230.0|0|235.0|0|120.0|0
0|2021-12-03|102.0|0|230.0|0|235.0|0|120.0|0
0|2021-12-04|102.0|0|230.0|0|235.0|0|120.0|0
0|2021-12-05|102.0|0|230.0|0|235.0|0|120.0|0
0|2021-12-06|102.0|0|230.0|0|235.0|0|120.0|0
0|2021-12-07|102.0|0|230.0|0|235.0|0|120.0|0
0|2021-12-08|102.0|0|230.0|0|235.0|0|120.0|0
0|2021-12-09|102.0|0|230.0|0|235.0|0|120.0|0
0|2021-12-10|102.0|0|230.0|0|235.0|0|120.0|0
0|2021-12-11|102.0|0|230.0|0|235.0|0|120.0|0
0|2021-12-12|102.0|0|230.0|0|235.0|0|120.0|0
0|2021-12-13|102.0|0|230.0|0|235.0|0|120.0|0
0|2021-12-14|102.0|0|230.0|0|235.0|0|120.0|0
0|2021-12-15|102.0|0|230.0|0|235.0|0|120.0|0
0|2021-12-16|102.0|0|230.0|0|235.0|0|120.0|0
0|2021-12-17|102.0|0|230.0|0|235.0|0|120.0|0
0|2021-12-18|102.0|0|230.0|0|235.0|0|120.0|0
0|2021-12-19|102.0|0|230.0|0|235.0|0|120.0|0
0|2021-12-20|102.0|0|230.0|0|235.0|0|120.0|0
0|2021-12-21|102.0|0|230.0|0|235.0|0|120.0|0
0|2021-12-22|102.0|0|230.0|0|235.0|0|120.0|0
0|2021-12-23|102.0|0|230.0|0|235.0|0|120.0|0
0|2021-12-24|102.0|0|230.0|0|235.0|0|120.0|0
0|2021-12-25|102.0|0|230.0|0|235.0|0|120.0|0
0|2021-12-26|102.0|0|230.0|0|235.0|0|120.0|0
0|2021-12-27|102.0|0|230.0|0|235.0|0|120.0|0
0|2021-12-28|102.0|0|230.0|0|235.0|0|120.0|0
0|2021-12-29|102.0|0|230.0|0|235.0|0|120.0|0
0|2021-12-30|102.0|0|230.0|0|235.0|0|120.0|0
0|2021-12-31|102.0|0|230.0|0|235.0|0|120.0|0
0|2022-01-01|102.0|0|230.0|0|235.0|0|120.0|0
0|2022-01-02|102.0|0|230.0|0|235.0|0|120.0|0
0|2022-01-03|102.0|0|230.0|0|235.0|0|120.0|0
0|2022-01-04|102.0|0|230.0|0|235.0|0|120.0|0
0|2022-01-05|102.0|0|230.0|0|235.0|0|120.0|0
0|2022-01-06|102.0|0|230.0|0|235.0|0|120.0|0
0|2022-01-07|102.0|0|230.0|0|235.0|0|120.0|0
0|2022-01-08|102.0|0|230.0|0|235.0|0|120.0|0
0|2022-01-09|102.0|0|230.0|0|235.0|0|120.0|0
0|2022-01-10|102.0|0|230.0|0|235.0|0|120.0|0
0|2022-01-11|102.0|0|230.0|0|235.0|0|120.0|0
0|2022-01-12|102.0|0|230.0|0|235.0|0|120.0|0
0|2022-01-13|102.0|0|230.0|0|235.0|0|120.0|0
0|2022-01-14|102.0|0|230.0|0|235.0|0|120.0|0
0|2022-01-15|102.0|0|230.0|0|235.0|0|120.0|0
0|2022-01-16|102.0|0|230.0|0|235.0|0|120.0|0
0|2022-01-17|102.0|0|230.0|0|235.0|0|120.0|0
