|dates|Glasscock_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Glasscock_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Glasscock_Texas_UnitedStates.Male_Total_Population.data|Glasscock_Texas_UnitedStates.Male_Total_Population.missing|Glasscock_Texas_UnitedStates.Female_Total_Population.data|Glasscock_Texas_UnitedStates.Female_Total_Population.missing|Glasscock_Texas_UnitedStates.MaleAndFemale_Under18_Population.data|Glasscock_Texas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-11-08|211.0|0|765.0|0|623.0|0|363.0|0
0|2021-11-09|211.0|0|765.0|0|623.0|0|363.0|0
0|2021-11-10|211.0|0|765.0|0|623.0|0|363.0|0
0|2021-11-11|211.0|0|765.0|0|623.0|0|363.0|0
0|2021-11-12|211.0|0|765.0|0|623.0|0|363.0|0
0|2021-11-13|211.0|0|765.0|0|623.0|0|363.0|0
0|2021-11-14|211.0|0|765.0|0|623.0|0|363.0|0
0|2021-11-15|211.0|0|765.0|0|623.0|0|363.0|0
0|2021-11-16|211.0|0|765.0|0|623.0|0|363.0|0
0|2021-11-17|211.0|0|765.0|0|623.0|0|363.0|0
0|2021-11-18|211.0|0|765.0|0|623.0|0|363.0|0
0|2021-11-19|211.0|0|765.0|0|623.0|0|363.0|0
0|2021-11-20|211.0|0|765.0|0|623.0|0|363.0|0
0|2021-11-21|211.0|0|765.0|0|623.0|0|363.0|0
0|2021-11-22|211.0|0|765.0|0|623.0|0|363.0|0
0|2021-11-23|211.0|0|765.0|0|623.0|0|363.0|0
0|2021-11-24|211.0|0|765.0|0|623.0|0|363.0|0
0|2021-11-25|211.0|0|765.0|0|623.0|0|363.0|0
0|2021-11-26|211.0|0|765.0|0|623.0|0|363.0|0
0|2021-11-27|211.0|0|765.0|0|623.0|0|363.0|0
0|2021-11-28|211.0|0|765.0|0|623.0|0|363.0|0
0|2021-11-29|211.0|0|765.0|0|623.0|0|363.0|0
0|2021-11-30|211.0|0|765.0|0|623.0|0|363.0|0
0|2021-12-01|211.0|0|765.0|0|623.0|0|363.0|0
0|2021-12-02|211.0|0|765.0|0|623.0|0|363.0|0
0|2021-12-03|211.0|0|765.0|0|623.0|0|363.0|0
0|2021-12-04|211.0|0|765.0|0|623.0|0|363.0|0
0|2021-12-05|211.0|0|765.0|0|623.0|0|363.0|0
0|2021-12-06|211.0|0|765.0|0|623.0|0|363.0|0
0|2021-12-07|211.0|0|765.0|0|623.0|0|363.0|0
0|2021-12-08|211.0|0|765.0|0|623.0|0|363.0|0
0|2021-12-09|211.0|0|765.0|0|623.0|0|363.0|0
0|2021-12-10|211.0|0|765.0|0|623.0|0|363.0|0
0|2021-12-11|211.0|0|765.0|0|623.0|0|363.0|0
0|2021-12-12|211.0|0|765.0|0|623.0|0|363.0|0
0|2021-12-13|211.0|0|765.0|0|623.0|0|363.0|0
0|2021-12-14|211.0|0|765.0|0|623.0|0|363.0|0
0|2021-12-15|211.0|0|765.0|0|623.0|0|363.0|0
0|2021-12-16|211.0|0|765.0|0|623.0|0|363.0|0
0|2021-12-17|211.0|0|765.0|0|623.0|0|363.0|0
0|2021-12-18|211.0|0|765.0|0|623.0|0|363.0|0
0|2021-12-19|211.0|0|765.0|0|623.0|0|363.0|0
0|2021-12-20|211.0|0|765.0|0|623.0|0|363.0|0
0|2021-12-21|211.0|0|765.0|0|623.0|0|363.0|0
0|2021-12-22|211.0|0|765.0|0|623.0|0|363.0|0
0|2021-12-23|211.0|0|765.0|0|623.0|0|363.0|0
0|2021-12-24|211.0|0|765.0|0|623.0|0|363.0|0
0|2021-12-25|211.0|0|765.0|0|623.0|0|363.0|0
0|2021-12-26|211.0|0|765.0|0|623.0|0|363.0|0
0|2021-12-27|211.0|0|765.0|0|623.0|0|363.0|0
0|2021-12-28|211.0|0|765.0|0|623.0|0|363.0|0
0|2021-12-29|211.0|0|765.0|0|623.0|0|363.0|0
0|2021-12-30|211.0|0|765.0|0|623.0|0|363.0|0
0|2021-12-31|211.0|0|765.0|0|623.0|0|363.0|0
0|2022-01-01|211.0|0|765.0|0|623.0|0|363.0|0
0|2022-01-02|211.0|0|765.0|0|623.0|0|363.0|0
0|2022-01-03|211.0|0|765.0|0|623.0|0|363.0|0
0|2022-01-04|211.0|0|765.0|0|623.0|0|363.0|0
0|2022-01-05|211.0|0|765.0|0|623.0|0|363.0|0
0|2022-01-06|211.0|0|765.0|0|623.0|0|363.0|0
0|2022-01-07|211.0|0|765.0|0|623.0|0|363.0|0
0|2022-01-08|211.0|0|765.0|0|623.0|0|363.0|0
0|2022-01-09|211.0|0|765.0|0|623.0|0|363.0|0
0|2022-01-10|211.0|0|765.0|0|623.0|0|363.0|0
0|2022-01-11|211.0|0|765.0|0|623.0|0|363.0|0
0|2022-01-12|211.0|0|765.0|0|623.0|0|363.0|0
0|2022-01-13|211.0|0|765.0|0|623.0|0|363.0|0
0|2022-01-14|211.0|0|765.0|0|623.0|0|363.0|0
0|2022-01-15|211.0|0|765.0|0|623.0|0|363.0|0
0|2022-01-16|211.0|0|765.0|0|623.0|0|363.0|0
0|2022-01-17|211.0|0|765.0|0|623.0|0|363.0|0
