|dates|Moody_SouthDakota_UnitedStates.JHU_ConfirmedCases.data|Moody_SouthDakota_UnitedStates.JHU_ConfirmedCases.missing|Moody_SouthDakota_UnitedStates.NYT_ConfirmedCases.data|Moody_SouthDakota_UnitedStates.NYT_ConfirmedCases.missing|Moody_SouthDakota_UnitedStates.JHU_ConfirmedDeaths.data|Moody_SouthDakota_UnitedStates.JHU_ConfirmedDeaths.missing|Moody_SouthDakota_UnitedStates.JHU_ConfirmedRecoveries.data|Moody_SouthDakota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-12-05|893.0|0|893.0|0|23.0|0|0.0|100
0|2021-12-06|900.0|0|900.0|0|23.0|0|0.0|100
0|2021-12-07|906.0|0|906.0|0|23.0|0|0.0|100
0|2021-12-08|916.0|0|916.0|0|23.0|0|0.0|100
0|2021-12-09|921.0|0|921.0|0|23.0|0|0.0|100
0|2021-12-10|928.0|0|928.0|0|24.0|0|0.0|100
0|2021-12-11|928.0|0|928.0|0|24.0|0|0.0|100
0|2021-12-12|928.0|0|928.0|0|24.0|0|0.0|100
0|2021-12-13|933.0|0|933.0|0|24.0|0|0.0|100
0|2021-12-14|933.0|0|938.0|0|24.0|0|0.0|100
0|2021-12-15|946.0|0|946.0|0|24.0|0|0.0|100
0|2021-12-16|953.0|0|953.0|0|24.0|0|0.0|100
0|2021-12-17|955.0|0|955.0|0|24.0|0|0.0|100
0|2021-12-18|955.0|0|955.0|0|24.0|0|0.0|100
0|2021-12-19|955.0|0|955.0|0|24.0|0|0.0|100
0|2021-12-20|958.0|0|958.0|0|24.0|0|0.0|100
0|2021-12-21|960.0|0|960.0|0|25.0|0|0.0|100
0|2021-12-22|969.0|0|969.0|0|25.0|0|0.0|100
0|2021-12-23|971.0|0|971.0|0|25.0|0|0.0|100
0|2021-12-24|971.0|0|971.0|0|25.0|0|0.0|100
0|2021-12-25|971.0|0|971.0|0|25.0|0|0.0|100
0|2021-12-26|971.0|0|971.0|0|25.0|0|0.0|100
0|2021-12-27|973.0|0|973.0|0|25.0|0|0.0|100
0|2021-12-28|976.0|0|976.0|0|25.0|0|0.0|100
0|2021-12-29|979.0|0|979.0|0|25.0|0|0.0|100
0|2021-12-30|981.0|0|981.0|0|25.0|0|0.0|100
0|2021-12-31|981.0|0|981.0|0|25.0|0|0.0|100
0|2022-01-01|981.0|0|981.0|0|25.0|0|0.0|100
0|2022-01-02|981.0|0|981.0|0|25.0|0|0.0|100
0|2022-01-03|982.0|0|982.0|0|25.0|0|0.0|100
0|2022-01-04|1008.0|0|1008.0|0|25.0|0|0.0|100
0|2022-01-05|1023.0|0|1023.0|0|25.0|0|0.0|100
0|2022-01-06|1034.0|0|1034.0|0|25.0|0|0.0|100
0|2022-01-07|1050.0|0|1050.0|0|25.0|0|0.0|100
0|2022-01-08|1050.0|0|1050.0|0|25.0|0|0.0|100
0|2022-01-09|1050.0|0|1050.0|0|25.0|0|0.0|100
0|2022-01-10|1057.0|0|1057.0|0|25.0|0|0.0|100
0|2022-01-11|1074.0|0|1074.0|0|25.0|0|0.0|100
0|2022-01-12|1093.0|0|1093.0|0|25.0|0|0.0|100
0|2022-01-13|1093.0|0|1113.0|0|25.0|0|0.0|100
0|2022-01-14|1113.0|0|1142.0|0|25.0|0|0.0|100
0|2022-01-15|1142.0|0|1142.0|0|25.0|0|0.0|100
0|2022-01-16|1142.0|0|1142.0|0|25.0|0|0.0|100
0|2022-01-17|1142.0|0|0.0|100|25.0|0|0.0|100
