|dates|Washington_Utah_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Washington_Utah_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Washington_Utah_UnitedStates.Male_Total_Population.data|Washington_Utah_UnitedStates.Male_Total_Population.missing|Washington_Utah_UnitedStates.Female_Total_Population.data|Washington_Utah_UnitedStates.Female_Total_Population.missing|Washington_Utah_UnitedStates.MaleAndFemale_Under18_Population.data|Washington_Utah_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-11-14|36844.0|0|85053.0|0|86647.0|0|44808.0|0
0|2021-11-15|36844.0|0|85053.0|0|86647.0|0|44808.0|0
0|2021-11-16|36844.0|0|85053.0|0|86647.0|0|44808.0|0
0|2021-11-17|36844.0|0|85053.0|0|86647.0|0|44808.0|0
0|2021-11-18|36844.0|0|85053.0|0|86647.0|0|44808.0|0
0|2021-11-19|36844.0|0|85053.0|0|86647.0|0|44808.0|0
0|2021-11-20|36844.0|0|85053.0|0|86647.0|0|44808.0|0
0|2021-11-21|36844.0|0|85053.0|0|86647.0|0|44808.0|0
0|2021-11-22|36844.0|0|85053.0|0|86647.0|0|44808.0|0
0|2021-11-23|36844.0|0|85053.0|0|86647.0|0|44808.0|0
0|2021-11-24|36844.0|0|85053.0|0|86647.0|0|44808.0|0
0|2021-11-25|36844.0|0|85053.0|0|86647.0|0|44808.0|0
0|2021-11-26|36844.0|0|85053.0|0|86647.0|0|44808.0|0
0|2021-11-27|36844.0|0|85053.0|0|86647.0|0|44808.0|0
0|2021-11-28|36844.0|0|85053.0|0|86647.0|0|44808.0|0
0|2021-11-29|36844.0|0|85053.0|0|86647.0|0|44808.0|0
0|2021-11-30|36844.0|0|85053.0|0|86647.0|0|44808.0|0
0|2021-12-01|36844.0|0|85053.0|0|86647.0|0|44808.0|0
0|2021-12-02|36844.0|0|85053.0|0|86647.0|0|44808.0|0
0|2021-12-03|36844.0|0|85053.0|0|86647.0|0|44808.0|0
0|2021-12-04|36844.0|0|85053.0|0|86647.0|0|44808.0|0
0|2021-12-05|36844.0|0|85053.0|0|86647.0|0|44808.0|0
0|2021-12-06|36844.0|0|85053.0|0|86647.0|0|44808.0|0
0|2021-12-07|36844.0|0|85053.0|0|86647.0|0|44808.0|0
0|2021-12-08|36844.0|0|85053.0|0|86647.0|0|44808.0|0
0|2021-12-09|36844.0|0|85053.0|0|86647.0|0|44808.0|0
0|2021-12-10|36844.0|0|85053.0|0|86647.0|0|44808.0|0
0|2021-12-11|36844.0|0|85053.0|0|86647.0|0|44808.0|0
0|2021-12-12|36844.0|0|85053.0|0|86647.0|0|44808.0|0
0|2021-12-13|36844.0|0|85053.0|0|86647.0|0|44808.0|0
0|2021-12-14|36844.0|0|85053.0|0|86647.0|0|44808.0|0
0|2021-12-15|36844.0|0|85053.0|0|86647.0|0|44808.0|0
0|2021-12-16|36844.0|0|85053.0|0|86647.0|0|44808.0|0
0|2021-12-17|36844.0|0|85053.0|0|86647.0|0|44808.0|0
0|2021-12-18|36844.0|0|85053.0|0|86647.0|0|44808.0|0
0|2021-12-19|36844.0|0|85053.0|0|86647.0|0|44808.0|0
0|2021-12-20|36844.0|0|85053.0|0|86647.0|0|44808.0|0
0|2021-12-21|36844.0|0|85053.0|0|86647.0|0|44808.0|0
0|2021-12-22|36844.0|0|85053.0|0|86647.0|0|44808.0|0
0|2021-12-23|36844.0|0|85053.0|0|86647.0|0|44808.0|0
0|2021-12-24|36844.0|0|85053.0|0|86647.0|0|44808.0|0
0|2021-12-25|36844.0|0|85053.0|0|86647.0|0|44808.0|0
0|2021-12-26|36844.0|0|85053.0|0|86647.0|0|44808.0|0
0|2021-12-27|36844.0|0|85053.0|0|86647.0|0|44808.0|0
0|2021-12-28|36844.0|0|85053.0|0|86647.0|0|44808.0|0
0|2021-12-29|36844.0|0|85053.0|0|86647.0|0|44808.0|0
0|2021-12-30|36844.0|0|85053.0|0|86647.0|0|44808.0|0
0|2021-12-31|36844.0|0|85053.0|0|86647.0|0|44808.0|0
0|2022-01-01|36844.0|0|85053.0|0|86647.0|0|44808.0|0
0|2022-01-02|36844.0|0|85053.0|0|86647.0|0|44808.0|0
0|2022-01-03|36844.0|0|85053.0|0|86647.0|0|44808.0|0
0|2022-01-04|36844.0|0|85053.0|0|86647.0|0|44808.0|0
0|2022-01-05|36844.0|0|85053.0|0|86647.0|0|44808.0|0
0|2022-01-06|36844.0|0|85053.0|0|86647.0|0|44808.0|0
0|2022-01-07|36844.0|0|85053.0|0|86647.0|0|44808.0|0
0|2022-01-08|36844.0|0|85053.0|0|86647.0|0|44808.0|0
0|2022-01-09|36844.0|0|85053.0|0|86647.0|0|44808.0|0
0|2022-01-10|36844.0|0|85053.0|0|86647.0|0|44808.0|0
0|2022-01-11|36844.0|0|85053.0|0|86647.0|0|44808.0|0
0|2022-01-12|36844.0|0|85053.0|0|86647.0|0|44808.0|0
0|2022-01-13|36844.0|0|85053.0|0|86647.0|0|44808.0|0
0|2022-01-14|36844.0|0|85053.0|0|86647.0|0|44808.0|0
0|2022-01-15|36844.0|0|85053.0|0|86647.0|0|44808.0|0
0|2022-01-16|36844.0|0|85053.0|0|86647.0|0|44808.0|0
0|2022-01-17|36844.0|0|85053.0|0|86647.0|0|44808.0|0
