|dates|Johnson_Indiana_UnitedStates.JHU_ConfirmedCases.data|Johnson_Indiana_UnitedStates.JHU_ConfirmedCases.missing|Johnson_Indiana_UnitedStates.NYT_ConfirmedCases.data|Johnson_Indiana_UnitedStates.NYT_ConfirmedCases.missing|Johnson_Indiana_UnitedStates.JHU_ConfirmedDeaths.data|Johnson_Indiana_UnitedStates.JHU_ConfirmedDeaths.missing|Johnson_Indiana_UnitedStates.JHU_ConfirmedRecoveries.data|Johnson_Indiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-12-10|28348.0|0|28422.0|0|470.0|0|0.0|100
0|2021-12-11|28348.0|0|28422.0|0|470.0|0|0.0|100
0|2021-12-12|28348.0|0|28422.0|0|470.0|0|0.0|100
0|2021-12-13|28618.0|0|28692.0|0|472.0|0|0.0|100
0|2021-12-14|28618.0|0|28788.0|0|472.0|0|0.0|100
0|2021-12-15|28836.0|0|28910.0|0|475.0|0|0.0|100
0|2021-12-16|28975.0|0|29049.0|0|475.0|0|0.0|100
0|2021-12-17|29125.0|0|29199.0|0|478.0|0|0.0|100
0|2021-12-18|29125.0|0|29199.0|0|478.0|0|0.0|100
0|2021-12-19|29125.0|0|29199.0|0|478.0|0|0.0|100
0|2021-12-20|29379.0|0|29453.0|0|478.0|0|0.0|100
0|2021-12-21|29463.0|0|29537.0|0|478.0|0|0.0|100
0|2021-12-22|29588.0|0|29662.0|0|479.0|0|0.0|100
0|2021-12-23|29588.0|0|29662.0|0|479.0|0|0.0|100
0|2021-12-24|29588.0|0|29662.0|0|479.0|0|0.0|100
0|2021-12-25|29588.0|0|29662.0|0|479.0|0|0.0|100
0|2021-12-26|29588.0|0|29662.0|0|479.0|0|0.0|100
0|2021-12-27|30101.0|0|30175.0|0|480.0|0|0.0|100
0|2021-12-28|30264.0|0|30338.0|0|486.0|0|0.0|100
0|2021-12-29|30499.0|0|30573.0|0|487.0|0|0.0|100
0|2021-12-30|30799.0|0|30873.0|0|488.0|0|0.0|100
0|2021-12-31|30799.0|0|30873.0|0|488.0|0|0.0|100
0|2022-01-01|30799.0|0|30873.0|0|488.0|0|0.0|100
0|2022-01-02|30799.0|0|30873.0|0|488.0|0|0.0|100
0|2022-01-03|31695.0|0|31769.0|0|488.0|0|0.0|100
0|2022-01-04|32051.0|0|32125.0|0|493.0|0|0.0|100
0|2022-01-05|32270.0|0|32345.0|0|493.0|0|0.0|100
0|2022-01-06|32719.0|0|32794.0|0|498.0|0|0.0|100
0|2022-01-07|33084.0|0|33159.0|0|502.0|0|0.0|100
0|2022-01-08|33084.0|0|33159.0|0|502.0|0|0.0|100
0|2022-01-09|33084.0|0|33159.0|0|502.0|0|0.0|100
0|2022-01-10|34132.0|0|34212.0|0|505.0|0|0.0|100
0|2022-01-11|34464.0|0|34544.0|0|506.0|0|0.0|100
0|2022-01-12|35037.0|0|35117.0|0|510.0|0|0.0|100
0|2022-01-13|35037.0|0|35635.0|0|510.0|0|0.0|100
0|2022-01-14|36032.0|0|36113.0|0|514.0|0|0.0|100
0|2022-01-15|36032.0|0|36113.0|0|514.0|0|0.0|100
0|2022-01-16|36032.0|0|36113.0|0|514.0|0|0.0|100
0|2022-01-17|37119.0|0|0.0|100|516.0|0|0.0|100
