|dates|EastBatonRouge_Louisiana_UnitedStates.MaleAndFemale_AtLeast65_Population.data|EastBatonRouge_Louisiana_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|EastBatonRouge_Louisiana_UnitedStates.Male_Total_Population.data|EastBatonRouge_Louisiana_UnitedStates.Male_Total_Population.missing|EastBatonRouge_Louisiana_UnitedStates.Female_Total_Population.data|EastBatonRouge_Louisiana_UnitedStates.Female_Total_Population.missing|EastBatonRouge_Louisiana_UnitedStates.MaleAndFemale_Under18_Population.data|EastBatonRouge_Louisiana_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-12-15|62528.0|0|210609.0|0|230347.0|0|99927.0|0
0|2021-12-16|62528.0|0|210609.0|0|230347.0|0|99927.0|0
0|2021-12-17|62528.0|0|210609.0|0|230347.0|0|99927.0|0
0|2021-12-18|62528.0|0|210609.0|0|230347.0|0|99927.0|0
0|2021-12-19|62528.0|0|210609.0|0|230347.0|0|99927.0|0
0|2021-12-20|62528.0|0|210609.0|0|230347.0|0|99927.0|0
0|2021-12-21|62528.0|0|210609.0|0|230347.0|0|99927.0|0
0|2021-12-22|62528.0|0|210609.0|0|230347.0|0|99927.0|0
0|2021-12-23|62528.0|0|210609.0|0|230347.0|0|99927.0|0
0|2021-12-24|62528.0|0|210609.0|0|230347.0|0|99927.0|0
0|2021-12-25|62528.0|0|210609.0|0|230347.0|0|99927.0|0
0|2021-12-26|62528.0|0|210609.0|0|230347.0|0|99927.0|0
0|2021-12-27|62528.0|0|210609.0|0|230347.0|0|99927.0|0
0|2021-12-28|62528.0|0|210609.0|0|230347.0|0|99927.0|0
0|2021-12-29|62528.0|0|210609.0|0|230347.0|0|99927.0|0
0|2021-12-30|62528.0|0|210609.0|0|230347.0|0|99927.0|0
0|2021-12-31|62528.0|0|210609.0|0|230347.0|0|99927.0|0
0|2022-01-01|62528.0|0|210609.0|0|230347.0|0|99927.0|0
0|2022-01-02|62528.0|0|210609.0|0|230347.0|0|99927.0|0
0|2022-01-03|62528.0|0|210609.0|0|230347.0|0|99927.0|0
0|2022-01-04|62528.0|0|210609.0|0|230347.0|0|99927.0|0
0|2022-01-05|62528.0|0|210609.0|0|230347.0|0|99927.0|0
0|2022-01-06|62528.0|0|210609.0|0|230347.0|0|99927.0|0
0|2022-01-07|62528.0|0|210609.0|0|230347.0|0|99927.0|0
0|2022-01-08|62528.0|0|210609.0|0|230347.0|0|99927.0|0
0|2022-01-09|62528.0|0|210609.0|0|230347.0|0|99927.0|0
0|2022-01-10|62528.0|0|210609.0|0|230347.0|0|99927.0|0
0|2022-01-11|62528.0|0|210609.0|0|230347.0|0|99927.0|0
0|2022-01-12|62528.0|0|210609.0|0|230347.0|0|99927.0|0
0|2022-01-13|62528.0|0|210609.0|0|230347.0|0|99927.0|0
0|2022-01-14|62528.0|0|210609.0|0|230347.0|0|99927.0|0
0|2022-01-15|62528.0|0|210609.0|0|230347.0|0|99927.0|0
0|2022-01-16|62528.0|0|210609.0|0|230347.0|0|99927.0|0
0|2022-01-17|62528.0|0|210609.0|0|230347.0|0|99927.0|0
