|dates|McKinley_NewMexico_UnitedStates.JHU_ConfirmedCases.data|McKinley_NewMexico_UnitedStates.JHU_ConfirmedCases.missing|McKinley_NewMexico_UnitedStates.NYT_ConfirmedCases.data|McKinley_NewMexico_UnitedStates.NYT_ConfirmedCases.missing|McKinley_NewMexico_UnitedStates.JHU_ConfirmedDeaths.data|McKinley_NewMexico_UnitedStates.JHU_ConfirmedDeaths.missing|McKinley_NewMexico_UnitedStates.JHU_ConfirmedRecoveries.data|McKinley_NewMexico_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-12-10|17149.0|0|17131.0|0|529.0|0|0.0|100
0|2021-12-11|17149.0|0|17149.0|0|529.0|0|0.0|100
0|2021-12-12|17149.0|0|17149.0|0|529.0|0|0.0|100
0|2021-12-13|17194.0|0|17194.0|0|529.0|0|0.0|100
0|2021-12-14|17194.0|0|17211.0|0|529.0|0|0.0|100
0|2021-12-15|17233.0|0|17233.0|0|529.0|0|0.0|100
0|2021-12-16|17233.0|0|17244.0|0|529.0|0|0.0|100
0|2021-12-17|17272.0|0|17255.0|0|532.0|0|0.0|100
0|2021-12-18|17272.0|0|17272.0|0|532.0|0|0.0|100
0|2021-12-19|17272.0|0|17272.0|0|532.0|0|0.0|100
0|2021-12-20|17321.0|0|17321.0|0|533.0|0|0.0|100
0|2021-12-21|17331.0|0|17331.0|0|534.0|0|0.0|100
0|2021-12-22|17362.0|0|17362.0|0|534.0|0|0.0|100
0|2021-12-23|17383.0|0|17383.0|0|535.0|0|0.0|100
0|2021-12-24|17383.0|0|17383.0|0|535.0|0|0.0|100
0|2021-12-25|17383.0|0|17383.0|0|535.0|0|0.0|100
0|2021-12-26|17383.0|0|17383.0|0|535.0|0|0.0|100
0|2021-12-27|17439.0|0|17439.0|0|535.0|0|0.0|100
0|2021-12-28|17449.0|0|17449.0|0|535.0|0|0.0|100
0|2021-12-29|17490.0|0|17490.0|0|535.0|0|0.0|100
0|2021-12-30|17533.0|0|17533.0|0|535.0|0|0.0|100
0|2021-12-31|17533.0|0|17533.0|0|535.0|0|0.0|100
0|2022-01-01|17533.0|0|17533.0|0|535.0|0|0.0|100
0|2022-01-02|17533.0|0|17533.0|0|535.0|0|0.0|100
0|2022-01-03|17732.0|0|17732.0|0|535.0|0|0.0|100
0|2022-01-04|17778.0|0|17778.0|0|535.0|0|0.0|100
0|2022-01-05|17952.0|0|17952.0|0|536.0|0|0.0|100
0|2022-01-06|18136.0|0|18136.0|0|536.0|0|0.0|100
0|2022-01-07|18340.0|0|18340.0|0|536.0|0|0.0|100
0|2022-01-08|18340.0|0|18340.0|0|536.0|0|0.0|100
0|2022-01-09|18340.0|0|18340.0|0|536.0|0|0.0|100
0|2022-01-10|18854.0|0|18854.0|0|537.0|0|0.0|100
0|2022-01-11|18996.0|0|18996.0|0|540.0|0|0.0|100
0|2022-01-12|19250.0|0|19250.0|0|540.0|0|0.0|100
0|2022-01-13|19250.0|0|19496.0|0|540.0|0|0.0|100
0|2022-01-14|19773.0|0|19773.0|0|543.0|0|0.0|100
0|2022-01-15|19773.0|0|19773.0|0|543.0|0|0.0|100
0|2022-01-16|19773.0|0|19773.0|0|543.0|0|0.0|100
0|2022-01-17|19773.0|0|0.0|100|543.0|0|0.0|100
