|dates|Cambria_Pennsylvania_UnitedStates.JHU_ConfirmedCases.data|Cambria_Pennsylvania_UnitedStates.JHU_ConfirmedCases.missing|Cambria_Pennsylvania_UnitedStates.NYT_ConfirmedCases.data|Cambria_Pennsylvania_UnitedStates.NYT_ConfirmedCases.missing|Cambria_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.data|Cambria_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.missing|Cambria_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.data|Cambria_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-11-16|21311.0|0|21311.0|0|541.0|0|0.0|100
0|2021-11-17|21407.0|0|21407.0|0|547.0|0|0.0|100
0|2021-11-18|21512.0|0|21512.0|0|549.0|0|0.0|100
0|2021-11-19|21627.0|0|21627.0|0|552.0|0|0.0|100
0|2021-11-20|21726.0|0|21726.0|0|553.0|0|0.0|100
0|2021-11-21|21799.0|0|21799.0|0|553.0|0|0.0|100
0|2021-11-22|21886.0|0|21886.0|0|553.0|0|0.0|100
0|2021-11-23|21957.0|0|21957.0|0|554.0|0|0.0|100
0|2021-11-24|22134.0|0|22134.0|0|555.0|0|0.0|100
0|2021-11-25|22209.0|0|22209.0|0|557.0|0|0.0|100
0|2021-11-26|22287.0|0|22287.0|0|557.0|0|0.0|100
0|2021-11-27|22398.0|0|22398.0|0|557.0|0|0.0|100
0|2021-11-28|22437.0|0|22437.0|0|561.0|0|0.0|100
0|2021-11-29|22500.0|0|22500.0|0|561.0|0|0.0|100
0|2021-11-30|22627.0|0|22627.0|0|563.0|0|0.0|100
0|2021-12-01|22742.0|0|22742.0|0|565.0|0|0.0|100
0|2021-12-02|22874.0|0|22874.0|0|567.0|0|0.0|100
0|2021-12-03|22994.0|0|22994.0|0|568.0|0|0.0|100
0|2021-12-04|23112.0|0|23112.0|0|571.0|0|0.0|100
0|2021-12-05|23193.0|0|23193.0|0|571.0|0|0.0|100
0|2021-12-06|23225.0|0|23225.0|0|572.0|0|0.0|100
0|2021-12-07|23365.0|0|23365.0|0|578.0|0|0.0|100
0|2021-12-08|23461.0|0|23461.0|0|580.0|0|0.0|100
0|2021-12-09|23534.0|0|23534.0|0|582.0|0|0.0|100
0|2021-12-10|23675.0|0|23675.0|0|586.0|0|0.0|100
0|2021-12-11|23793.0|0|23793.0|0|587.0|0|0.0|100
0|2021-12-12|23856.0|0|23856.0|0|588.0|0|0.0|100
0|2021-12-13|23898.0|0|23898.0|0|588.0|0|0.0|100
0|2021-12-14|23898.0|0|24046.0|0|588.0|0|0.0|100
0|2021-12-15|23898.0|0|24125.0|0|594.0|0|0.0|100
0|2021-12-16|24201.0|0|24201.0|0|594.0|0|0.0|100
0|2021-12-17|24280.0|0|24280.0|0|595.0|0|0.0|100
0|2021-12-18|24347.0|0|24347.0|0|598.0|0|0.0|100
0|2021-12-19|24406.0|0|24406.0|0|598.0|0|0.0|100
0|2021-12-20|24440.0|0|24440.0|0|598.0|0|0.0|100
0|2021-12-21|24552.0|0|24552.0|0|601.0|0|0.0|100
0|2021-12-22|24612.0|0|24612.0|0|606.0|0|0.0|100
0|2021-12-23|24689.0|0|24689.0|0|609.0|0|0.0|100
0|2021-12-24|24805.0|0|24805.0|0|611.0|0|0.0|100
0|2021-12-25|24858.0|0|24858.0|0|611.0|0|0.0|100
0|2021-12-26|24896.0|0|24896.0|0|611.0|0|0.0|100
0|2021-12-27|24931.0|0|24931.0|0|611.0|0|0.0|100
0|2021-12-28|25025.0|0|25025.0|0|612.0|0|0.0|100
0|2021-12-29|25139.0|0|25139.0|0|615.0|0|0.0|100
0|2021-12-30|25269.0|0|25269.0|0|616.0|0|0.0|100
0|2021-12-31|25426.0|0|25426.0|0|620.0|0|0.0|100
0|2022-01-01|25591.0|0|25591.0|0|621.0|0|0.0|100
0|2022-01-02|25674.0|0|25674.0|0|621.0|0|0.0|100
0|2022-01-03|25781.0|0|25781.0|0|621.0|0|0.0|100
0|2022-01-04|26045.0|0|26045.0|0|622.0|0|0.0|100
0|2022-01-05|26302.0|0|26302.0|0|628.0|0|0.0|100
0|2022-01-06|26447.0|0|26447.0|0|630.0|0|0.0|100
0|2022-01-07|26750.0|0|26750.0|0|633.0|0|0.0|100
0|2022-01-08|26978.0|0|26978.0|0|634.0|0|0.0|100
0|2022-01-09|27218.0|0|27218.0|0|635.0|0|0.0|100
0|2022-01-10|27511.0|0|27511.0|0|635.0|0|0.0|100
0|2022-01-11|27731.0|0|27731.0|0|639.0|0|0.0|100
0|2022-01-12|28075.0|0|28075.0|0|639.0|0|0.0|100
0|2022-01-13|28075.0|0|28286.0|0|639.0|0|0.0|100
0|2022-01-14|28640.0|0|28640.0|0|642.0|0|0.0|100
0|2022-01-15|28936.0|0|28936.0|0|644.0|0|0.0|100
0|2022-01-16|29579.0|0|29579.0|0|644.0|0|0.0|100
0|2022-01-17|29696.0|0|0.0|100|644.0|0|0.0|100
