|dates|Sully_SouthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Sully_SouthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Sully_SouthDakota_UnitedStates.Male_Total_Population.data|Sully_SouthDakota_UnitedStates.Male_Total_Population.missing|Sully_SouthDakota_UnitedStates.Female_Total_Population.data|Sully_SouthDakota_UnitedStates.Female_Total_Population.missing|Sully_SouthDakota_UnitedStates.MaleAndFemale_Under18_Population.data|Sully_SouthDakota_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-11-11|348.0|0|732.0|0|660.0|0|292.0|0
0|2021-11-12|348.0|0|732.0|0|660.0|0|292.0|0
0|2021-11-13|348.0|0|732.0|0|660.0|0|292.0|0
0|2021-11-14|348.0|0|732.0|0|660.0|0|292.0|0
0|2021-11-15|348.0|0|732.0|0|660.0|0|292.0|0
0|2021-11-16|348.0|0|732.0|0|660.0|0|292.0|0
0|2021-11-17|348.0|0|732.0|0|660.0|0|292.0|0
0|2021-11-18|348.0|0|732.0|0|660.0|0|292.0|0
0|2021-11-19|348.0|0|732.0|0|660.0|0|292.0|0
0|2021-11-20|348.0|0|732.0|0|660.0|0|292.0|0
0|2021-11-21|348.0|0|732.0|0|660.0|0|292.0|0
0|2021-11-22|348.0|0|732.0|0|660.0|0|292.0|0
0|2021-11-23|348.0|0|732.0|0|660.0|0|292.0|0
0|2021-11-24|348.0|0|732.0|0|660.0|0|292.0|0
0|2021-11-25|348.0|0|732.0|0|660.0|0|292.0|0
0|2021-11-26|348.0|0|732.0|0|660.0|0|292.0|0
0|2021-11-27|348.0|0|732.0|0|660.0|0|292.0|0
0|2021-11-28|348.0|0|732.0|0|660.0|0|292.0|0
0|2021-11-29|348.0|0|732.0|0|660.0|0|292.0|0
0|2021-11-30|348.0|0|732.0|0|660.0|0|292.0|0
0|2021-12-01|348.0|0|732.0|0|660.0|0|292.0|0
0|2021-12-02|348.0|0|732.0|0|660.0|0|292.0|0
0|2021-12-03|348.0|0|732.0|0|660.0|0|292.0|0
0|2021-12-04|348.0|0|732.0|0|660.0|0|292.0|0
0|2021-12-05|348.0|0|732.0|0|660.0|0|292.0|0
0|2021-12-06|348.0|0|732.0|0|660.0|0|292.0|0
0|2021-12-07|348.0|0|732.0|0|660.0|0|292.0|0
0|2021-12-08|348.0|0|732.0|0|660.0|0|292.0|0
0|2021-12-09|348.0|0|732.0|0|660.0|0|292.0|0
0|2021-12-10|348.0|0|732.0|0|660.0|0|292.0|0
0|2021-12-11|348.0|0|732.0|0|660.0|0|292.0|0
0|2021-12-12|348.0|0|732.0|0|660.0|0|292.0|0
0|2021-12-13|348.0|0|732.0|0|660.0|0|292.0|0
0|2021-12-14|348.0|0|732.0|0|660.0|0|292.0|0
0|2021-12-15|348.0|0|732.0|0|660.0|0|292.0|0
0|2021-12-16|348.0|0|732.0|0|660.0|0|292.0|0
0|2021-12-17|348.0|0|732.0|0|660.0|0|292.0|0
0|2021-12-18|348.0|0|732.0|0|660.0|0|292.0|0
0|2021-12-19|348.0|0|732.0|0|660.0|0|292.0|0
0|2021-12-20|348.0|0|732.0|0|660.0|0|292.0|0
0|2021-12-21|348.0|0|732.0|0|660.0|0|292.0|0
0|2021-12-22|348.0|0|732.0|0|660.0|0|292.0|0
0|2021-12-23|348.0|0|732.0|0|660.0|0|292.0|0
0|2021-12-24|348.0|0|732.0|0|660.0|0|292.0|0
0|2021-12-25|348.0|0|732.0|0|660.0|0|292.0|0
0|2021-12-26|348.0|0|732.0|0|660.0|0|292.0|0
0|2021-12-27|348.0|0|732.0|0|660.0|0|292.0|0
0|2021-12-28|348.0|0|732.0|0|660.0|0|292.0|0
0|2021-12-29|348.0|0|732.0|0|660.0|0|292.0|0
0|2021-12-30|348.0|0|732.0|0|660.0|0|292.0|0
0|2021-12-31|348.0|0|732.0|0|660.0|0|292.0|0
0|2022-01-01|348.0|0|732.0|0|660.0|0|292.0|0
0|2022-01-02|348.0|0|732.0|0|660.0|0|292.0|0
0|2022-01-03|348.0|0|732.0|0|660.0|0|292.0|0
0|2022-01-04|348.0|0|732.0|0|660.0|0|292.0|0
0|2022-01-05|348.0|0|732.0|0|660.0|0|292.0|0
0|2022-01-06|348.0|0|732.0|0|660.0|0|292.0|0
0|2022-01-07|348.0|0|732.0|0|660.0|0|292.0|0
0|2022-01-08|348.0|0|732.0|0|660.0|0|292.0|0
0|2022-01-09|348.0|0|732.0|0|660.0|0|292.0|0
0|2022-01-10|348.0|0|732.0|0|660.0|0|292.0|0
0|2022-01-11|348.0|0|732.0|0|660.0|0|292.0|0
0|2022-01-12|348.0|0|732.0|0|660.0|0|292.0|0
0|2022-01-13|348.0|0|732.0|0|660.0|0|292.0|0
0|2022-01-14|348.0|0|732.0|0|660.0|0|292.0|0
0|2022-01-15|348.0|0|732.0|0|660.0|0|292.0|0
0|2022-01-16|348.0|0|732.0|0|660.0|0|292.0|0
0|2022-01-17|348.0|0|732.0|0|660.0|0|292.0|0
