|dates|Kenedy_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Kenedy_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Kenedy_Texas_UnitedStates.Male_Total_Population.data|Kenedy_Texas_UnitedStates.Male_Total_Population.missing|Kenedy_Texas_UnitedStates.Female_Total_Population.data|Kenedy_Texas_UnitedStates.Female_Total_Population.missing|Kenedy_Texas_UnitedStates.MaleAndFemale_Under18_Population.data|Kenedy_Texas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-12-02|69.0|0|228.0|0|214.0|0|120.0|0
0|2021-12-03|69.0|0|228.0|0|214.0|0|120.0|0
0|2021-12-04|69.0|0|228.0|0|214.0|0|120.0|0
0|2021-12-05|69.0|0|228.0|0|214.0|0|120.0|0
0|2021-12-06|69.0|0|228.0|0|214.0|0|120.0|0
0|2021-12-07|69.0|0|228.0|0|214.0|0|120.0|0
0|2021-12-08|69.0|0|228.0|0|214.0|0|120.0|0
0|2021-12-09|69.0|0|228.0|0|214.0|0|120.0|0
0|2021-12-10|69.0|0|228.0|0|214.0|0|120.0|0
0|2021-12-11|69.0|0|228.0|0|214.0|0|120.0|0
0|2021-12-12|69.0|0|228.0|0|214.0|0|120.0|0
0|2021-12-13|69.0|0|228.0|0|214.0|0|120.0|0
0|2021-12-14|69.0|0|228.0|0|214.0|0|120.0|0
0|2021-12-15|69.0|0|228.0|0|214.0|0|120.0|0
0|2021-12-16|69.0|0|228.0|0|214.0|0|120.0|0
0|2021-12-17|69.0|0|228.0|0|214.0|0|120.0|0
0|2021-12-18|69.0|0|228.0|0|214.0|0|120.0|0
0|2021-12-19|69.0|0|228.0|0|214.0|0|120.0|0
0|2021-12-20|69.0|0|228.0|0|214.0|0|120.0|0
0|2021-12-21|69.0|0|228.0|0|214.0|0|120.0|0
0|2021-12-22|69.0|0|228.0|0|214.0|0|120.0|0
0|2021-12-23|69.0|0|228.0|0|214.0|0|120.0|0
0|2021-12-24|69.0|0|228.0|0|214.0|0|120.0|0
0|2021-12-25|69.0|0|228.0|0|214.0|0|120.0|0
0|2021-12-26|69.0|0|228.0|0|214.0|0|120.0|0
0|2021-12-27|69.0|0|228.0|0|214.0|0|120.0|0
0|2021-12-28|69.0|0|228.0|0|214.0|0|120.0|0
0|2021-12-29|69.0|0|228.0|0|214.0|0|120.0|0
0|2021-12-30|69.0|0|228.0|0|214.0|0|120.0|0
0|2021-12-31|69.0|0|228.0|0|214.0|0|120.0|0
0|2022-01-01|69.0|0|228.0|0|214.0|0|120.0|0
0|2022-01-02|69.0|0|228.0|0|214.0|0|120.0|0
0|2022-01-03|69.0|0|228.0|0|214.0|0|120.0|0
0|2022-01-04|69.0|0|228.0|0|214.0|0|120.0|0
0|2022-01-05|69.0|0|228.0|0|214.0|0|120.0|0
0|2022-01-06|69.0|0|228.0|0|214.0|0|120.0|0
0|2022-01-07|69.0|0|228.0|0|214.0|0|120.0|0
0|2022-01-08|69.0|0|228.0|0|214.0|0|120.0|0
0|2022-01-09|69.0|0|228.0|0|214.0|0|120.0|0
0|2022-01-10|69.0|0|228.0|0|214.0|0|120.0|0
0|2022-01-11|69.0|0|228.0|0|214.0|0|120.0|0
0|2022-01-12|69.0|0|228.0|0|214.0|0|120.0|0
0|2022-01-13|69.0|0|228.0|0|214.0|0|120.0|0
0|2022-01-14|69.0|0|228.0|0|214.0|0|120.0|0
0|2022-01-15|69.0|0|228.0|0|214.0|0|120.0|0
0|2022-01-16|69.0|0|228.0|0|214.0|0|120.0|0
0|2022-01-17|69.0|0|228.0|0|214.0|0|120.0|0
