|dates|LaPaz_Arizona_UnitedStates.JHU_ConfirmedCases.data|LaPaz_Arizona_UnitedStates.JHU_ConfirmedCases.missing|LaPaz_Arizona_UnitedStates.NYT_ConfirmedCases.data|LaPaz_Arizona_UnitedStates.NYT_ConfirmedCases.missing|LaPaz_Arizona_UnitedStates.JHU_ConfirmedDeaths.data|LaPaz_Arizona_UnitedStates.JHU_ConfirmedDeaths.missing|LaPaz_Arizona_UnitedStates.JHU_ConfirmedRecoveries.data|LaPaz_Arizona_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-11-17|3310.0|0|3310.0|0|102.0|0|0.0|100
0|2021-11-18|3318.0|0|3318.0|0|102.0|0|0.0|100
0|2021-11-19|3325.0|0|3325.0|0|102.0|0|0.0|100
0|2021-11-20|3336.0|0|3336.0|0|102.0|0|0.0|100
0|2021-11-21|3346.0|0|3346.0|0|102.0|0|0.0|100
0|2021-11-22|3358.0|0|3358.0|0|102.0|0|0.0|100
0|2021-11-23|3359.0|0|3359.0|0|102.0|0|0.0|100
0|2021-11-24|3369.0|0|3369.0|0|102.0|0|0.0|100
0|2021-11-25|3370.0|0|3370.0|0|102.0|0|0.0|100
0|2021-11-26|3375.0|0|3375.0|0|102.0|0|0.0|100
0|2021-11-27|3385.0|0|3385.0|0|102.0|0|0.0|100
0|2021-11-28|3386.0|0|3386.0|0|102.0|0|0.0|100
0|2021-11-29|3390.0|0|3390.0|0|102.0|0|0.0|100
0|2021-11-30|3390.0|0|3396.0|0|102.0|0|0.0|100
0|2021-12-01|3407.0|0|3407.0|0|102.0|0|0.0|100
0|2021-12-02|3414.0|0|3414.0|0|102.0|0|0.0|100
0|2021-12-03|3432.0|0|3432.0|0|102.0|0|0.0|100
0|2021-12-04|3445.0|0|3445.0|0|102.0|0|0.0|100
0|2021-12-05|3451.0|0|3451.0|0|102.0|0|0.0|100
0|2021-12-06|3452.0|0|3452.0|0|102.0|0|0.0|100
0|2021-12-07|3456.0|0|3456.0|0|105.0|0|0.0|100
0|2021-12-08|3466.0|0|3466.0|0|105.0|0|0.0|100
0|2021-12-09|3482.0|0|3482.0|0|105.0|0|0.0|100
0|2021-12-10|3497.0|0|3497.0|0|105.0|0|0.0|100
0|2021-12-11|3501.0|0|3501.0|0|105.0|0|0.0|100
0|2021-12-12|3515.0|0|3515.0|0|105.0|0|0.0|100
0|2021-12-13|3515.0|0|3516.0|0|105.0|0|0.0|100
0|2021-12-14|3515.0|0|3520.0|0|105.0|0|0.0|100
0|2021-12-15|3531.0|0|3531.0|0|105.0|0|0.0|100
0|2021-12-16|3539.0|0|3539.0|0|105.0|0|0.0|100
0|2021-12-17|3547.0|0|3547.0|0|105.0|0|0.0|100
0|2021-12-18|3547.0|0|3555.0|0|105.0|0|0.0|100
0|2021-12-19|3563.0|0|3563.0|0|105.0|0|0.0|100
0|2021-12-20|3566.0|0|3566.0|0|105.0|0|0.0|100
0|2021-12-21|3566.0|0|3566.0|0|105.0|0|0.0|100
0|2021-12-22|3577.0|0|3577.0|0|105.0|0|0.0|100
0|2021-12-23|3585.0|0|3585.0|0|105.0|0|0.0|100
0|2021-12-24|3595.0|0|3595.0|0|106.0|0|0.0|100
0|2021-12-25|3595.0|0|3599.0|0|106.0|0|0.0|100
0|2021-12-26|3600.0|0|3600.0|0|107.0|0|0.0|100
0|2021-12-27|3603.0|0|3603.0|0|107.0|0|0.0|100
0|2021-12-28|3603.0|0|3608.0|0|107.0|0|0.0|100
0|2021-12-29|3608.0|0|3618.0|0|107.0|0|0.0|100
0|2021-12-30|3618.0|0|3638.0|0|107.0|0|0.0|100
0|2021-12-31|3652.0|0|3652.0|0|108.0|0|0.0|100
0|2022-01-01|3664.0|0|3664.0|0|109.0|0|0.0|100
0|2022-01-02|3664.0|0|3664.0|0|109.0|0|0.0|100
0|2022-01-03|3679.0|0|3679.0|0|109.0|0|0.0|100
0|2022-01-04|3682.0|0|3682.0|0|110.0|0|0.0|100
0|2022-01-05|3705.0|0|3705.0|0|110.0|0|0.0|100
0|2022-01-06|3743.0|0|3743.0|0|110.0|0|0.0|100
0|2022-01-07|3772.0|0|3772.0|0|110.0|0|0.0|100
0|2022-01-08|3800.0|0|3800.0|0|110.0|0|0.0|100
0|2022-01-09|3800.0|0|3819.0|0|110.0|0|0.0|100
0|2022-01-10|3833.0|0|3833.0|0|111.0|0|0.0|100
0|2022-01-11|3866.0|0|3866.0|0|112.0|0|0.0|100
0|2022-01-12|3904.0|0|3904.0|0|112.0|0|0.0|100
0|2022-01-13|3904.0|0|3945.0|0|112.0|0|0.0|100
0|2022-01-14|3996.0|0|3996.0|0|112.0|0|0.0|100
0|2022-01-15|3996.0|0|4081.0|0|112.0|0|0.0|100
0|2022-01-16|4049.0|0|4142.0|0|112.0|0|0.0|100
0|2022-01-17|4190.0|0|0.0|100|112.0|0|0.0|100
