|dates|Rockingham_Virginia_UnitedStates.JHU_ConfirmedCases.data|Rockingham_Virginia_UnitedStates.JHU_ConfirmedCases.missing|Rockingham_Virginia_UnitedStates.NYT_ConfirmedCases.data|Rockingham_Virginia_UnitedStates.NYT_ConfirmedCases.missing|Rockingham_Virginia_UnitedStates.JHU_ConfirmedDeaths.data|Rockingham_Virginia_UnitedStates.JHU_ConfirmedDeaths.missing|Rockingham_Virginia_UnitedStates.JHU_ConfirmedRecoveries.data|Rockingham_Virginia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-11-18|9651.0|0|9651.0|0|165.0|0|0.0|100
0|2021-11-19|9666.0|0|9666.0|0|165.0|0|0.0|100
0|2021-11-20|9666.0|0|9666.0|0|165.0|0|0.0|100
0|2021-11-21|9666.0|0|9666.0|0|165.0|0|0.0|100
0|2021-11-22|9702.0|0|9702.0|0|167.0|0|0.0|100
0|2021-11-23|9702.0|0|9702.0|0|166.0|0|0.0|100
0|2021-11-24|9714.0|0|9714.0|0|167.0|0|0.0|100
0|2021-11-25|9724.0|0|9724.0|0|167.0|0|0.0|100
0|2021-11-26|9739.0|0|9739.0|0|169.0|0|0.0|100
0|2021-11-27|9739.0|0|9739.0|0|169.0|0|0.0|100
0|2021-11-28|9739.0|0|9739.0|0|169.0|0|0.0|100
0|2021-11-29|9776.0|0|9776.0|0|169.0|0|0.0|100
0|2021-11-30|9790.0|0|9790.0|0|169.0|0|0.0|100
0|2021-12-01|9813.0|0|9813.0|0|170.0|0|0.0|100
0|2021-12-02|9842.0|0|9842.0|0|170.0|0|0.0|100
0|2021-12-03|9876.0|0|9876.0|0|170.0|0|0.0|100
0|2021-12-04|9876.0|0|9876.0|0|170.0|0|0.0|100
0|2021-12-05|9876.0|0|9876.0|0|170.0|0|0.0|100
0|2021-12-06|9947.0|0|9947.0|0|170.0|0|0.0|100
0|2021-12-07|9976.0|0|9976.0|0|170.0|0|0.0|100
0|2021-12-08|10004.0|0|10004.0|0|174.0|0|0.0|100
0|2021-12-09|10043.0|0|10043.0|0|174.0|0|0.0|100
0|2021-12-10|10083.0|0|10083.0|0|174.0|0|0.0|100
0|2021-12-11|10083.0|0|10083.0|0|174.0|0|0.0|100
0|2021-12-12|10083.0|0|10083.0|0|174.0|0|0.0|100
0|2021-12-13|10170.0|0|10170.0|0|174.0|0|0.0|100
0|2021-12-14|10170.0|0|10200.0|0|174.0|0|0.0|100
0|2021-12-15|10233.0|0|10233.0|0|174.0|0|0.0|100
0|2021-12-16|10273.0|0|10273.0|0|174.0|0|0.0|100
0|2021-12-17|10297.0|0|10297.0|0|174.0|0|0.0|100
0|2021-12-18|10297.0|0|10297.0|0|174.0|0|0.0|100
0|2021-12-19|10297.0|0|10297.0|0|174.0|0|0.0|100
0|2021-12-20|10367.0|0|10367.0|0|176.0|0|0.0|100
0|2021-12-21|10396.0|0|10396.0|0|176.0|0|0.0|100
0|2021-12-22|10432.0|0|10432.0|0|177.0|0|0.0|100
0|2021-12-23|10454.0|0|10454.0|0|178.0|0|0.0|100
0|2021-12-24|10478.0|0|10478.0|0|178.0|0|0.0|100
0|2021-12-25|10478.0|0|10478.0|0|178.0|0|0.0|100
0|2021-12-26|10478.0|0|10478.0|0|178.0|0|0.0|100
0|2021-12-27|10534.0|0|10534.0|0|178.0|0|0.0|100
0|2021-12-28|10544.0|0|10544.0|0|181.0|0|0.0|100
0|2021-12-29|10605.0|0|10605.0|0|181.0|0|0.0|100
0|2021-12-30|10688.0|0|10688.0|0|181.0|0|0.0|100
0|2021-12-31|10750.0|0|10750.0|0|181.0|0|0.0|100
0|2022-01-01|10750.0|0|10750.0|0|181.0|0|0.0|100
0|2022-01-02|10750.0|0|10750.0|0|181.0|0|0.0|100
0|2022-01-03|10933.0|0|10933.0|0|182.0|0|0.0|100
0|2022-01-04|11011.0|0|11011.0|0|182.0|0|0.0|100
0|2022-01-05|11048.0|0|11048.0|0|182.0|0|0.0|100
0|2022-01-06|11141.0|0|11141.0|0|182.0|0|0.0|100
0|2022-01-07|11223.0|0|11223.0|0|182.0|0|0.0|100
0|2022-01-08|11223.0|0|11223.0|0|182.0|0|0.0|100
0|2022-01-09|11223.0|0|11223.0|0|182.0|0|0.0|100
0|2022-01-10|11540.0|0|11540.0|0|186.0|0|0.0|100
0|2022-01-11|11632.0|0|11632.0|0|189.0|0|0.0|100
0|2022-01-12|11769.0|0|11769.0|0|189.0|0|0.0|100
0|2022-01-13|11769.0|0|11931.0|0|189.0|0|0.0|100
0|2022-01-14|12062.0|0|12062.0|0|189.0|0|0.0|100
0|2022-01-15|12062.0|0|12062.0|0|189.0|0|0.0|100
0|2022-01-16|12062.0|0|12062.0|0|189.0|0|0.0|100
0|2022-01-17|12385.0|0|0.0|100|189.0|0|0.0|100
