|dates|Coffey_Kansas_UnitedStates.JHU_ConfirmedCases.data|Coffey_Kansas_UnitedStates.JHU_ConfirmedCases.missing|Coffey_Kansas_UnitedStates.NYT_ConfirmedCases.data|Coffey_Kansas_UnitedStates.NYT_ConfirmedCases.missing|Coffey_Kansas_UnitedStates.JHU_ConfirmedDeaths.data|Coffey_Kansas_UnitedStates.JHU_ConfirmedDeaths.missing|Coffey_Kansas_UnitedStates.JHU_ConfirmedRecoveries.data|Coffey_Kansas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-11-14|1278.0|0|1278.0|0|28.0|0|0.0|100
0|2021-11-15|1284.0|0|1284.0|0|28.0|0|0.0|100
0|2021-11-16|1284.0|0|1284.0|0|28.0|0|0.0|100
0|2021-11-17|1301.0|0|1301.0|0|28.0|0|0.0|100
0|2021-11-18|1301.0|0|1301.0|0|28.0|0|0.0|100
0|2021-11-19|1319.0|0|1319.0|0|28.0|0|0.0|100
0|2021-11-20|1319.0|0|1319.0|0|28.0|0|0.0|100
0|2021-11-21|1319.0|0|1319.0|0|28.0|0|0.0|100
0|2021-11-22|1327.0|0|1327.0|0|28.0|0|0.0|100
0|2021-11-23|1327.0|0|1327.0|0|28.0|0|0.0|100
0|2021-11-24|1327.0|0|1342.0|0|28.0|0|0.0|100
0|2021-11-25|1342.0|0|1342.0|0|28.0|0|0.0|100
0|2021-11-26|1342.0|0|1342.0|0|28.0|0|0.0|100
0|2021-11-27|1342.0|0|1342.0|0|28.0|0|0.0|100
0|2021-11-28|1342.0|0|1342.0|0|28.0|0|0.0|100
0|2021-11-29|1362.0|0|1362.0|0|28.0|0|0.0|100
0|2021-11-30|1362.0|0|1362.0|0|28.0|0|0.0|100
0|2021-12-01|1388.0|0|1388.0|0|28.0|0|0.0|100
0|2021-12-02|1388.0|0|1388.0|0|28.0|0|0.0|100
0|2021-12-03|1388.0|0|1403.0|0|28.0|0|0.0|100
0|2021-12-04|1403.0|0|1403.0|0|28.0|0|0.0|100
0|2021-12-05|1403.0|0|1403.0|0|28.0|0|0.0|100
0|2021-12-06|1410.0|0|1410.0|0|28.0|0|0.0|100
0|2021-12-07|1410.0|0|1410.0|0|28.0|0|0.0|100
0|2021-12-08|1433.0|0|1433.0|0|28.0|0|0.0|100
0|2021-12-09|1433.0|0|1433.0|0|28.0|0|0.0|100
0|2021-12-10|1456.0|0|1456.0|0|28.0|0|0.0|100
0|2021-12-11|1456.0|0|1456.0|0|28.0|0|0.0|100
0|2021-12-12|1456.0|0|1456.0|0|28.0|0|0.0|100
0|2021-12-13|1469.0|0|1469.0|0|28.0|0|0.0|100
0|2021-12-14|1469.0|0|1469.0|0|28.0|0|0.0|100
0|2021-12-15|1502.0|0|1502.0|0|28.0|0|0.0|100
0|2021-12-16|1502.0|0|1502.0|0|28.0|0|0.0|100
0|2021-12-17|1525.0|0|1525.0|0|28.0|0|0.0|100
0|2021-12-18|1525.0|0|1525.0|0|28.0|0|0.0|100
0|2021-12-19|1525.0|0|1525.0|0|28.0|0|0.0|100
0|2021-12-20|1536.0|0|1536.0|0|28.0|0|0.0|100
0|2021-12-21|1536.0|0|1536.0|0|28.0|0|0.0|100
0|2021-12-22|1567.0|0|1567.0|0|28.0|0|0.0|100
0|2021-12-23|1567.0|0|1567.0|0|28.0|0|0.0|100
0|2021-12-24|1567.0|0|1567.0|0|28.0|0|0.0|100
0|2021-12-25|1567.0|0|1567.0|0|28.0|0|0.0|100
0|2021-12-26|1567.0|0|1567.0|0|28.0|0|0.0|100
0|2021-12-27|1608.0|0|1608.0|0|28.0|0|0.0|100
0|2021-12-28|1608.0|0|1608.0|0|28.0|0|0.0|100
0|2021-12-29|1649.0|0|1649.0|0|28.0|0|0.0|100
0|2021-12-30|1649.0|0|1649.0|0|28.0|0|0.0|100
0|2021-12-31|1649.0|0|1649.0|0|28.0|0|0.0|100
0|2022-01-01|1649.0|0|1649.0|0|28.0|0|0.0|100
0|2022-01-02|1649.0|0|1649.0|0|28.0|0|0.0|100
0|2022-01-03|1703.0|0|1703.0|0|28.0|0|0.0|100
0|2022-01-04|1703.0|0|1703.0|0|28.0|0|0.0|100
0|2022-01-05|1762.0|0|1762.0|0|28.0|0|0.0|100
0|2022-01-06|1762.0|0|1762.0|0|28.0|0|0.0|100
0|2022-01-07|1797.0|0|1797.0|0|33.0|0|0.0|100
0|2022-01-08|1797.0|0|1797.0|0|33.0|0|0.0|100
0|2022-01-09|1797.0|0|1797.0|0|33.0|0|0.0|100
0|2022-01-10|1828.0|0|1828.0|0|33.0|0|0.0|100
0|2022-01-11|1828.0|0|1828.0|0|33.0|0|0.0|100
0|2022-01-12|1828.0|0|1865.0|0|33.0|0|0.0|100
0|2022-01-13|1828.0|0|1902.0|0|33.0|0|0.0|100
0|2022-01-14|1963.0|0|1963.0|0|35.0|0|0.0|100
0|2022-01-15|1963.0|0|1963.0|0|35.0|0|0.0|100
0|2022-01-16|1963.0|0|1963.0|0|35.0|0|0.0|100
0|2022-01-17|1963.0|0|0.0|100|35.0|0|0.0|100
