|dates|Franklin_Ohio_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Franklin_Ohio_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Franklin_Ohio_UnitedStates.Male_Total_Population.data|Franklin_Ohio_UnitedStates.Male_Total_Population.missing|Franklin_Ohio_UnitedStates.Female_Total_Population.data|Franklin_Ohio_UnitedStates.Female_Total_Population.missing|Franklin_Ohio_UnitedStates.MaleAndFemale_Under18_Population.data|Franklin_Ohio_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-12-03|157391.0|0|640086.0|0|670214.0|0|304643.0|0
0|2021-12-04|157391.0|0|640086.0|0|670214.0|0|304643.0|0
0|2021-12-05|157391.0|0|640086.0|0|670214.0|0|304643.0|0
0|2021-12-06|157391.0|0|640086.0|0|670214.0|0|304643.0|0
0|2021-12-07|157391.0|0|640086.0|0|670214.0|0|304643.0|0
0|2021-12-08|157391.0|0|640086.0|0|670214.0|0|304643.0|0
0|2021-12-09|157391.0|0|640086.0|0|670214.0|0|304643.0|0
0|2021-12-10|157391.0|0|640086.0|0|670214.0|0|304643.0|0
0|2021-12-11|157391.0|0|640086.0|0|670214.0|0|304643.0|0
0|2021-12-12|157391.0|0|640086.0|0|670214.0|0|304643.0|0
0|2021-12-13|157391.0|0|640086.0|0|670214.0|0|304643.0|0
0|2021-12-14|157391.0|0|640086.0|0|670214.0|0|304643.0|0
0|2021-12-15|157391.0|0|640086.0|0|670214.0|0|304643.0|0
0|2021-12-16|157391.0|0|640086.0|0|670214.0|0|304643.0|0
0|2021-12-17|157391.0|0|640086.0|0|670214.0|0|304643.0|0
0|2021-12-18|157391.0|0|640086.0|0|670214.0|0|304643.0|0
0|2021-12-19|157391.0|0|640086.0|0|670214.0|0|304643.0|0
0|2021-12-20|157391.0|0|640086.0|0|670214.0|0|304643.0|0
0|2021-12-21|157391.0|0|640086.0|0|670214.0|0|304643.0|0
0|2021-12-22|157391.0|0|640086.0|0|670214.0|0|304643.0|0
0|2021-12-23|157391.0|0|640086.0|0|670214.0|0|304643.0|0
0|2021-12-24|157391.0|0|640086.0|0|670214.0|0|304643.0|0
0|2021-12-25|157391.0|0|640086.0|0|670214.0|0|304643.0|0
0|2021-12-26|157391.0|0|640086.0|0|670214.0|0|304643.0|0
0|2021-12-27|157391.0|0|640086.0|0|670214.0|0|304643.0|0
0|2021-12-28|157391.0|0|640086.0|0|670214.0|0|304643.0|0
0|2021-12-29|157391.0|0|640086.0|0|670214.0|0|304643.0|0
0|2021-12-30|157391.0|0|640086.0|0|670214.0|0|304643.0|0
0|2021-12-31|157391.0|0|640086.0|0|670214.0|0|304643.0|0
0|2022-01-01|157391.0|0|640086.0|0|670214.0|0|304643.0|0
0|2022-01-02|157391.0|0|640086.0|0|670214.0|0|304643.0|0
0|2022-01-03|157391.0|0|640086.0|0|670214.0|0|304643.0|0
0|2022-01-04|157391.0|0|640086.0|0|670214.0|0|304643.0|0
0|2022-01-05|157391.0|0|640086.0|0|670214.0|0|304643.0|0
0|2022-01-06|157391.0|0|640086.0|0|670214.0|0|304643.0|0
0|2022-01-07|157391.0|0|640086.0|0|670214.0|0|304643.0|0
0|2022-01-08|157391.0|0|640086.0|0|670214.0|0|304643.0|0
0|2022-01-09|157391.0|0|640086.0|0|670214.0|0|304643.0|0
0|2022-01-10|157391.0|0|640086.0|0|670214.0|0|304643.0|0
0|2022-01-11|157391.0|0|640086.0|0|670214.0|0|304643.0|0
0|2022-01-12|157391.0|0|640086.0|0|670214.0|0|304643.0|0
0|2022-01-13|157391.0|0|640086.0|0|670214.0|0|304643.0|0
0|2022-01-14|157391.0|0|640086.0|0|670214.0|0|304643.0|0
0|2022-01-15|157391.0|0|640086.0|0|670214.0|0|304643.0|0
0|2022-01-16|157391.0|0|640086.0|0|670214.0|0|304643.0|0
0|2022-01-17|157391.0|0|640086.0|0|670214.0|0|304643.0|0
