|dates|Travis_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Travis_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Travis_Texas_UnitedStates.Male_Total_Population.data|Travis_Texas_UnitedStates.Male_Total_Population.missing|Travis_Texas_UnitedStates.Female_Total_Population.data|Travis_Texas_UnitedStates.Female_Total_Population.missing|Travis_Texas_UnitedStates.MaleAndFemale_Under18_Population.data|Travis_Texas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-11-13|123395.0|0|631266.0|0|617477.0|0|270726.0|0
0|2021-11-14|123395.0|0|631266.0|0|617477.0|0|270726.0|0
0|2021-11-15|123395.0|0|631266.0|0|617477.0|0|270726.0|0
0|2021-11-16|123395.0|0|631266.0|0|617477.0|0|270726.0|0
0|2021-11-17|123395.0|0|631266.0|0|617477.0|0|270726.0|0
0|2021-11-18|123395.0|0|631266.0|0|617477.0|0|270726.0|0
0|2021-11-19|123395.0|0|631266.0|0|617477.0|0|270726.0|0
0|2021-11-20|123395.0|0|631266.0|0|617477.0|0|270726.0|0
0|2021-11-21|123395.0|0|631266.0|0|617477.0|0|270726.0|0
0|2021-11-22|123395.0|0|631266.0|0|617477.0|0|270726.0|0
0|2021-11-23|123395.0|0|631266.0|0|617477.0|0|270726.0|0
0|2021-11-24|123395.0|0|631266.0|0|617477.0|0|270726.0|0
0|2021-11-25|123395.0|0|631266.0|0|617477.0|0|270726.0|0
0|2021-11-26|123395.0|0|631266.0|0|617477.0|0|270726.0|0
0|2021-11-27|123395.0|0|631266.0|0|617477.0|0|270726.0|0
0|2021-11-28|123395.0|0|631266.0|0|617477.0|0|270726.0|0
0|2021-11-29|123395.0|0|631266.0|0|617477.0|0|270726.0|0
0|2021-11-30|123395.0|0|631266.0|0|617477.0|0|270726.0|0
0|2021-12-01|123395.0|0|631266.0|0|617477.0|0|270726.0|0
0|2021-12-02|123395.0|0|631266.0|0|617477.0|0|270726.0|0
0|2021-12-03|123395.0|0|631266.0|0|617477.0|0|270726.0|0
0|2021-12-04|123395.0|0|631266.0|0|617477.0|0|270726.0|0
0|2021-12-05|123395.0|0|631266.0|0|617477.0|0|270726.0|0
0|2021-12-06|123395.0|0|631266.0|0|617477.0|0|270726.0|0
0|2021-12-07|123395.0|0|631266.0|0|617477.0|0|270726.0|0
0|2021-12-08|123395.0|0|631266.0|0|617477.0|0|270726.0|0
0|2021-12-09|123395.0|0|631266.0|0|617477.0|0|270726.0|0
0|2021-12-10|123395.0|0|631266.0|0|617477.0|0|270726.0|0
0|2021-12-11|123395.0|0|631266.0|0|617477.0|0|270726.0|0
0|2021-12-12|123395.0|0|631266.0|0|617477.0|0|270726.0|0
0|2021-12-13|123395.0|0|631266.0|0|617477.0|0|270726.0|0
0|2021-12-14|123395.0|0|631266.0|0|617477.0|0|270726.0|0
0|2021-12-15|123395.0|0|631266.0|0|617477.0|0|270726.0|0
0|2021-12-16|123395.0|0|631266.0|0|617477.0|0|270726.0|0
0|2021-12-17|123395.0|0|631266.0|0|617477.0|0|270726.0|0
0|2021-12-18|123395.0|0|631266.0|0|617477.0|0|270726.0|0
0|2021-12-19|123395.0|0|631266.0|0|617477.0|0|270726.0|0
0|2021-12-20|123395.0|0|631266.0|0|617477.0|0|270726.0|0
0|2021-12-21|123395.0|0|631266.0|0|617477.0|0|270726.0|0
0|2021-12-22|123395.0|0|631266.0|0|617477.0|0|270726.0|0
0|2021-12-23|123395.0|0|631266.0|0|617477.0|0|270726.0|0
0|2021-12-24|123395.0|0|631266.0|0|617477.0|0|270726.0|0
0|2021-12-25|123395.0|0|631266.0|0|617477.0|0|270726.0|0
0|2021-12-26|123395.0|0|631266.0|0|617477.0|0|270726.0|0
0|2021-12-27|123395.0|0|631266.0|0|617477.0|0|270726.0|0
0|2021-12-28|123395.0|0|631266.0|0|617477.0|0|270726.0|0
0|2021-12-29|123395.0|0|631266.0|0|617477.0|0|270726.0|0
0|2021-12-30|123395.0|0|631266.0|0|617477.0|0|270726.0|0
0|2021-12-31|123395.0|0|631266.0|0|617477.0|0|270726.0|0
0|2022-01-01|123395.0|0|631266.0|0|617477.0|0|270726.0|0
0|2022-01-02|123395.0|0|631266.0|0|617477.0|0|270726.0|0
0|2022-01-03|123395.0|0|631266.0|0|617477.0|0|270726.0|0
0|2022-01-04|123395.0|0|631266.0|0|617477.0|0|270726.0|0
0|2022-01-05|123395.0|0|631266.0|0|617477.0|0|270726.0|0
0|2022-01-06|123395.0|0|631266.0|0|617477.0|0|270726.0|0
0|2022-01-07|123395.0|0|631266.0|0|617477.0|0|270726.0|0
0|2022-01-08|123395.0|0|631266.0|0|617477.0|0|270726.0|0
0|2022-01-09|123395.0|0|631266.0|0|617477.0|0|270726.0|0
0|2022-01-10|123395.0|0|631266.0|0|617477.0|0|270726.0|0
0|2022-01-11|123395.0|0|631266.0|0|617477.0|0|270726.0|0
0|2022-01-12|123395.0|0|631266.0|0|617477.0|0|270726.0|0
0|2022-01-13|123395.0|0|631266.0|0|617477.0|0|270726.0|0
0|2022-01-14|123395.0|0|631266.0|0|617477.0|0|270726.0|0
0|2022-01-15|123395.0|0|631266.0|0|617477.0|0|270726.0|0
0|2022-01-16|123395.0|0|631266.0|0|617477.0|0|270726.0|0
0|2022-01-17|123395.0|0|631266.0|0|617477.0|0|270726.0|0
