|dates|Pembina_NorthDakota_UnitedStates.JHU_ConfirmedCases.data|Pembina_NorthDakota_UnitedStates.JHU_ConfirmedCases.missing|Pembina_NorthDakota_UnitedStates.NYT_ConfirmedCases.data|Pembina_NorthDakota_UnitedStates.NYT_ConfirmedCases.missing|Pembina_NorthDakota_UnitedStates.JHU_ConfirmedDeaths.data|Pembina_NorthDakota_UnitedStates.JHU_ConfirmedDeaths.missing|Pembina_NorthDakota_UnitedStates.JHU_ConfirmedRecoveries.data|Pembina_NorthDakota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-12-16|1462.0|0|1462.0|0|15.0|0|0.0|100
0|2021-12-17|1472.0|0|1472.0|0|15.0|0|0.0|100
0|2021-12-18|1478.0|0|1478.0|0|15.0|0|0.0|100
0|2021-12-19|1481.0|0|1481.0|0|15.0|0|0.0|100
0|2021-12-20|1481.0|0|1481.0|0|15.0|0|0.0|100
0|2021-12-21|1485.0|0|1485.0|0|15.0|0|0.0|100
0|2021-12-22|1489.0|0|1489.0|0|15.0|0|0.0|100
0|2021-12-23|1488.0|0|1488.0|0|15.0|0|0.0|100
0|2021-12-24|1491.0|0|1491.0|0|15.0|0|0.0|100
0|2021-12-25|1494.0|0|1494.0|0|15.0|0|0.0|100
0|2021-12-26|1494.0|0|1494.0|0|15.0|0|0.0|100
0|2021-12-27|1496.0|0|1496.0|0|15.0|0|0.0|100
0|2021-12-28|1497.0|0|1497.0|0|15.0|0|0.0|100
0|2021-12-29|1499.0|0|1499.0|0|15.0|0|0.0|100
0|2021-12-30|1501.0|0|1501.0|0|15.0|0|0.0|100
0|2021-12-31|1507.0|0|1507.0|0|15.0|0|0.0|100
0|2022-01-01|1511.0|0|1511.0|0|15.0|0|0.0|100
0|2022-01-02|1512.0|0|1512.0|0|15.0|0|0.0|100
0|2022-01-03|1514.0|0|1514.0|0|15.0|0|0.0|100
0|2022-01-04|1517.0|0|1517.0|0|16.0|0|0.0|100
0|2022-01-05|1523.0|0|1523.0|0|16.0|0|0.0|100
0|2022-01-06|1537.0|0|1537.0|0|16.0|0|0.0|100
0|2022-01-07|1538.0|0|1538.0|0|16.0|0|0.0|100
0|2022-01-08|1553.0|0|1553.0|0|16.0|0|0.0|100
0|2022-01-09|1557.0|0|1557.0|0|16.0|0|0.0|100
0|2022-01-10|1557.0|0|1557.0|0|16.0|0|0.0|100
0|2022-01-11|1573.0|0|1573.0|0|16.0|0|0.0|100
0|2022-01-12|1588.0|0|1588.0|0|16.0|0|0.0|100
0|2022-01-13|1588.0|0|1608.0|0|16.0|0|0.0|100
0|2022-01-14|1620.0|0|1620.0|0|16.0|0|0.0|100
0|2022-01-15|1639.0|0|1639.0|0|16.0|0|0.0|100
0|2022-01-16|1648.0|0|1648.0|0|16.0|0|0.0|100
0|2022-01-17|1652.0|0|0.0|100|16.0|0|0.0|100
