|dates|Jones_Texas_UnitedStates.JHU_ConfirmedCases.data|Jones_Texas_UnitedStates.JHU_ConfirmedCases.missing|Jones_Texas_UnitedStates.NYT_ConfirmedCases.data|Jones_Texas_UnitedStates.NYT_ConfirmedCases.missing|Jones_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Jones_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Jones_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Jones_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-11-24|3235.0|0|3235.0|0|76.0|0|0.0|100
0|2021-11-25|3235.0|0|3235.0|0|76.0|0|0.0|100
0|2021-11-26|3235.0|0|3235.0|0|76.0|0|0.0|100
0|2021-11-27|3235.0|0|3235.0|0|76.0|0|0.0|100
0|2021-11-28|3235.0|0|3235.0|0|76.0|0|0.0|100
0|2021-11-29|3236.0|0|3236.0|0|77.0|0|0.0|100
0|2021-11-30|3247.0|0|3247.0|0|77.0|0|0.0|100
0|2021-12-01|3248.0|0|3248.0|0|77.0|0|0.0|100
0|2021-12-02|3252.0|0|3252.0|0|77.0|0|0.0|100
0|2021-12-03|3254.0|0|3254.0|0|77.0|0|0.0|100
0|2021-12-04|3263.0|0|3263.0|0|77.0|0|0.0|100
0|2021-12-05|3265.0|0|3265.0|0|77.0|0|0.0|100
0|2021-12-06|3269.0|0|3269.0|0|77.0|0|0.0|100
0|2021-12-07|3269.0|0|3269.0|0|77.0|0|0.0|100
0|2021-12-08|3271.0|0|3271.0|0|77.0|0|0.0|100
0|2021-12-09|3276.0|0|3276.0|0|77.0|0|0.0|100
0|2021-12-10|3296.0|0|3296.0|0|78.0|0|0.0|100
0|2021-12-11|3299.0|0|3299.0|0|78.0|0|0.0|100
0|2021-12-12|3307.0|0|3307.0|0|78.0|0|0.0|100
0|2021-12-13|3312.0|0|3312.0|0|78.0|0|0.0|100
0|2021-12-14|3312.0|0|3315.0|0|78.0|0|0.0|100
0|2021-12-15|3327.0|0|3327.0|0|78.0|0|0.0|100
0|2021-12-16|3338.0|0|3338.0|0|78.0|0|0.0|100
0|2021-12-17|3340.0|0|3340.0|0|79.0|0|0.0|100
0|2021-12-18|3348.0|0|3348.0|0|79.0|0|0.0|100
0|2021-12-19|3350.0|0|3350.0|0|79.0|0|0.0|100
0|2021-12-20|3352.0|0|3352.0|0|79.0|0|0.0|100
0|2021-12-21|3356.0|0|3356.0|0|79.0|0|0.0|100
0|2021-12-22|3357.0|0|3357.0|0|79.0|0|0.0|100
0|2021-12-23|3361.0|0|3361.0|0|79.0|0|0.0|100
0|2021-12-24|3361.0|0|3361.0|0|79.0|0|0.0|100
0|2021-12-25|3361.0|0|3361.0|0|79.0|0|0.0|100
0|2021-12-26|3361.0|0|3361.0|0|79.0|0|0.0|100
0|2021-12-27|3372.0|0|3372.0|0|79.0|0|0.0|100
0|2021-12-28|3380.0|0|3380.0|0|79.0|0|0.0|100
0|2021-12-29|3384.0|0|3384.0|0|79.0|0|0.0|100
0|2021-12-30|3392.0|0|3392.0|0|79.0|0|0.0|100
0|2021-12-31|3392.0|0|3392.0|0|79.0|0|0.0|100
0|2022-01-01|3392.0|0|3392.0|0|79.0|0|0.0|100
0|2022-01-02|3392.0|0|3392.0|0|79.0|0|0.0|100
0|2022-01-03|3436.0|0|3436.0|0|80.0|0|0.0|100
0|2022-01-04|3436.0|0|3438.0|0|80.0|0|0.0|100
0|2022-01-05|3449.0|0|3449.0|0|81.0|0|0.0|100
0|2022-01-06|3464.0|0|3464.0|0|81.0|0|0.0|100
0|2022-01-07|3473.0|0|3473.0|0|81.0|0|0.0|100
0|2022-01-08|3482.0|0|3482.0|0|81.0|0|0.0|100
0|2022-01-09|3489.0|0|3489.0|0|81.0|0|0.0|100
0|2022-01-10|3500.0|0|3500.0|0|81.0|0|0.0|100
0|2022-01-11|3516.0|0|3516.0|0|81.0|0|0.0|100
0|2022-01-12|3550.0|0|3550.0|0|81.0|0|0.0|100
0|2022-01-13|3550.0|0|3584.0|0|81.0|0|0.0|100
0|2022-01-14|3584.0|0|3916.0|0|82.0|0|0.0|100
0|2022-01-15|3932.0|0|3932.0|0|82.0|0|0.0|100
0|2022-01-16|3943.0|0|3943.0|0|82.0|0|0.0|100
0|2022-01-17|3985.0|0|0.0|100|82.0|0|0.0|100
