|dates|Smith_Kansas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Smith_Kansas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Smith_Kansas_UnitedStates.Male_Total_Population.data|Smith_Kansas_UnitedStates.Male_Total_Population.missing|Smith_Kansas_UnitedStates.Female_Total_Population.data|Smith_Kansas_UnitedStates.Female_Total_Population.missing|Smith_Kansas_UnitedStates.MaleAndFemale_Under18_Population.data|Smith_Kansas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-12-20|997.0|0|1792.0|0|1811.0|0|734.0|0
0|2021-12-21|997.0|0|1792.0|0|1811.0|0|734.0|0
0|2021-12-22|997.0|0|1792.0|0|1811.0|0|734.0|0
0|2021-12-23|997.0|0|1792.0|0|1811.0|0|734.0|0
0|2021-12-24|997.0|0|1792.0|0|1811.0|0|734.0|0
0|2021-12-25|997.0|0|1792.0|0|1811.0|0|734.0|0
0|2021-12-26|997.0|0|1792.0|0|1811.0|0|734.0|0
0|2021-12-27|997.0|0|1792.0|0|1811.0|0|734.0|0
0|2021-12-28|997.0|0|1792.0|0|1811.0|0|734.0|0
0|2021-12-29|997.0|0|1792.0|0|1811.0|0|734.0|0
0|2021-12-30|997.0|0|1792.0|0|1811.0|0|734.0|0
0|2021-12-31|997.0|0|1792.0|0|1811.0|0|734.0|0
0|2022-01-01|997.0|0|1792.0|0|1811.0|0|734.0|0
0|2022-01-02|997.0|0|1792.0|0|1811.0|0|734.0|0
0|2022-01-03|997.0|0|1792.0|0|1811.0|0|734.0|0
0|2022-01-04|997.0|0|1792.0|0|1811.0|0|734.0|0
0|2022-01-05|997.0|0|1792.0|0|1811.0|0|734.0|0
0|2022-01-06|997.0|0|1792.0|0|1811.0|0|734.0|0
0|2022-01-07|997.0|0|1792.0|0|1811.0|0|734.0|0
0|2022-01-08|997.0|0|1792.0|0|1811.0|0|734.0|0
0|2022-01-09|997.0|0|1792.0|0|1811.0|0|734.0|0
0|2022-01-10|997.0|0|1792.0|0|1811.0|0|734.0|0
0|2022-01-11|997.0|0|1792.0|0|1811.0|0|734.0|0
0|2022-01-12|997.0|0|1792.0|0|1811.0|0|734.0|0
0|2022-01-13|997.0|0|1792.0|0|1811.0|0|734.0|0
0|2022-01-14|997.0|0|1792.0|0|1811.0|0|734.0|0
0|2022-01-15|997.0|0|1792.0|0|1811.0|0|734.0|0
0|2022-01-16|997.0|0|1792.0|0|1811.0|0|734.0|0
0|2022-01-17|997.0|0|1792.0|0|1811.0|0|734.0|0
