|dates|St.Lucie_Florida_UnitedStates.MaleAndFemale_AtLeast65_Population.data|St.Lucie_Florida_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|St.Lucie_Florida_UnitedStates.Male_Total_Population.data|St.Lucie_Florida_UnitedStates.Male_Total_Population.missing|St.Lucie_Florida_UnitedStates.Female_Total_Population.data|St.Lucie_Florida_UnitedStates.Female_Total_Population.missing|St.Lucie_Florida_UnitedStates.MaleAndFemale_Under18_Population.data|St.Lucie_Florida_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-12-11|77503.0|0|156975.0|0|164153.0|0|63294.0|0
0|2021-12-12|77503.0|0|156975.0|0|164153.0|0|63294.0|0
0|2021-12-13|77503.0|0|156975.0|0|164153.0|0|63294.0|0
0|2021-12-14|77503.0|0|156975.0|0|164153.0|0|63294.0|0
0|2021-12-15|77503.0|0|156975.0|0|164153.0|0|63294.0|0
0|2021-12-16|77503.0|0|156975.0|0|164153.0|0|63294.0|0
0|2021-12-17|77503.0|0|156975.0|0|164153.0|0|63294.0|0
0|2021-12-18|77503.0|0|156975.0|0|164153.0|0|63294.0|0
0|2021-12-19|77503.0|0|156975.0|0|164153.0|0|63294.0|0
0|2021-12-20|77503.0|0|156975.0|0|164153.0|0|63294.0|0
0|2021-12-21|77503.0|0|156975.0|0|164153.0|0|63294.0|0
0|2021-12-22|77503.0|0|156975.0|0|164153.0|0|63294.0|0
0|2021-12-23|77503.0|0|156975.0|0|164153.0|0|63294.0|0
0|2021-12-24|77503.0|0|156975.0|0|164153.0|0|63294.0|0
0|2021-12-25|77503.0|0|156975.0|0|164153.0|0|63294.0|0
0|2021-12-26|77503.0|0|156975.0|0|164153.0|0|63294.0|0
0|2021-12-27|77503.0|0|156975.0|0|164153.0|0|63294.0|0
0|2021-12-28|77503.0|0|156975.0|0|164153.0|0|63294.0|0
0|2021-12-29|77503.0|0|156975.0|0|164153.0|0|63294.0|0
0|2021-12-30|77503.0|0|156975.0|0|164153.0|0|63294.0|0
0|2021-12-31|77503.0|0|156975.0|0|164153.0|0|63294.0|0
0|2022-01-01|77503.0|0|156975.0|0|164153.0|0|63294.0|0
0|2022-01-02|77503.0|0|156975.0|0|164153.0|0|63294.0|0
0|2022-01-03|77503.0|0|156975.0|0|164153.0|0|63294.0|0
0|2022-01-04|77503.0|0|156975.0|0|164153.0|0|63294.0|0
0|2022-01-05|77503.0|0|156975.0|0|164153.0|0|63294.0|0
0|2022-01-06|77503.0|0|156975.0|0|164153.0|0|63294.0|0
0|2022-01-07|77503.0|0|156975.0|0|164153.0|0|63294.0|0
0|2022-01-08|77503.0|0|156975.0|0|164153.0|0|63294.0|0
0|2022-01-09|77503.0|0|156975.0|0|164153.0|0|63294.0|0
0|2022-01-10|77503.0|0|156975.0|0|164153.0|0|63294.0|0
0|2022-01-11|77503.0|0|156975.0|0|164153.0|0|63294.0|0
0|2022-01-12|77503.0|0|156975.0|0|164153.0|0|63294.0|0
0|2022-01-13|77503.0|0|156975.0|0|164153.0|0|63294.0|0
0|2022-01-14|77503.0|0|156975.0|0|164153.0|0|63294.0|0
0|2022-01-15|77503.0|0|156975.0|0|164153.0|0|63294.0|0
0|2022-01-16|77503.0|0|156975.0|0|164153.0|0|63294.0|0
0|2022-01-17|77503.0|0|156975.0|0|164153.0|0|63294.0|0
