|dates|Arlington_Virginia_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Arlington_Virginia_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Arlington_Virginia_UnitedStates.Male_Total_Population.data|Arlington_Virginia_UnitedStates.Male_Total_Population.missing|Arlington_Virginia_UnitedStates.Female_Total_Population.data|Arlington_Virginia_UnitedStates.Female_Total_Population.missing|Arlington_Virginia_UnitedStates.MaleAndFemale_Under18_Population.data|Arlington_Virginia_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-11-20|25209.0|0|119009.0|0|118512.0|0|42959.0|0
0|2021-11-21|25209.0|0|119009.0|0|118512.0|0|42959.0|0
0|2021-11-22|25209.0|0|119009.0|0|118512.0|0|42959.0|0
0|2021-11-23|25209.0|0|119009.0|0|118512.0|0|42959.0|0
0|2021-11-24|25209.0|0|119009.0|0|118512.0|0|42959.0|0
0|2021-11-25|25209.0|0|119009.0|0|118512.0|0|42959.0|0
0|2021-11-26|25209.0|0|119009.0|0|118512.0|0|42959.0|0
0|2021-11-27|25209.0|0|119009.0|0|118512.0|0|42959.0|0
0|2021-11-28|25209.0|0|119009.0|0|118512.0|0|42959.0|0
0|2021-11-29|25209.0|0|119009.0|0|118512.0|0|42959.0|0
0|2021-11-30|25209.0|0|119009.0|0|118512.0|0|42959.0|0
0|2021-12-01|25209.0|0|119009.0|0|118512.0|0|42959.0|0
0|2021-12-02|25209.0|0|119009.0|0|118512.0|0|42959.0|0
0|2021-12-03|25209.0|0|119009.0|0|118512.0|0|42959.0|0
0|2021-12-04|25209.0|0|119009.0|0|118512.0|0|42959.0|0
0|2021-12-05|25209.0|0|119009.0|0|118512.0|0|42959.0|0
0|2021-12-06|25209.0|0|119009.0|0|118512.0|0|42959.0|0
0|2021-12-07|25209.0|0|119009.0|0|118512.0|0|42959.0|0
0|2021-12-08|25209.0|0|119009.0|0|118512.0|0|42959.0|0
0|2021-12-09|25209.0|0|119009.0|0|118512.0|0|42959.0|0
0|2021-12-10|25209.0|0|119009.0|0|118512.0|0|42959.0|0
0|2021-12-11|25209.0|0|119009.0|0|118512.0|0|42959.0|0
0|2021-12-12|25209.0|0|119009.0|0|118512.0|0|42959.0|0
0|2021-12-13|25209.0|0|119009.0|0|118512.0|0|42959.0|0
0|2021-12-14|25209.0|0|119009.0|0|118512.0|0|42959.0|0
0|2021-12-15|25209.0|0|119009.0|0|118512.0|0|42959.0|0
0|2021-12-16|25209.0|0|119009.0|0|118512.0|0|42959.0|0
0|2021-12-17|25209.0|0|119009.0|0|118512.0|0|42959.0|0
0|2021-12-18|25209.0|0|119009.0|0|118512.0|0|42959.0|0
0|2021-12-19|25209.0|0|119009.0|0|118512.0|0|42959.0|0
0|2021-12-20|25209.0|0|119009.0|0|118512.0|0|42959.0|0
0|2021-12-21|25209.0|0|119009.0|0|118512.0|0|42959.0|0
0|2021-12-22|25209.0|0|119009.0|0|118512.0|0|42959.0|0
0|2021-12-23|25209.0|0|119009.0|0|118512.0|0|42959.0|0
0|2021-12-24|25209.0|0|119009.0|0|118512.0|0|42959.0|0
0|2021-12-25|25209.0|0|119009.0|0|118512.0|0|42959.0|0
0|2021-12-26|25209.0|0|119009.0|0|118512.0|0|42959.0|0
0|2021-12-27|25209.0|0|119009.0|0|118512.0|0|42959.0|0
0|2021-12-28|25209.0|0|119009.0|0|118512.0|0|42959.0|0
0|2021-12-29|25209.0|0|119009.0|0|118512.0|0|42959.0|0
0|2021-12-30|25209.0|0|119009.0|0|118512.0|0|42959.0|0
0|2021-12-31|25209.0|0|119009.0|0|118512.0|0|42959.0|0
0|2022-01-01|25209.0|0|119009.0|0|118512.0|0|42959.0|0
0|2022-01-02|25209.0|0|119009.0|0|118512.0|0|42959.0|0
0|2022-01-03|25209.0|0|119009.0|0|118512.0|0|42959.0|0
0|2022-01-04|25209.0|0|119009.0|0|118512.0|0|42959.0|0
0|2022-01-05|25209.0|0|119009.0|0|118512.0|0|42959.0|0
0|2022-01-06|25209.0|0|119009.0|0|118512.0|0|42959.0|0
0|2022-01-07|25209.0|0|119009.0|0|118512.0|0|42959.0|0
0|2022-01-08|25209.0|0|119009.0|0|118512.0|0|42959.0|0
0|2022-01-09|25209.0|0|119009.0|0|118512.0|0|42959.0|0
0|2022-01-10|25209.0|0|119009.0|0|118512.0|0|42959.0|0
0|2022-01-11|25209.0|0|119009.0|0|118512.0|0|42959.0|0
0|2022-01-12|25209.0|0|119009.0|0|118512.0|0|42959.0|0
0|2022-01-13|25209.0|0|119009.0|0|118512.0|0|42959.0|0
0|2022-01-14|25209.0|0|119009.0|0|118512.0|0|42959.0|0
0|2022-01-15|25209.0|0|119009.0|0|118512.0|0|42959.0|0
0|2022-01-16|25209.0|0|119009.0|0|118512.0|0|42959.0|0
0|2022-01-17|25209.0|0|119009.0|0|118512.0|0|42959.0|0
