|dates|Baraga_Michigan_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Baraga_Michigan_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Baraga_Michigan_UnitedStates.Male_Total_Population.data|Baraga_Michigan_UnitedStates.Male_Total_Population.missing|Baraga_Michigan_UnitedStates.Female_Total_Population.data|Baraga_Michigan_UnitedStates.Female_Total_Population.missing|Baraga_Michigan_UnitedStates.MaleAndFemale_Under18_Population.data|Baraga_Michigan_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-12-24|1840.0|0|4586.0|0|3734.0|0|1457.0|0
0|2021-12-25|1840.0|0|4586.0|0|3734.0|0|1457.0|0
0|2021-12-26|1840.0|0|4586.0|0|3734.0|0|1457.0|0
0|2021-12-27|1840.0|0|4586.0|0|3734.0|0|1457.0|0
0|2021-12-28|1840.0|0|4586.0|0|3734.0|0|1457.0|0
0|2021-12-29|1840.0|0|4586.0|0|3734.0|0|1457.0|0
0|2021-12-30|1840.0|0|4586.0|0|3734.0|0|1457.0|0
0|2021-12-31|1840.0|0|4586.0|0|3734.0|0|1457.0|0
0|2022-01-01|1840.0|0|4586.0|0|3734.0|0|1457.0|0
0|2022-01-02|1840.0|0|4586.0|0|3734.0|0|1457.0|0
0|2022-01-03|1840.0|0|4586.0|0|3734.0|0|1457.0|0
0|2022-01-04|1840.0|0|4586.0|0|3734.0|0|1457.0|0
0|2022-01-05|1840.0|0|4586.0|0|3734.0|0|1457.0|0
0|2022-01-06|1840.0|0|4586.0|0|3734.0|0|1457.0|0
0|2022-01-07|1840.0|0|4586.0|0|3734.0|0|1457.0|0
0|2022-01-08|1840.0|0|4586.0|0|3734.0|0|1457.0|0
0|2022-01-09|1840.0|0|4586.0|0|3734.0|0|1457.0|0
0|2022-01-10|1840.0|0|4586.0|0|3734.0|0|1457.0|0
0|2022-01-11|1840.0|0|4586.0|0|3734.0|0|1457.0|0
0|2022-01-12|1840.0|0|4586.0|0|3734.0|0|1457.0|0
0|2022-01-13|1840.0|0|4586.0|0|3734.0|0|1457.0|0
0|2022-01-14|1840.0|0|4586.0|0|3734.0|0|1457.0|0
0|2022-01-15|1840.0|0|4586.0|0|3734.0|0|1457.0|0
0|2022-01-16|1840.0|0|4586.0|0|3734.0|0|1457.0|0
0|2022-01-17|1840.0|0|4586.0|0|3734.0|0|1457.0|0
