|dates|Jefferson_Montana_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Jefferson_Montana_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Jefferson_Montana_UnitedStates.Male_Total_Population.data|Jefferson_Montana_UnitedStates.Male_Total_Population.missing|Jefferson_Montana_UnitedStates.Female_Total_Population.data|Jefferson_Montana_UnitedStates.Female_Total_Population.missing|Jefferson_Montana_UnitedStates.MaleAndFemale_Under18_Population.data|Jefferson_Montana_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-12-10|2594.0|0|6111.0|0|5986.0|0|2466.0|0
0|2021-12-11|2594.0|0|6111.0|0|5986.0|0|2466.0|0
0|2021-12-12|2594.0|0|6111.0|0|5986.0|0|2466.0|0
0|2021-12-13|2594.0|0|6111.0|0|5986.0|0|2466.0|0
0|2021-12-14|2594.0|0|6111.0|0|5986.0|0|2466.0|0
0|2021-12-15|2594.0|0|6111.0|0|5986.0|0|2466.0|0
0|2021-12-16|2594.0|0|6111.0|0|5986.0|0|2466.0|0
0|2021-12-17|2594.0|0|6111.0|0|5986.0|0|2466.0|0
0|2021-12-18|2594.0|0|6111.0|0|5986.0|0|2466.0|0
0|2021-12-19|2594.0|0|6111.0|0|5986.0|0|2466.0|0
0|2021-12-20|2594.0|0|6111.0|0|5986.0|0|2466.0|0
0|2021-12-21|2594.0|0|6111.0|0|5986.0|0|2466.0|0
0|2021-12-22|2594.0|0|6111.0|0|5986.0|0|2466.0|0
0|2021-12-23|2594.0|0|6111.0|0|5986.0|0|2466.0|0
0|2021-12-24|2594.0|0|6111.0|0|5986.0|0|2466.0|0
0|2021-12-25|2594.0|0|6111.0|0|5986.0|0|2466.0|0
0|2021-12-26|2594.0|0|6111.0|0|5986.0|0|2466.0|0
0|2021-12-27|2594.0|0|6111.0|0|5986.0|0|2466.0|0
0|2021-12-28|2594.0|0|6111.0|0|5986.0|0|2466.0|0
0|2021-12-29|2594.0|0|6111.0|0|5986.0|0|2466.0|0
0|2021-12-30|2594.0|0|6111.0|0|5986.0|0|2466.0|0
0|2021-12-31|2594.0|0|6111.0|0|5986.0|0|2466.0|0
0|2022-01-01|2594.0|0|6111.0|0|5986.0|0|2466.0|0
0|2022-01-02|2594.0|0|6111.0|0|5986.0|0|2466.0|0
0|2022-01-03|2594.0|0|6111.0|0|5986.0|0|2466.0|0
0|2022-01-04|2594.0|0|6111.0|0|5986.0|0|2466.0|0
0|2022-01-05|2594.0|0|6111.0|0|5986.0|0|2466.0|0
0|2022-01-06|2594.0|0|6111.0|0|5986.0|0|2466.0|0
0|2022-01-07|2594.0|0|6111.0|0|5986.0|0|2466.0|0
0|2022-01-08|2594.0|0|6111.0|0|5986.0|0|2466.0|0
0|2022-01-09|2594.0|0|6111.0|0|5986.0|0|2466.0|0
0|2022-01-10|2594.0|0|6111.0|0|5986.0|0|2466.0|0
0|2022-01-11|2594.0|0|6111.0|0|5986.0|0|2466.0|0
0|2022-01-12|2594.0|0|6111.0|0|5986.0|0|2466.0|0
0|2022-01-13|2594.0|0|6111.0|0|5986.0|0|2466.0|0
0|2022-01-14|2594.0|0|6111.0|0|5986.0|0|2466.0|0
0|2022-01-15|2594.0|0|6111.0|0|5986.0|0|2466.0|0
0|2022-01-16|2594.0|0|6111.0|0|5986.0|0|2466.0|0
0|2022-01-17|2594.0|0|6111.0|0|5986.0|0|2466.0|0
