|dates|Clarendon_SouthCarolina_UnitedStates.JHU_ConfirmedCases.data|Clarendon_SouthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Clarendon_SouthCarolina_UnitedStates.NYT_ConfirmedCases.data|Clarendon_SouthCarolina_UnitedStates.NYT_ConfirmedCases.missing|Clarendon_SouthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Clarendon_SouthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Clarendon_SouthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Clarendon_SouthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-11-30|5185.0|0|5185.0|0|136.0|0|0.0|100
0|2021-12-01|5188.0|0|5188.0|0|136.0|0|0.0|100
0|2021-12-02|5194.0|0|5194.0|0|136.0|0|0.0|100
0|2021-12-03|5198.0|0|5198.0|0|136.0|0|0.0|100
0|2021-12-04|5198.0|0|5198.0|0|136.0|0|0.0|100
0|2021-12-05|5198.0|0|5198.0|0|136.0|0|0.0|100
0|2021-12-06|5216.0|0|5216.0|0|136.0|0|0.0|100
0|2021-12-07|5220.0|0|5220.0|0|136.0|0|0.0|100
0|2021-12-08|5226.0|0|5226.0|0|136.0|0|0.0|100
0|2021-12-09|5232.0|0|5232.0|0|136.0|0|0.0|100
0|2021-12-10|5242.0|0|5242.0|0|136.0|0|0.0|100
0|2021-12-11|5242.0|0|5242.0|0|136.0|0|0.0|100
0|2021-12-12|5242.0|0|5242.0|0|136.0|0|0.0|100
0|2021-12-13|5256.0|0|5256.0|0|137.0|0|0.0|100
0|2021-12-14|5256.0|0|5259.0|0|137.0|0|0.0|100
0|2021-12-15|5275.0|0|5275.0|0|137.0|0|0.0|100
0|2021-12-16|5285.0|0|5285.0|0|137.0|0|0.0|100
0|2021-12-17|5293.0|0|5293.0|0|137.0|0|0.0|100
0|2021-12-18|5293.0|0|5293.0|0|137.0|0|0.0|100
0|2021-12-19|5293.0|0|5293.0|0|137.0|0|0.0|100
0|2021-12-20|5300.0|0|5300.0|0|137.0|0|0.0|100
0|2021-12-21|5303.0|0|5303.0|0|137.0|0|0.0|100
0|2021-12-22|5309.0|0|5309.0|0|137.0|0|0.0|100
0|2021-12-23|5324.0|0|5324.0|0|137.0|0|0.0|100
0|2021-12-24|5324.0|0|5324.0|0|137.0|0|0.0|100
0|2021-12-25|5324.0|0|5324.0|0|137.0|0|0.0|100
0|2021-12-26|5324.0|0|5324.0|0|137.0|0|0.0|100
0|2021-12-27|5324.0|0|5324.0|0|137.0|0|0.0|100
0|2021-12-28|5324.0|0|5324.0|0|137.0|0|0.0|100
0|2021-12-29|5399.0|0|5399.0|0|137.0|0|0.0|100
0|2021-12-30|5428.0|0|5428.0|0|137.0|0|0.0|100
0|2021-12-31|5467.0|0|5467.0|0|137.0|0|0.0|100
0|2022-01-01|5467.0|0|5467.0|0|137.0|0|0.0|100
0|2022-01-02|5467.0|0|5467.0|0|137.0|0|0.0|100
0|2022-01-03|5467.0|0|5467.0|0|137.0|0|0.0|100
0|2022-01-04|5661.0|0|5661.0|0|137.0|0|0.0|100
0|2022-01-05|5685.0|0|5685.0|0|138.0|0|0.0|100
0|2022-01-06|5748.0|0|5748.0|0|138.0|0|0.0|100
0|2022-01-07|5781.0|0|5781.0|0|138.0|0|0.0|100
0|2022-01-08|5781.0|0|5781.0|0|138.0|0|0.0|100
0|2022-01-09|5781.0|0|5781.0|0|138.0|0|0.0|100
0|2022-01-10|6004.0|0|6004.0|0|138.0|0|0.0|100
0|2022-01-11|6034.0|0|6034.0|0|138.0|0|0.0|100
0|2022-01-12|6168.0|0|6168.0|0|138.0|0|0.0|100
0|2022-01-13|6168.0|0|6270.0|0|138.0|0|0.0|100
0|2022-01-14|6349.0|0|6349.0|0|138.0|0|0.0|100
0|2022-01-15|6349.0|0|6349.0|0|138.0|0|0.0|100
0|2022-01-16|6349.0|0|6349.0|0|138.0|0|0.0|100
0|2022-01-17|6349.0|0|0.0|100|138.0|0|0.0|100
