|dates|Richland_SouthCarolina_UnitedStates.JHU_ConfirmedCases.data|Richland_SouthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Richland_SouthCarolina_UnitedStates.NYT_ConfirmedCases.data|Richland_SouthCarolina_UnitedStates.NYT_ConfirmedCases.missing|Richland_SouthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Richland_SouthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Richland_SouthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Richland_SouthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-12-01|70268.0|0|70268.0|0|787.0|0|0.0|100
0|2021-12-02|70359.0|0|70359.0|0|789.0|0|0.0|100
0|2021-12-03|70437.0|0|70437.0|0|789.0|0|0.0|100
0|2021-12-04|70437.0|0|70437.0|0|789.0|0|0.0|100
0|2021-12-05|70437.0|0|70437.0|0|789.0|0|0.0|100
0|2021-12-06|70622.0|0|70622.0|0|790.0|0|0.0|100
0|2021-12-07|70663.0|0|70663.0|0|791.0|0|0.0|100
0|2021-12-08|70701.0|0|70701.0|0|792.0|0|0.0|100
0|2021-12-09|70767.0|0|70767.0|0|793.0|0|0.0|100
0|2021-12-10|70854.0|0|70854.0|0|795.0|0|0.0|100
0|2021-12-11|70854.0|0|70854.0|0|795.0|0|0.0|100
0|2021-12-12|70854.0|0|70854.0|0|795.0|0|0.0|100
0|2021-12-13|71012.0|0|71012.0|0|796.0|0|0.0|100
0|2021-12-14|71012.0|0|71064.0|0|796.0|0|0.0|100
0|2021-12-15|71089.0|0|71089.0|0|799.0|0|0.0|100
0|2021-12-16|71171.0|0|71171.0|0|799.0|0|0.0|100
0|2021-12-17|71257.0|0|71257.0|0|799.0|0|0.0|100
0|2021-12-18|71257.0|0|71257.0|0|799.0|0|0.0|100
0|2021-12-19|71257.0|0|71257.0|0|799.0|0|0.0|100
0|2021-12-20|71579.0|0|71579.0|0|799.0|0|0.0|100
0|2021-12-21|71662.0|0|71662.0|0|799.0|0|0.0|100
0|2021-12-22|71773.0|0|71773.0|0|800.0|0|0.0|100
0|2021-12-23|72050.0|0|72050.0|0|800.0|0|0.0|100
0|2021-12-24|72050.0|0|72050.0|0|800.0|0|0.0|100
0|2021-12-25|72050.0|0|72050.0|0|800.0|0|0.0|100
0|2021-12-26|72050.0|0|72050.0|0|800.0|0|0.0|100
0|2021-12-27|72050.0|0|72050.0|0|800.0|0|0.0|100
0|2021-12-28|72050.0|0|72050.0|0|800.0|0|0.0|100
0|2021-12-29|74208.0|0|74208.0|0|801.0|0|0.0|100
0|2021-12-30|74853.0|0|74853.0|0|801.0|0|0.0|100
0|2021-12-31|76175.0|0|76175.0|0|801.0|0|0.0|100
0|2022-01-01|76175.0|0|76175.0|0|801.0|0|0.0|100
0|2022-01-02|76175.0|0|76175.0|0|801.0|0|0.0|100
0|2022-01-03|76175.0|0|76175.0|0|801.0|0|0.0|100
0|2022-01-04|80959.0|0|80959.0|0|805.0|0|0.0|100
0|2022-01-05|81927.0|0|81927.0|0|805.0|0|0.0|100
0|2022-01-06|83761.0|0|83761.0|0|806.0|0|0.0|100
0|2022-01-07|85356.0|0|85356.0|0|806.0|0|0.0|100
0|2022-01-08|85356.0|0|85356.0|0|806.0|0|0.0|100
0|2022-01-09|85356.0|0|85356.0|0|806.0|0|0.0|100
0|2022-01-10|89803.0|0|89803.0|0|807.0|0|0.0|100
0|2022-01-11|90724.0|0|90724.0|0|810.0|0|0.0|100
0|2022-01-12|91971.0|0|91971.0|0|811.0|0|0.0|100
0|2022-01-13|91971.0|0|93834.0|0|811.0|0|0.0|100
0|2022-01-14|95494.0|0|95494.0|0|812.0|0|0.0|100
0|2022-01-15|95494.0|0|95494.0|0|812.0|0|0.0|100
0|2022-01-16|95494.0|0|95494.0|0|812.0|0|0.0|100
0|2022-01-17|95494.0|0|0.0|100|812.0|0|0.0|100
