|dates|Henrico_Virginia_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Henrico_Virginia_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Henrico_Virginia_UnitedStates.Male_Total_Population.data|Henrico_Virginia_UnitedStates.Male_Total_Population.missing|Henrico_Virginia_UnitedStates.Female_Total_Population.data|Henrico_Virginia_UnitedStates.Female_Total_Population.missing|Henrico_Virginia_UnitedStates.MaleAndFemale_Under18_Population.data|Henrico_Virginia_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-11-19|51045.0|0|156230.0|0|173031.0|0|74272.0|0
0|2021-11-20|51045.0|0|156230.0|0|173031.0|0|74272.0|0
0|2021-11-21|51045.0|0|156230.0|0|173031.0|0|74272.0|0
0|2021-11-22|51045.0|0|156230.0|0|173031.0|0|74272.0|0
0|2021-11-23|51045.0|0|156230.0|0|173031.0|0|74272.0|0
0|2021-11-24|51045.0|0|156230.0|0|173031.0|0|74272.0|0
0|2021-11-25|51045.0|0|156230.0|0|173031.0|0|74272.0|0
0|2021-11-26|51045.0|0|156230.0|0|173031.0|0|74272.0|0
0|2021-11-27|51045.0|0|156230.0|0|173031.0|0|74272.0|0
0|2021-11-28|51045.0|0|156230.0|0|173031.0|0|74272.0|0
0|2021-11-29|51045.0|0|156230.0|0|173031.0|0|74272.0|0
0|2021-11-30|51045.0|0|156230.0|0|173031.0|0|74272.0|0
0|2021-12-01|51045.0|0|156230.0|0|173031.0|0|74272.0|0
0|2021-12-02|51045.0|0|156230.0|0|173031.0|0|74272.0|0
0|2021-12-03|51045.0|0|156230.0|0|173031.0|0|74272.0|0
0|2021-12-04|51045.0|0|156230.0|0|173031.0|0|74272.0|0
0|2021-12-05|51045.0|0|156230.0|0|173031.0|0|74272.0|0
0|2021-12-06|51045.0|0|156230.0|0|173031.0|0|74272.0|0
0|2021-12-07|51045.0|0|156230.0|0|173031.0|0|74272.0|0
0|2021-12-08|51045.0|0|156230.0|0|173031.0|0|74272.0|0
0|2021-12-09|51045.0|0|156230.0|0|173031.0|0|74272.0|0
0|2021-12-10|51045.0|0|156230.0|0|173031.0|0|74272.0|0
0|2021-12-11|51045.0|0|156230.0|0|173031.0|0|74272.0|0
0|2021-12-12|51045.0|0|156230.0|0|173031.0|0|74272.0|0
0|2021-12-13|51045.0|0|156230.0|0|173031.0|0|74272.0|0
0|2021-12-14|51045.0|0|156230.0|0|173031.0|0|74272.0|0
0|2021-12-15|51045.0|0|156230.0|0|173031.0|0|74272.0|0
0|2021-12-16|51045.0|0|156230.0|0|173031.0|0|74272.0|0
0|2021-12-17|51045.0|0|156230.0|0|173031.0|0|74272.0|0
0|2021-12-18|51045.0|0|156230.0|0|173031.0|0|74272.0|0
0|2021-12-19|51045.0|0|156230.0|0|173031.0|0|74272.0|0
0|2021-12-20|51045.0|0|156230.0|0|173031.0|0|74272.0|0
0|2021-12-21|51045.0|0|156230.0|0|173031.0|0|74272.0|0
0|2021-12-22|51045.0|0|156230.0|0|173031.0|0|74272.0|0
0|2021-12-23|51045.0|0|156230.0|0|173031.0|0|74272.0|0
0|2021-12-24|51045.0|0|156230.0|0|173031.0|0|74272.0|0
0|2021-12-25|51045.0|0|156230.0|0|173031.0|0|74272.0|0
0|2021-12-26|51045.0|0|156230.0|0|173031.0|0|74272.0|0
0|2021-12-27|51045.0|0|156230.0|0|173031.0|0|74272.0|0
0|2021-12-28|51045.0|0|156230.0|0|173031.0|0|74272.0|0
0|2021-12-29|51045.0|0|156230.0|0|173031.0|0|74272.0|0
0|2021-12-30|51045.0|0|156230.0|0|173031.0|0|74272.0|0
0|2021-12-31|51045.0|0|156230.0|0|173031.0|0|74272.0|0
0|2022-01-01|51045.0|0|156230.0|0|173031.0|0|74272.0|0
0|2022-01-02|51045.0|0|156230.0|0|173031.0|0|74272.0|0
0|2022-01-03|51045.0|0|156230.0|0|173031.0|0|74272.0|0
0|2022-01-04|51045.0|0|156230.0|0|173031.0|0|74272.0|0
0|2022-01-05|51045.0|0|156230.0|0|173031.0|0|74272.0|0
0|2022-01-06|51045.0|0|156230.0|0|173031.0|0|74272.0|0
0|2022-01-07|51045.0|0|156230.0|0|173031.0|0|74272.0|0
0|2022-01-08|51045.0|0|156230.0|0|173031.0|0|74272.0|0
0|2022-01-09|51045.0|0|156230.0|0|173031.0|0|74272.0|0
0|2022-01-10|51045.0|0|156230.0|0|173031.0|0|74272.0|0
0|2022-01-11|51045.0|0|156230.0|0|173031.0|0|74272.0|0
0|2022-01-12|51045.0|0|156230.0|0|173031.0|0|74272.0|0
0|2022-01-13|51045.0|0|156230.0|0|173031.0|0|74272.0|0
0|2022-01-14|51045.0|0|156230.0|0|173031.0|0|74272.0|0
0|2022-01-15|51045.0|0|156230.0|0|173031.0|0|74272.0|0
0|2022-01-16|51045.0|0|156230.0|0|173031.0|0|74272.0|0
0|2022-01-17|51045.0|0|156230.0|0|173031.0|0|74272.0|0
