|dates|Irion_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Irion_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Irion_Texas_UnitedStates.Male_Total_Population.data|Irion_Texas_UnitedStates.Male_Total_Population.missing|Irion_Texas_UnitedStates.Female_Total_Population.data|Irion_Texas_UnitedStates.Female_Total_Population.missing|Irion_Texas_UnitedStates.MaleAndFemale_Under18_Population.data|Irion_Texas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-11-24|327.0|0|781.0|0|741.0|0|335.0|0
0|2021-11-25|327.0|0|781.0|0|741.0|0|335.0|0
0|2021-11-26|327.0|0|781.0|0|741.0|0|335.0|0
0|2021-11-27|327.0|0|781.0|0|741.0|0|335.0|0
0|2021-11-28|327.0|0|781.0|0|741.0|0|335.0|0
0|2021-11-29|327.0|0|781.0|0|741.0|0|335.0|0
0|2021-11-30|327.0|0|781.0|0|741.0|0|335.0|0
0|2021-12-01|327.0|0|781.0|0|741.0|0|335.0|0
0|2021-12-02|327.0|0|781.0|0|741.0|0|335.0|0
0|2021-12-03|327.0|0|781.0|0|741.0|0|335.0|0
0|2021-12-04|327.0|0|781.0|0|741.0|0|335.0|0
0|2021-12-05|327.0|0|781.0|0|741.0|0|335.0|0
0|2021-12-06|327.0|0|781.0|0|741.0|0|335.0|0
0|2021-12-07|327.0|0|781.0|0|741.0|0|335.0|0
0|2021-12-08|327.0|0|781.0|0|741.0|0|335.0|0
0|2021-12-09|327.0|0|781.0|0|741.0|0|335.0|0
0|2021-12-10|327.0|0|781.0|0|741.0|0|335.0|0
0|2021-12-11|327.0|0|781.0|0|741.0|0|335.0|0
0|2021-12-12|327.0|0|781.0|0|741.0|0|335.0|0
0|2021-12-13|327.0|0|781.0|0|741.0|0|335.0|0
0|2021-12-14|327.0|0|781.0|0|741.0|0|335.0|0
0|2021-12-15|327.0|0|781.0|0|741.0|0|335.0|0
0|2021-12-16|327.0|0|781.0|0|741.0|0|335.0|0
0|2021-12-17|327.0|0|781.0|0|741.0|0|335.0|0
0|2021-12-18|327.0|0|781.0|0|741.0|0|335.0|0
0|2021-12-19|327.0|0|781.0|0|741.0|0|335.0|0
0|2021-12-20|327.0|0|781.0|0|741.0|0|335.0|0
0|2021-12-21|327.0|0|781.0|0|741.0|0|335.0|0
0|2021-12-22|327.0|0|781.0|0|741.0|0|335.0|0
0|2021-12-23|327.0|0|781.0|0|741.0|0|335.0|0
0|2021-12-24|327.0|0|781.0|0|741.0|0|335.0|0
0|2021-12-25|327.0|0|781.0|0|741.0|0|335.0|0
0|2021-12-26|327.0|0|781.0|0|741.0|0|335.0|0
0|2021-12-27|327.0|0|781.0|0|741.0|0|335.0|0
0|2021-12-28|327.0|0|781.0|0|741.0|0|335.0|0
0|2021-12-29|327.0|0|781.0|0|741.0|0|335.0|0
0|2021-12-30|327.0|0|781.0|0|741.0|0|335.0|0
0|2021-12-31|327.0|0|781.0|0|741.0|0|335.0|0
0|2022-01-01|327.0|0|781.0|0|741.0|0|335.0|0
0|2022-01-02|327.0|0|781.0|0|741.0|0|335.0|0
0|2022-01-03|327.0|0|781.0|0|741.0|0|335.0|0
0|2022-01-04|327.0|0|781.0|0|741.0|0|335.0|0
0|2022-01-05|327.0|0|781.0|0|741.0|0|335.0|0
0|2022-01-06|327.0|0|781.0|0|741.0|0|335.0|0
0|2022-01-07|327.0|0|781.0|0|741.0|0|335.0|0
0|2022-01-08|327.0|0|781.0|0|741.0|0|335.0|0
0|2022-01-09|327.0|0|781.0|0|741.0|0|335.0|0
0|2022-01-10|327.0|0|781.0|0|741.0|0|335.0|0
0|2022-01-11|327.0|0|781.0|0|741.0|0|335.0|0
0|2022-01-12|327.0|0|781.0|0|741.0|0|335.0|0
0|2022-01-13|327.0|0|781.0|0|741.0|0|335.0|0
0|2022-01-14|327.0|0|781.0|0|741.0|0|335.0|0
0|2022-01-15|327.0|0|781.0|0|741.0|0|335.0|0
0|2022-01-16|327.0|0|781.0|0|741.0|0|335.0|0
0|2022-01-17|327.0|0|781.0|0|741.0|0|335.0|0
