|dates|Prairie_Montana_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Prairie_Montana_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Prairie_Montana_UnitedStates.Male_Total_Population.data|Prairie_Montana_UnitedStates.Male_Total_Population.missing|Prairie_Montana_UnitedStates.Female_Total_Population.data|Prairie_Montana_UnitedStates.Female_Total_Population.missing|Prairie_Montana_UnitedStates.MaleAndFemale_Under18_Population.data|Prairie_Montana_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-11-11|346.0|0|553.0|0|534.0|0|188.0|0
0|2021-11-12|346.0|0|553.0|0|534.0|0|188.0|0
0|2021-11-13|346.0|0|553.0|0|534.0|0|188.0|0
0|2021-11-14|346.0|0|553.0|0|534.0|0|188.0|0
0|2021-11-15|346.0|0|553.0|0|534.0|0|188.0|0
0|2021-11-16|346.0|0|553.0|0|534.0|0|188.0|0
0|2021-11-17|346.0|0|553.0|0|534.0|0|188.0|0
0|2021-11-18|346.0|0|553.0|0|534.0|0|188.0|0
0|2021-11-19|346.0|0|553.0|0|534.0|0|188.0|0
0|2021-11-20|346.0|0|553.0|0|534.0|0|188.0|0
0|2021-11-21|346.0|0|553.0|0|534.0|0|188.0|0
0|2021-11-22|346.0|0|553.0|0|534.0|0|188.0|0
0|2021-11-23|346.0|0|553.0|0|534.0|0|188.0|0
0|2021-11-24|346.0|0|553.0|0|534.0|0|188.0|0
0|2021-11-25|346.0|0|553.0|0|534.0|0|188.0|0
0|2021-11-26|346.0|0|553.0|0|534.0|0|188.0|0
0|2021-11-27|346.0|0|553.0|0|534.0|0|188.0|0
0|2021-11-28|346.0|0|553.0|0|534.0|0|188.0|0
0|2021-11-29|346.0|0|553.0|0|534.0|0|188.0|0
0|2021-11-30|346.0|0|553.0|0|534.0|0|188.0|0
0|2021-12-01|346.0|0|553.0|0|534.0|0|188.0|0
0|2021-12-02|346.0|0|553.0|0|534.0|0|188.0|0
0|2021-12-03|346.0|0|553.0|0|534.0|0|188.0|0
0|2021-12-04|346.0|0|553.0|0|534.0|0|188.0|0
0|2021-12-05|346.0|0|553.0|0|534.0|0|188.0|0
0|2021-12-06|346.0|0|553.0|0|534.0|0|188.0|0
0|2021-12-07|346.0|0|553.0|0|534.0|0|188.0|0
0|2021-12-08|346.0|0|553.0|0|534.0|0|188.0|0
0|2021-12-09|346.0|0|553.0|0|534.0|0|188.0|0
0|2021-12-10|346.0|0|553.0|0|534.0|0|188.0|0
0|2021-12-11|346.0|0|553.0|0|534.0|0|188.0|0
0|2021-12-12|346.0|0|553.0|0|534.0|0|188.0|0
0|2021-12-13|346.0|0|553.0|0|534.0|0|188.0|0
0|2021-12-14|346.0|0|553.0|0|534.0|0|188.0|0
0|2021-12-15|346.0|0|553.0|0|534.0|0|188.0|0
0|2021-12-16|346.0|0|553.0|0|534.0|0|188.0|0
0|2021-12-17|346.0|0|553.0|0|534.0|0|188.0|0
0|2021-12-18|346.0|0|553.0|0|534.0|0|188.0|0
0|2021-12-19|346.0|0|553.0|0|534.0|0|188.0|0
0|2021-12-20|346.0|0|553.0|0|534.0|0|188.0|0
0|2021-12-21|346.0|0|553.0|0|534.0|0|188.0|0
0|2021-12-22|346.0|0|553.0|0|534.0|0|188.0|0
0|2021-12-23|346.0|0|553.0|0|534.0|0|188.0|0
0|2021-12-24|346.0|0|553.0|0|534.0|0|188.0|0
0|2021-12-25|346.0|0|553.0|0|534.0|0|188.0|0
0|2021-12-26|346.0|0|553.0|0|534.0|0|188.0|0
0|2021-12-27|346.0|0|553.0|0|534.0|0|188.0|0
0|2021-12-28|346.0|0|553.0|0|534.0|0|188.0|0
0|2021-12-29|346.0|0|553.0|0|534.0|0|188.0|0
0|2021-12-30|346.0|0|553.0|0|534.0|0|188.0|0
0|2021-12-31|346.0|0|553.0|0|534.0|0|188.0|0
0|2022-01-01|346.0|0|553.0|0|534.0|0|188.0|0
0|2022-01-02|346.0|0|553.0|0|534.0|0|188.0|0
0|2022-01-03|346.0|0|553.0|0|534.0|0|188.0|0
0|2022-01-04|346.0|0|553.0|0|534.0|0|188.0|0
0|2022-01-05|346.0|0|553.0|0|534.0|0|188.0|0
0|2022-01-06|346.0|0|553.0|0|534.0|0|188.0|0
0|2022-01-07|346.0|0|553.0|0|534.0|0|188.0|0
0|2022-01-08|346.0|0|553.0|0|534.0|0|188.0|0
0|2022-01-09|346.0|0|553.0|0|534.0|0|188.0|0
0|2022-01-10|346.0|0|553.0|0|534.0|0|188.0|0
0|2022-01-11|346.0|0|553.0|0|534.0|0|188.0|0
0|2022-01-12|346.0|0|553.0|0|534.0|0|188.0|0
0|2022-01-13|346.0|0|553.0|0|534.0|0|188.0|0
0|2022-01-14|346.0|0|553.0|0|534.0|0|188.0|0
0|2022-01-15|346.0|0|553.0|0|534.0|0|188.0|0
0|2022-01-16|346.0|0|553.0|0|534.0|0|188.0|0
0|2022-01-17|346.0|0|553.0|0|534.0|0|188.0|0
