|dates|Cheyenne_Colorado_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Cheyenne_Colorado_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Cheyenne_Colorado_UnitedStates.Male_Total_Population.data|Cheyenne_Colorado_UnitedStates.Male_Total_Population.missing|Cheyenne_Colorado_UnitedStates.Female_Total_Population.data|Cheyenne_Colorado_UnitedStates.Female_Total_Population.missing|Cheyenne_Colorado_UnitedStates.MaleAndFemale_Under18_Population.data|Cheyenne_Colorado_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-11-16|385.0|0|954.0|0|922.0|0|477.0|0
0|2021-11-17|385.0|0|954.0|0|922.0|0|477.0|0
0|2021-11-18|385.0|0|954.0|0|922.0|0|477.0|0
0|2021-11-19|385.0|0|954.0|0|922.0|0|477.0|0
0|2021-11-20|385.0|0|954.0|0|922.0|0|477.0|0
0|2021-11-21|385.0|0|954.0|0|922.0|0|477.0|0
0|2021-11-22|385.0|0|954.0|0|922.0|0|477.0|0
0|2021-11-23|385.0|0|954.0|0|922.0|0|477.0|0
0|2021-11-24|385.0|0|954.0|0|922.0|0|477.0|0
0|2021-11-25|385.0|0|954.0|0|922.0|0|477.0|0
0|2021-11-26|385.0|0|954.0|0|922.0|0|477.0|0
0|2021-11-27|385.0|0|954.0|0|922.0|0|477.0|0
0|2021-11-28|385.0|0|954.0|0|922.0|0|477.0|0
0|2021-11-29|385.0|0|954.0|0|922.0|0|477.0|0
0|2021-11-30|385.0|0|954.0|0|922.0|0|477.0|0
0|2021-12-01|385.0|0|954.0|0|922.0|0|477.0|0
0|2021-12-02|385.0|0|954.0|0|922.0|0|477.0|0
0|2021-12-03|385.0|0|954.0|0|922.0|0|477.0|0
0|2021-12-04|385.0|0|954.0|0|922.0|0|477.0|0
0|2021-12-05|385.0|0|954.0|0|922.0|0|477.0|0
0|2021-12-06|385.0|0|954.0|0|922.0|0|477.0|0
0|2021-12-07|385.0|0|954.0|0|922.0|0|477.0|0
0|2021-12-08|385.0|0|954.0|0|922.0|0|477.0|0
0|2021-12-09|385.0|0|954.0|0|922.0|0|477.0|0
0|2021-12-10|385.0|0|954.0|0|922.0|0|477.0|0
0|2021-12-11|385.0|0|954.0|0|922.0|0|477.0|0
0|2021-12-12|385.0|0|954.0|0|922.0|0|477.0|0
0|2021-12-13|385.0|0|954.0|0|922.0|0|477.0|0
0|2021-12-14|385.0|0|954.0|0|922.0|0|477.0|0
0|2021-12-15|385.0|0|954.0|0|922.0|0|477.0|0
0|2021-12-16|385.0|0|954.0|0|922.0|0|477.0|0
0|2021-12-17|385.0|0|954.0|0|922.0|0|477.0|0
0|2021-12-18|385.0|0|954.0|0|922.0|0|477.0|0
0|2021-12-19|385.0|0|954.0|0|922.0|0|477.0|0
0|2021-12-20|385.0|0|954.0|0|922.0|0|477.0|0
0|2021-12-21|385.0|0|954.0|0|922.0|0|477.0|0
0|2021-12-22|385.0|0|954.0|0|922.0|0|477.0|0
0|2021-12-23|385.0|0|954.0|0|922.0|0|477.0|0
0|2021-12-24|385.0|0|954.0|0|922.0|0|477.0|0
0|2021-12-25|385.0|0|954.0|0|922.0|0|477.0|0
0|2021-12-26|385.0|0|954.0|0|922.0|0|477.0|0
0|2021-12-27|385.0|0|954.0|0|922.0|0|477.0|0
0|2021-12-28|385.0|0|954.0|0|922.0|0|477.0|0
0|2021-12-29|385.0|0|954.0|0|922.0|0|477.0|0
0|2021-12-30|385.0|0|954.0|0|922.0|0|477.0|0
0|2021-12-31|385.0|0|954.0|0|922.0|0|477.0|0
0|2022-01-01|385.0|0|954.0|0|922.0|0|477.0|0
0|2022-01-02|385.0|0|954.0|0|922.0|0|477.0|0
0|2022-01-03|385.0|0|954.0|0|922.0|0|477.0|0
0|2022-01-04|385.0|0|954.0|0|922.0|0|477.0|0
0|2022-01-05|385.0|0|954.0|0|922.0|0|477.0|0
0|2022-01-06|385.0|0|954.0|0|922.0|0|477.0|0
0|2022-01-07|385.0|0|954.0|0|922.0|0|477.0|0
0|2022-01-08|385.0|0|954.0|0|922.0|0|477.0|0
0|2022-01-09|385.0|0|954.0|0|922.0|0|477.0|0
0|2022-01-10|385.0|0|954.0|0|922.0|0|477.0|0
0|2022-01-11|385.0|0|954.0|0|922.0|0|477.0|0
0|2022-01-12|385.0|0|954.0|0|922.0|0|477.0|0
0|2022-01-13|385.0|0|954.0|0|922.0|0|477.0|0
0|2022-01-14|385.0|0|954.0|0|922.0|0|477.0|0
0|2022-01-15|385.0|0|954.0|0|922.0|0|477.0|0
0|2022-01-16|385.0|0|954.0|0|922.0|0|477.0|0
0|2022-01-17|385.0|0|954.0|0|922.0|0|477.0|0
