|dates|Delaware_NewYork_UnitedStates.JHU_ConfirmedCases.data|Delaware_NewYork_UnitedStates.JHU_ConfirmedCases.missing|Delaware_NewYork_UnitedStates.NYT_ConfirmedCases.data|Delaware_NewYork_UnitedStates.NYT_ConfirmedCases.missing|Delaware_NewYork_UnitedStates.JHU_ConfirmedDeaths.data|Delaware_NewYork_UnitedStates.JHU_ConfirmedDeaths.missing|Delaware_NewYork_UnitedStates.JHU_ConfirmedRecoveries.data|Delaware_NewYork_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-12-23|5251.0|0|5251.0|0|57.0|0|0.0|100
0|2021-12-24|5297.0|0|5297.0|0|57.0|0|0.0|100
0|2021-12-25|5297.0|0|5297.0|0|57.0|0|0.0|100
0|2021-12-26|5322.0|0|5322.0|0|57.0|0|0.0|100
0|2021-12-27|5332.0|0|5332.0|0|57.0|0|0.0|100
0|2021-12-28|5338.0|0|5338.0|0|57.0|0|0.0|100
0|2021-12-29|5393.0|0|5393.0|0|58.0|0|0.0|100
0|2021-12-30|5454.0|0|5454.0|0|58.0|0|0.0|100
0|2021-12-31|5499.0|0|5499.0|0|58.0|0|0.0|100
0|2022-01-01|5499.0|0|5555.0|0|59.0|0|0.0|100
0|2022-01-02|5499.0|0|5605.0|0|59.0|0|0.0|100
0|2022-01-03|5629.0|0|5629.0|0|59.0|0|0.0|100
0|2022-01-04|5681.0|0|5681.0|0|59.0|0|0.0|100
0|2022-01-05|5762.0|0|5762.0|0|59.0|0|0.0|100
0|2022-01-06|5880.0|0|5880.0|0|59.0|0|0.0|100
0|2022-01-07|5977.0|0|5977.0|0|59.0|0|0.0|100
0|2022-01-08|6080.0|0|6080.0|0|59.0|0|0.0|100
0|2022-01-09|6184.0|0|6184.0|0|61.0|0|0.0|100
0|2022-01-10|6221.0|0|6221.0|0|61.0|0|0.0|100
0|2022-01-11|6264.0|0|6264.0|0|61.0|0|0.0|100
0|2022-01-12|6324.0|0|6324.0|0|61.0|0|0.0|100
0|2022-01-13|6324.0|0|6402.0|0|61.0|0|0.0|100
0|2022-01-14|6487.0|0|6487.0|0|62.0|0|0.0|100
0|2022-01-15|6548.0|0|6548.0|0|62.0|0|0.0|100
0|2022-01-16|6596.0|0|6596.0|0|62.0|0|0.0|100
0|2022-01-17|6629.0|0|0.0|100|62.0|0|0.0|100
