|dates|Banner_Nebraska_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Banner_Nebraska_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Banner_Nebraska_UnitedStates.Male_Total_Population.data|Banner_Nebraska_UnitedStates.Male_Total_Population.missing|Banner_Nebraska_UnitedStates.Female_Total_Population.data|Banner_Nebraska_UnitedStates.Female_Total_Population.missing|Banner_Nebraska_UnitedStates.MaleAndFemale_Under18_Population.data|Banner_Nebraska_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-12-13|174.0|0|350.0|0|380.0|0|172.0|0
0|2021-12-14|174.0|0|350.0|0|380.0|0|172.0|0
0|2021-12-15|174.0|0|350.0|0|380.0|0|172.0|0
0|2021-12-16|174.0|0|350.0|0|380.0|0|172.0|0
0|2021-12-17|174.0|0|350.0|0|380.0|0|172.0|0
0|2021-12-18|174.0|0|350.0|0|380.0|0|172.0|0
0|2021-12-19|174.0|0|350.0|0|380.0|0|172.0|0
0|2021-12-20|174.0|0|350.0|0|380.0|0|172.0|0
0|2021-12-21|174.0|0|350.0|0|380.0|0|172.0|0
0|2021-12-22|174.0|0|350.0|0|380.0|0|172.0|0
0|2021-12-23|174.0|0|350.0|0|380.0|0|172.0|0
0|2021-12-24|174.0|0|350.0|0|380.0|0|172.0|0
0|2021-12-25|174.0|0|350.0|0|380.0|0|172.0|0
0|2021-12-26|174.0|0|350.0|0|380.0|0|172.0|0
0|2021-12-27|174.0|0|350.0|0|380.0|0|172.0|0
0|2021-12-28|174.0|0|350.0|0|380.0|0|172.0|0
0|2021-12-29|174.0|0|350.0|0|380.0|0|172.0|0
0|2021-12-30|174.0|0|350.0|0|380.0|0|172.0|0
0|2021-12-31|174.0|0|350.0|0|380.0|0|172.0|0
0|2022-01-01|174.0|0|350.0|0|380.0|0|172.0|0
0|2022-01-02|174.0|0|350.0|0|380.0|0|172.0|0
0|2022-01-03|174.0|0|350.0|0|380.0|0|172.0|0
0|2022-01-04|174.0|0|350.0|0|380.0|0|172.0|0
0|2022-01-05|174.0|0|350.0|0|380.0|0|172.0|0
0|2022-01-06|174.0|0|350.0|0|380.0|0|172.0|0
0|2022-01-07|174.0|0|350.0|0|380.0|0|172.0|0
0|2022-01-08|174.0|0|350.0|0|380.0|0|172.0|0
0|2022-01-09|174.0|0|350.0|0|380.0|0|172.0|0
0|2022-01-10|174.0|0|350.0|0|380.0|0|172.0|0
0|2022-01-11|174.0|0|350.0|0|380.0|0|172.0|0
0|2022-01-12|174.0|0|350.0|0|380.0|0|172.0|0
0|2022-01-13|174.0|0|350.0|0|380.0|0|172.0|0
0|2022-01-14|174.0|0|350.0|0|380.0|0|172.0|0
0|2022-01-15|174.0|0|350.0|0|380.0|0|172.0|0
0|2022-01-16|174.0|0|350.0|0|380.0|0|172.0|0
0|2022-01-17|174.0|0|350.0|0|380.0|0|172.0|0
