|dates|Kearny_Kansas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Kearny_Kansas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Kearny_Kansas_UnitedStates.Male_Total_Population.data|Kearny_Kansas_UnitedStates.Male_Total_Population.missing|Kearny_Kansas_UnitedStates.Female_Total_Population.data|Kearny_Kansas_UnitedStates.Female_Total_Population.missing|Kearny_Kansas_UnitedStates.MaleAndFemale_Under18_Population.data|Kearny_Kansas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-11-18|612.0|0|1967.0|0|1976.0|0|1142.0|0
0|2021-11-19|612.0|0|1967.0|0|1976.0|0|1142.0|0
0|2021-11-20|612.0|0|1967.0|0|1976.0|0|1142.0|0
0|2021-11-21|612.0|0|1967.0|0|1976.0|0|1142.0|0
0|2021-11-22|612.0|0|1967.0|0|1976.0|0|1142.0|0
0|2021-11-23|612.0|0|1967.0|0|1976.0|0|1142.0|0
0|2021-11-24|612.0|0|1967.0|0|1976.0|0|1142.0|0
0|2021-11-25|612.0|0|1967.0|0|1976.0|0|1142.0|0
0|2021-11-26|612.0|0|1967.0|0|1976.0|0|1142.0|0
0|2021-11-27|612.0|0|1967.0|0|1976.0|0|1142.0|0
0|2021-11-28|612.0|0|1967.0|0|1976.0|0|1142.0|0
0|2021-11-29|612.0|0|1967.0|0|1976.0|0|1142.0|0
0|2021-11-30|612.0|0|1967.0|0|1976.0|0|1142.0|0
0|2021-12-01|612.0|0|1967.0|0|1976.0|0|1142.0|0
0|2021-12-02|612.0|0|1967.0|0|1976.0|0|1142.0|0
0|2021-12-03|612.0|0|1967.0|0|1976.0|0|1142.0|0
0|2021-12-04|612.0|0|1967.0|0|1976.0|0|1142.0|0
0|2021-12-05|612.0|0|1967.0|0|1976.0|0|1142.0|0
0|2021-12-06|612.0|0|1967.0|0|1976.0|0|1142.0|0
0|2021-12-07|612.0|0|1967.0|0|1976.0|0|1142.0|0
0|2021-12-08|612.0|0|1967.0|0|1976.0|0|1142.0|0
0|2021-12-09|612.0|0|1967.0|0|1976.0|0|1142.0|0
0|2021-12-10|612.0|0|1967.0|0|1976.0|0|1142.0|0
0|2021-12-11|612.0|0|1967.0|0|1976.0|0|1142.0|0
0|2021-12-12|612.0|0|1967.0|0|1976.0|0|1142.0|0
0|2021-12-13|612.0|0|1967.0|0|1976.0|0|1142.0|0
0|2021-12-14|612.0|0|1967.0|0|1976.0|0|1142.0|0
0|2021-12-15|612.0|0|1967.0|0|1976.0|0|1142.0|0
0|2021-12-16|612.0|0|1967.0|0|1976.0|0|1142.0|0
0|2021-12-17|612.0|0|1967.0|0|1976.0|0|1142.0|0
0|2021-12-18|612.0|0|1967.0|0|1976.0|0|1142.0|0
0|2021-12-19|612.0|0|1967.0|0|1976.0|0|1142.0|0
0|2021-12-20|612.0|0|1967.0|0|1976.0|0|1142.0|0
0|2021-12-21|612.0|0|1967.0|0|1976.0|0|1142.0|0
0|2021-12-22|612.0|0|1967.0|0|1976.0|0|1142.0|0
0|2021-12-23|612.0|0|1967.0|0|1976.0|0|1142.0|0
0|2021-12-24|612.0|0|1967.0|0|1976.0|0|1142.0|0
0|2021-12-25|612.0|0|1967.0|0|1976.0|0|1142.0|0
0|2021-12-26|612.0|0|1967.0|0|1976.0|0|1142.0|0
0|2021-12-27|612.0|0|1967.0|0|1976.0|0|1142.0|0
0|2021-12-28|612.0|0|1967.0|0|1976.0|0|1142.0|0
0|2021-12-29|612.0|0|1967.0|0|1976.0|0|1142.0|0
0|2021-12-30|612.0|0|1967.0|0|1976.0|0|1142.0|0
0|2021-12-31|612.0|0|1967.0|0|1976.0|0|1142.0|0
0|2022-01-01|612.0|0|1967.0|0|1976.0|0|1142.0|0
0|2022-01-02|612.0|0|1967.0|0|1976.0|0|1142.0|0
0|2022-01-03|612.0|0|1967.0|0|1976.0|0|1142.0|0
0|2022-01-04|612.0|0|1967.0|0|1976.0|0|1142.0|0
0|2022-01-05|612.0|0|1967.0|0|1976.0|0|1142.0|0
0|2022-01-06|612.0|0|1967.0|0|1976.0|0|1142.0|0
0|2022-01-07|612.0|0|1967.0|0|1976.0|0|1142.0|0
0|2022-01-08|612.0|0|1967.0|0|1976.0|0|1142.0|0
0|2022-01-09|612.0|0|1967.0|0|1976.0|0|1142.0|0
0|2022-01-10|612.0|0|1967.0|0|1976.0|0|1142.0|0
0|2022-01-11|612.0|0|1967.0|0|1976.0|0|1142.0|0
0|2022-01-12|612.0|0|1967.0|0|1976.0|0|1142.0|0
0|2022-01-13|612.0|0|1967.0|0|1976.0|0|1142.0|0
0|2022-01-14|612.0|0|1967.0|0|1976.0|0|1142.0|0
0|2022-01-15|612.0|0|1967.0|0|1976.0|0|1142.0|0
0|2022-01-16|612.0|0|1967.0|0|1976.0|0|1142.0|0
0|2022-01-17|612.0|0|1967.0|0|1976.0|0|1142.0|0
