|dates|Aroostook_Maine_UnitedStates.JHU_ConfirmedCases.data|Aroostook_Maine_UnitedStates.JHU_ConfirmedCases.missing|Aroostook_Maine_UnitedStates.NYT_ConfirmedCases.data|Aroostook_Maine_UnitedStates.NYT_ConfirmedCases.missing|Aroostook_Maine_UnitedStates.JHU_ConfirmedDeaths.data|Aroostook_Maine_UnitedStates.JHU_ConfirmedDeaths.missing|Aroostook_Maine_UnitedStates.JHU_ConfirmedRecoveries.data|Aroostook_Maine_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-12-04|5632.0|0|5632.0|0|88.0|0|0.0|100
0|2021-12-05|5632.0|0|5632.0|0|88.0|0|0.0|100
0|2021-12-06|5632.0|0|5632.0|0|88.0|0|0.0|100
0|2021-12-07|5719.0|0|5719.0|0|89.0|0|0.0|100
0|2021-12-08|5823.0|0|5823.0|0|89.0|0|0.0|100
0|2021-12-09|5925.0|0|5925.0|0|89.0|0|0.0|100
0|2021-12-10|6201.0|0|6201.0|0|90.0|0|0.0|100
0|2021-12-11|6282.0|0|6282.0|0|90.0|0|0.0|100
0|2021-12-12|6286.0|0|6286.0|0|90.0|0|0.0|100
0|2021-12-13|6287.0|0|6287.0|0|90.0|0|0.0|100
0|2021-12-14|6287.0|0|6416.0|0|90.0|0|0.0|100
0|2021-12-15|6493.0|0|6493.0|0|90.0|0|0.0|100
0|2021-12-16|6623.0|0|6623.0|0|91.0|0|0.0|100
0|2021-12-17|6663.0|0|6663.0|0|97.0|0|0.0|100
0|2021-12-18|6728.0|0|6728.0|0|97.0|0|0.0|100
0|2021-12-19|6728.0|0|6728.0|0|97.0|0|0.0|100
0|2021-12-20|6728.0|0|6728.0|0|97.0|0|0.0|100
0|2021-12-21|6794.0|0|6794.0|0|98.0|0|0.0|100
0|2021-12-22|6850.0|0|6850.0|0|99.0|0|0.0|100
0|2021-12-23|6941.0|0|6941.0|0|99.0|0|0.0|100
0|2021-12-24|7003.0|0|7003.0|0|99.0|0|0.0|100
0|2021-12-25|7003.0|0|7003.0|0|99.0|0|0.0|100
0|2021-12-26|7003.0|0|7003.0|0|99.0|0|0.0|100
0|2021-12-27|7003.0|0|7003.0|0|99.0|0|0.0|100
0|2021-12-28|7101.0|0|7101.0|0|101.0|0|0.0|100
0|2021-12-29|7189.0|0|7189.0|0|102.0|0|0.0|100
0|2021-12-30|7248.0|0|7248.0|0|104.0|0|0.0|100
0|2021-12-31|7304.0|0|7304.0|0|104.0|0|0.0|100
0|2022-01-01|7304.0|0|7304.0|0|104.0|0|0.0|100
0|2022-01-02|7304.0|0|7304.0|0|104.0|0|0.0|100
0|2022-01-03|7304.0|0|7304.0|0|104.0|0|0.0|100
0|2022-01-04|7413.0|0|7413.0|0|107.0|0|0.0|100
0|2022-01-05|7424.0|0|7424.0|0|110.0|0|0.0|100
0|2022-01-06|7466.0|0|7466.0|0|110.0|0|0.0|100
0|2022-01-07|7517.0|0|7517.0|0|110.0|0|0.0|100
0|2022-01-08|7541.0|0|7541.0|0|110.0|0|0.0|100
0|2022-01-09|7541.0|0|7541.0|0|110.0|0|0.0|100
0|2022-01-10|7541.0|0|7541.0|0|110.0|0|0.0|100
0|2022-01-11|7632.0|0|7632.0|0|110.0|0|0.0|100
0|2022-01-12|7685.0|0|7685.0|0|110.0|0|0.0|100
0|2022-01-13|7685.0|0|7779.0|0|110.0|0|0.0|100
0|2022-01-14|7806.0|0|7806.0|0|111.0|0|0.0|100
0|2022-01-15|7840.0|0|7840.0|0|111.0|0|0.0|100
0|2022-01-16|7840.0|0|7840.0|0|111.0|0|0.0|100
0|2022-01-17|7840.0|0|0.0|100|111.0|0|0.0|100
