|dates|Marshall_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Marshall_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Marshall_Tennessee_UnitedStates.NYT_ConfirmedCases.data|Marshall_Tennessee_UnitedStates.NYT_ConfirmedCases.missing|Marshall_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Marshall_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Marshall_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Marshall_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-11-09|6893.0|0|6893.0|0|88.0|0|0.0|100
0|2021-11-10|6893.0|0|6901.0|0|88.0|0|0.0|100
0|2021-11-11|6901.0|0|6901.0|0|88.0|0|0.0|100
0|2021-11-12|6906.0|0|6906.0|0|88.0|0|0.0|100
0|2021-11-13|6906.0|0|6906.0|0|88.0|0|0.0|100
0|2021-11-14|6906.0|0|6906.0|0|88.0|0|0.0|100
0|2021-11-15|6917.0|0|6917.0|0|88.0|0|0.0|100
0|2021-11-16|6922.0|0|6922.0|0|89.0|0|0.0|100
0|2021-11-17|6933.0|0|6933.0|0|90.0|0|0.0|100
0|2021-11-18|6939.0|0|6939.0|0|90.0|0|0.0|100
0|2021-11-19|6942.0|0|6942.0|0|90.0|0|0.0|100
0|2021-11-20|6942.0|0|6942.0|0|90.0|0|0.0|100
0|2021-11-21|6942.0|0|6942.0|0|90.0|0|0.0|100
0|2021-11-22|6958.0|0|6958.0|0|90.0|0|0.0|100
0|2021-11-23|6963.0|0|6963.0|0|90.0|0|0.0|100
0|2021-11-24|6965.0|0|6965.0|0|90.0|0|0.0|100
0|2021-11-25|6965.0|0|6965.0|0|90.0|0|0.0|100
0|2021-11-26|6965.0|0|6965.0|0|90.0|0|0.0|100
0|2021-11-27|6965.0|0|6965.0|0|90.0|0|0.0|100
0|2021-11-28|6965.0|0|6965.0|0|90.0|0|0.0|100
0|2021-11-29|6987.0|0|6987.0|0|90.0|0|0.0|100
0|2021-11-30|6992.0|0|6992.0|0|90.0|0|0.0|100
0|2021-12-01|7011.0|0|7011.0|0|91.0|0|0.0|100
0|2021-12-02|7022.0|0|7022.0|0|91.0|0|0.0|100
0|2021-12-03|7038.0|0|7038.0|0|91.0|0|0.0|100
0|2021-12-04|7038.0|0|7038.0|0|91.0|0|0.0|100
0|2021-12-05|7038.0|0|7038.0|0|91.0|0|0.0|100
0|2021-12-06|7055.0|0|7055.0|0|92.0|0|0.0|100
0|2021-12-07|7064.0|0|7064.0|0|93.0|0|0.0|100
0|2021-12-08|7077.0|0|7077.0|0|94.0|0|0.0|100
0|2021-12-09|7077.0|0|7077.0|0|94.0|0|0.0|100
0|2021-12-10|7096.0|0|7096.0|0|95.0|0|0.0|100
0|2021-12-11|7096.0|0|7096.0|0|95.0|0|0.0|100
0|2021-12-12|7096.0|0|7096.0|0|95.0|0|0.0|100
0|2021-12-13|7108.0|0|7108.0|0|96.0|0|0.0|100
0|2021-12-14|7108.0|0|7122.0|0|96.0|0|0.0|100
0|2021-12-15|7140.0|0|7140.0|0|96.0|0|0.0|100
0|2021-12-16|7140.0|0|7140.0|0|96.0|0|0.0|100
0|2021-12-17|7147.0|0|7147.0|0|96.0|0|0.0|100
0|2021-12-18|7147.0|0|7147.0|0|96.0|0|0.0|100
0|2021-12-19|7147.0|0|7147.0|0|96.0|0|0.0|100
0|2021-12-20|7169.0|0|7169.0|0|96.0|0|0.0|100
0|2021-12-21|7177.0|0|7177.0|0|96.0|0|0.0|100
0|2021-12-22|7188.0|0|7188.0|0|96.0|0|0.0|100
0|2021-12-23|7200.0|0|7200.0|0|102.0|0|0.0|100
0|2021-12-24|7200.0|0|7200.0|0|102.0|0|0.0|100
0|2021-12-25|7200.0|0|7200.0|0|102.0|0|0.0|100
0|2021-12-26|7200.0|0|7200.0|0|102.0|0|0.0|100
0|2021-12-27|7248.0|0|7248.0|0|102.0|0|0.0|100
0|2021-12-28|7274.0|0|7274.0|0|102.0|0|0.0|100
0|2021-12-29|7299.0|0|7299.0|0|102.0|0|0.0|100
0|2021-12-30|7344.0|0|7344.0|0|102.0|0|0.0|100
0|2021-12-31|7344.0|0|7344.0|0|102.0|0|0.0|100
0|2022-01-01|7344.0|0|7344.0|0|102.0|0|0.0|100
0|2022-01-02|7344.0|0|7344.0|0|102.0|0|0.0|100
0|2022-01-03|7440.0|0|7440.0|0|102.0|0|0.0|100
0|2022-01-04|7457.0|0|7457.0|0|102.0|0|0.0|100
0|2022-01-05|7457.0|0|7457.0|0|102.0|0|0.0|100
0|2022-01-06|7457.0|0|7457.0|0|102.0|0|0.0|100
0|2022-01-07|7457.0|0|7457.0|0|102.0|0|0.0|100
0|2022-01-08|7457.0|0|7457.0|0|102.0|0|0.0|100
0|2022-01-09|7457.0|0|7457.0|0|102.0|0|0.0|100
0|2022-01-10|7457.0|0|7457.0|0|102.0|0|0.0|100
0|2022-01-11|7457.0|0|7457.0|0|102.0|0|0.0|100
0|2022-01-12|7742.0|0|7742.0|0|105.0|0|0.0|100
0|2022-01-13|7742.0|0|7742.0|0|105.0|0|0.0|100
0|2022-01-14|7742.0|0|7742.0|0|105.0|0|0.0|100
0|2022-01-15|7742.0|0|7742.0|0|105.0|0|0.0|100
0|2022-01-16|7742.0|0|7742.0|0|105.0|0|0.0|100
0|2022-01-17|7742.0|0|0.0|100|105.0|0|0.0|100
