|dates|Weber_Utah_UnitedStates.BLS_EmployedPopulation.data|Weber_Utah_UnitedStates.BLS_EmployedPopulation.missing|Weber_Utah_UnitedStates.BLS_UnemployedPopulation.data|Weber_Utah_UnitedStates.BLS_UnemployedPopulation.missing|Weber_Utah_UnitedStates.BLS_UnemploymentRate.data|Weber_Utah_UnitedStates.BLS_UnemploymentRate.missing|Weber_Utah_UnitedStates.BLS_LaborForcePopulation.data|Weber_Utah_UnitedStates.BLS_LaborForcePopulation.missing
0|2021-11-13|129846.0|0|3769.0|0|2.820791078845938|0|133615.0|0
0|2021-11-14|129846.0|0|3769.0|0|2.820791078845938|0|133615.0|0
0|2021-11-15|129846.0|0|3769.0|0|2.820791078845938|0|133615.0|0
0|2021-11-16|129846.0|0|3769.0|0|2.820791078845938|0|133615.0|0
0|2021-11-17|129846.0|0|3769.0|0|2.820791078845938|0|133615.0|0
0|2021-11-18|129846.0|0|3769.0|0|2.820791078845938|0|133615.0|0
0|2021-11-19|129846.0|0|3769.0|0|2.820791078845938|0|133615.0|0
0|2021-11-20|129846.0|0|3769.0|0|2.820791078845938|0|133615.0|0
0|2021-11-21|129846.0|0|3769.0|0|2.820791078845938|0|133615.0|0
0|2021-11-22|129846.0|0|3769.0|0|2.820791078845938|0|133615.0|0
0|2021-11-23|129846.0|0|3769.0|0|2.820791078845938|0|133615.0|0
0|2021-11-24|129846.0|0|3769.0|0|2.820791078845938|0|133615.0|0
0|2021-11-25|129846.0|0|3769.0|0|2.820791078845938|0|133615.0|0
0|2021-11-26|129846.0|0|3769.0|0|2.820791078845938|0|133615.0|0
0|2021-11-27|129846.0|0|3769.0|0|2.820791078845938|0|133615.0|0
0|2021-11-28|129846.0|0|3769.0|0|2.820791078845938|0|133615.0|0
0|2021-11-29|129846.0|0|3769.0|0|2.820791078845938|0|133615.0|0
0|2021-11-30|129846.0|0|3769.0|0|2.820791078845938|0|133615.0|0
0|2021-12-01|129846.0|0|3769.0|0|2.820791078845938|0|133615.0|0
0|2021-12-02|129846.0|0|3769.0|0|2.820791078845938|0|133615.0|0
0|2021-12-03|129846.0|0|3769.0|0|2.820791078845938|0|133615.0|0
0|2021-12-04|129846.0|0|3769.0|0|2.820791078845938|0|133615.0|0
0|2021-12-05|129846.0|0|3769.0|0|2.820791078845938|0|133615.0|0
0|2021-12-06|129846.0|0|3769.0|0|2.820791078845938|0|133615.0|0
0|2021-12-07|129846.0|0|3769.0|0|2.820791078845938|0|133615.0|0
0|2021-12-08|129846.0|0|3769.0|0|2.820791078845938|0|133615.0|0
0|2021-12-09|129846.0|0|3769.0|0|2.820791078845938|0|133615.0|0
0|2021-12-10|129846.0|0|3769.0|0|2.820791078845938|0|133615.0|0
0|2021-12-11|129846.0|0|3769.0|0|2.820791078845938|0|133615.0|0
0|2021-12-12|129846.0|0|3769.0|0|2.820791078845938|0|133615.0|0
0|2021-12-13|129846.0|0|3769.0|0|2.820791078845938|0|133615.0|0
0|2021-12-14|129846.0|0|3769.0|0|2.820791078845938|0|133615.0|0
0|2021-12-15|129846.0|0|3769.0|0|2.820791078845938|0|133615.0|0
0|2021-12-16|129846.0|0|3769.0|0|2.820791078845938|0|133615.0|0
0|2021-12-17|129846.0|0|3769.0|0|2.820791078845938|0|133615.0|0
0|2021-12-18|129846.0|0|3769.0|0|2.820791078845938|0|133615.0|0
0|2021-12-19|129846.0|0|3769.0|0|2.820791078845938|0|133615.0|0
0|2021-12-20|129846.0|0|3769.0|0|2.820791078845938|0|133615.0|0
0|2021-12-21|129846.0|0|3769.0|0|2.820791078845938|0|133615.0|0
0|2021-12-22|129846.0|0|3769.0|0|2.820791078845938|0|133615.0|0
0|2021-12-23|129846.0|0|3769.0|0|2.820791078845938|0|133615.0|0
0|2021-12-24|129846.0|0|3769.0|0|2.820791078845938|0|133615.0|0
0|2021-12-25|129846.0|0|3769.0|0|2.820791078845938|0|133615.0|0
0|2021-12-26|129846.0|0|3769.0|0|2.820791078845938|0|133615.0|0
0|2021-12-27|129846.0|0|3769.0|0|2.820791078845938|0|133615.0|0
0|2021-12-28|129846.0|0|3769.0|0|2.820791078845938|0|133615.0|0
0|2021-12-29|129846.0|0|3769.0|0|2.820791078845938|0|133615.0|0
0|2021-12-30|129846.0|0|3769.0|0|2.820791078845938|0|133615.0|0
0|2021-12-31|129846.0|0|3769.0|0|2.820791078845938|0|133615.0|0
0|2022-01-01|129846.0|0|3769.0|0|2.820791078845938|0|133615.0|0
0|2022-01-02|129846.0|0|3769.0|0|2.820791078845938|0|133615.0|0
0|2022-01-03|129846.0|0|3769.0|0|2.820791078845938|0|133615.0|0
0|2022-01-04|129846.0|0|3769.0|0|2.820791078845938|0|133615.0|0
0|2022-01-05|129846.0|0|3769.0|0|2.820791078845938|0|133615.0|0
0|2022-01-06|129846.0|0|3769.0|0|2.820791078845938|0|133615.0|0
0|2022-01-07|129846.0|0|3769.0|0|2.820791078845938|0|133615.0|0
0|2022-01-08|129846.0|0|3769.0|0|2.820791078845938|0|133615.0|0
0|2022-01-09|129846.0|0|3769.0|0|2.820791078845938|0|133615.0|0
0|2022-01-10|129846.0|0|3769.0|0|2.820791078845938|0|133615.0|0
0|2022-01-11|129846.0|0|3769.0|0|2.820791078845938|0|133615.0|0
0|2022-01-12|129846.0|0|3769.0|0|2.820791078845938|0|133615.0|0
0|2022-01-13|129846.0|0|3769.0|0|2.820791078845938|0|133615.0|0
0|2022-01-14|129846.0|0|3769.0|0|2.820791078845938|0|133615.0|0
0|2022-01-15|129846.0|0|3769.0|0|2.820791078845938|0|133615.0|0
0|2022-01-16|129846.0|0|3769.0|0|2.820791078845938|0|133615.0|0
0|2022-01-17|129846.0|0|3769.0|0|2.820791078845938|0|133615.0|0
