|dates|Jones_SouthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Jones_SouthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Jones_SouthDakota_UnitedStates.Male_Total_Population.data|Jones_SouthDakota_UnitedStates.Male_Total_Population.missing|Jones_SouthDakota_UnitedStates.Female_Total_Population.data|Jones_SouthDakota_UnitedStates.Female_Total_Population.missing|Jones_SouthDakota_UnitedStates.MaleAndFemale_Under18_Population.data|Jones_SouthDakota_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-11-08|216.0|0|458.0|0|470.0|0|206.0|0
0|2021-11-09|216.0|0|458.0|0|470.0|0|206.0|0
0|2021-11-10|216.0|0|458.0|0|470.0|0|206.0|0
0|2021-11-11|216.0|0|458.0|0|470.0|0|206.0|0
0|2021-11-12|216.0|0|458.0|0|470.0|0|206.0|0
0|2021-11-13|216.0|0|458.0|0|470.0|0|206.0|0
0|2021-11-14|216.0|0|458.0|0|470.0|0|206.0|0
0|2021-11-15|216.0|0|458.0|0|470.0|0|206.0|0
0|2021-11-16|216.0|0|458.0|0|470.0|0|206.0|0
0|2021-11-17|216.0|0|458.0|0|470.0|0|206.0|0
0|2021-11-18|216.0|0|458.0|0|470.0|0|206.0|0
0|2021-11-19|216.0|0|458.0|0|470.0|0|206.0|0
0|2021-11-20|216.0|0|458.0|0|470.0|0|206.0|0
0|2021-11-21|216.0|0|458.0|0|470.0|0|206.0|0
0|2021-11-22|216.0|0|458.0|0|470.0|0|206.0|0
0|2021-11-23|216.0|0|458.0|0|470.0|0|206.0|0
0|2021-11-24|216.0|0|458.0|0|470.0|0|206.0|0
0|2021-11-25|216.0|0|458.0|0|470.0|0|206.0|0
0|2021-11-26|216.0|0|458.0|0|470.0|0|206.0|0
0|2021-11-27|216.0|0|458.0|0|470.0|0|206.0|0
0|2021-11-28|216.0|0|458.0|0|470.0|0|206.0|0
0|2021-11-29|216.0|0|458.0|0|470.0|0|206.0|0
0|2021-11-30|216.0|0|458.0|0|470.0|0|206.0|0
0|2021-12-01|216.0|0|458.0|0|470.0|0|206.0|0
0|2021-12-02|216.0|0|458.0|0|470.0|0|206.0|0
0|2021-12-03|216.0|0|458.0|0|470.0|0|206.0|0
0|2021-12-04|216.0|0|458.0|0|470.0|0|206.0|0
0|2021-12-05|216.0|0|458.0|0|470.0|0|206.0|0
0|2021-12-06|216.0|0|458.0|0|470.0|0|206.0|0
0|2021-12-07|216.0|0|458.0|0|470.0|0|206.0|0
0|2021-12-08|216.0|0|458.0|0|470.0|0|206.0|0
0|2021-12-09|216.0|0|458.0|0|470.0|0|206.0|0
0|2021-12-10|216.0|0|458.0|0|470.0|0|206.0|0
0|2021-12-11|216.0|0|458.0|0|470.0|0|206.0|0
0|2021-12-12|216.0|0|458.0|0|470.0|0|206.0|0
0|2021-12-13|216.0|0|458.0|0|470.0|0|206.0|0
0|2021-12-14|216.0|0|458.0|0|470.0|0|206.0|0
0|2021-12-15|216.0|0|458.0|0|470.0|0|206.0|0
0|2021-12-16|216.0|0|458.0|0|470.0|0|206.0|0
0|2021-12-17|216.0|0|458.0|0|470.0|0|206.0|0
0|2021-12-18|216.0|0|458.0|0|470.0|0|206.0|0
0|2021-12-19|216.0|0|458.0|0|470.0|0|206.0|0
0|2021-12-20|216.0|0|458.0|0|470.0|0|206.0|0
0|2021-12-21|216.0|0|458.0|0|470.0|0|206.0|0
0|2021-12-22|216.0|0|458.0|0|470.0|0|206.0|0
0|2021-12-23|216.0|0|458.0|0|470.0|0|206.0|0
0|2021-12-24|216.0|0|458.0|0|470.0|0|206.0|0
0|2021-12-25|216.0|0|458.0|0|470.0|0|206.0|0
0|2021-12-26|216.0|0|458.0|0|470.0|0|206.0|0
0|2021-12-27|216.0|0|458.0|0|470.0|0|206.0|0
0|2021-12-28|216.0|0|458.0|0|470.0|0|206.0|0
0|2021-12-29|216.0|0|458.0|0|470.0|0|206.0|0
0|2021-12-30|216.0|0|458.0|0|470.0|0|206.0|0
0|2021-12-31|216.0|0|458.0|0|470.0|0|206.0|0
0|2022-01-01|216.0|0|458.0|0|470.0|0|206.0|0
0|2022-01-02|216.0|0|458.0|0|470.0|0|206.0|0
0|2022-01-03|216.0|0|458.0|0|470.0|0|206.0|0
0|2022-01-04|216.0|0|458.0|0|470.0|0|206.0|0
0|2022-01-05|216.0|0|458.0|0|470.0|0|206.0|0
0|2022-01-06|216.0|0|458.0|0|470.0|0|206.0|0
0|2022-01-07|216.0|0|458.0|0|470.0|0|206.0|0
0|2022-01-08|216.0|0|458.0|0|470.0|0|206.0|0
0|2022-01-09|216.0|0|458.0|0|470.0|0|206.0|0
0|2022-01-10|216.0|0|458.0|0|470.0|0|206.0|0
0|2022-01-11|216.0|0|458.0|0|470.0|0|206.0|0
0|2022-01-12|216.0|0|458.0|0|470.0|0|206.0|0
0|2022-01-13|216.0|0|458.0|0|470.0|0|206.0|0
0|2022-01-14|216.0|0|458.0|0|470.0|0|206.0|0
0|2022-01-15|216.0|0|458.0|0|470.0|0|206.0|0
0|2022-01-16|216.0|0|458.0|0|470.0|0|206.0|0
0|2022-01-17|216.0|0|458.0|0|470.0|0|206.0|0
