|dates|Cheyenne_Kansas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Cheyenne_Kansas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Cheyenne_Kansas_UnitedStates.Male_Total_Population.data|Cheyenne_Kansas_UnitedStates.Male_Total_Population.missing|Cheyenne_Kansas_UnitedStates.Female_Total_Population.data|Cheyenne_Kansas_UnitedStates.Female_Total_Population.missing|Cheyenne_Kansas_UnitedStates.MaleAndFemale_Under18_Population.data|Cheyenne_Kansas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-12-12|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2021-12-13|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2021-12-14|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2021-12-15|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2021-12-16|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2021-12-17|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2021-12-18|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2021-12-19|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2021-12-20|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2021-12-21|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2021-12-22|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2021-12-23|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2021-12-24|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2021-12-25|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2021-12-26|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2021-12-27|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2021-12-28|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2021-12-29|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2021-12-30|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2021-12-31|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2022-01-01|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2022-01-02|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2022-01-03|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2022-01-04|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2022-01-05|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2022-01-06|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2022-01-07|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2022-01-08|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2022-01-09|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2022-01-10|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2022-01-11|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2022-01-12|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2022-01-13|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2022-01-14|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2022-01-15|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2022-01-16|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2022-01-17|717.0|0|1348.0|0|1312.0|0|567.0|0
