|dates|Toole_Montana_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Toole_Montana_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Toole_Montana_UnitedStates.Male_Total_Population.data|Toole_Montana_UnitedStates.Male_Total_Population.missing|Toole_Montana_UnitedStates.Female_Total_Population.data|Toole_Montana_UnitedStates.Female_Total_Population.missing|Toole_Montana_UnitedStates.MaleAndFemale_Under18_Population.data|Toole_Montana_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-11-18|896.0|0|2711.0|0|2142.0|0|1000.0|0
0|2021-11-19|896.0|0|2711.0|0|2142.0|0|1000.0|0
0|2021-11-20|896.0|0|2711.0|0|2142.0|0|1000.0|0
0|2021-11-21|896.0|0|2711.0|0|2142.0|0|1000.0|0
0|2021-11-22|896.0|0|2711.0|0|2142.0|0|1000.0|0
0|2021-11-23|896.0|0|2711.0|0|2142.0|0|1000.0|0
0|2021-11-24|896.0|0|2711.0|0|2142.0|0|1000.0|0
0|2021-11-25|896.0|0|2711.0|0|2142.0|0|1000.0|0
0|2021-11-26|896.0|0|2711.0|0|2142.0|0|1000.0|0
0|2021-11-27|896.0|0|2711.0|0|2142.0|0|1000.0|0
0|2021-11-28|896.0|0|2711.0|0|2142.0|0|1000.0|0
0|2021-11-29|896.0|0|2711.0|0|2142.0|0|1000.0|0
0|2021-11-30|896.0|0|2711.0|0|2142.0|0|1000.0|0
0|2021-12-01|896.0|0|2711.0|0|2142.0|0|1000.0|0
0|2021-12-02|896.0|0|2711.0|0|2142.0|0|1000.0|0
0|2021-12-03|896.0|0|2711.0|0|2142.0|0|1000.0|0
0|2021-12-04|896.0|0|2711.0|0|2142.0|0|1000.0|0
0|2021-12-05|896.0|0|2711.0|0|2142.0|0|1000.0|0
0|2021-12-06|896.0|0|2711.0|0|2142.0|0|1000.0|0
0|2021-12-07|896.0|0|2711.0|0|2142.0|0|1000.0|0
0|2021-12-08|896.0|0|2711.0|0|2142.0|0|1000.0|0
0|2021-12-09|896.0|0|2711.0|0|2142.0|0|1000.0|0
0|2021-12-10|896.0|0|2711.0|0|2142.0|0|1000.0|0
0|2021-12-11|896.0|0|2711.0|0|2142.0|0|1000.0|0
0|2021-12-12|896.0|0|2711.0|0|2142.0|0|1000.0|0
0|2021-12-13|896.0|0|2711.0|0|2142.0|0|1000.0|0
0|2021-12-14|896.0|0|2711.0|0|2142.0|0|1000.0|0
0|2021-12-15|896.0|0|2711.0|0|2142.0|0|1000.0|0
0|2021-12-16|896.0|0|2711.0|0|2142.0|0|1000.0|0
0|2021-12-17|896.0|0|2711.0|0|2142.0|0|1000.0|0
0|2021-12-18|896.0|0|2711.0|0|2142.0|0|1000.0|0
0|2021-12-19|896.0|0|2711.0|0|2142.0|0|1000.0|0
0|2021-12-20|896.0|0|2711.0|0|2142.0|0|1000.0|0
0|2021-12-21|896.0|0|2711.0|0|2142.0|0|1000.0|0
0|2021-12-22|896.0|0|2711.0|0|2142.0|0|1000.0|0
0|2021-12-23|896.0|0|2711.0|0|2142.0|0|1000.0|0
0|2021-12-24|896.0|0|2711.0|0|2142.0|0|1000.0|0
0|2021-12-25|896.0|0|2711.0|0|2142.0|0|1000.0|0
0|2021-12-26|896.0|0|2711.0|0|2142.0|0|1000.0|0
0|2021-12-27|896.0|0|2711.0|0|2142.0|0|1000.0|0
0|2021-12-28|896.0|0|2711.0|0|2142.0|0|1000.0|0
0|2021-12-29|896.0|0|2711.0|0|2142.0|0|1000.0|0
0|2021-12-30|896.0|0|2711.0|0|2142.0|0|1000.0|0
0|2021-12-31|896.0|0|2711.0|0|2142.0|0|1000.0|0
0|2022-01-01|896.0|0|2711.0|0|2142.0|0|1000.0|0
0|2022-01-02|896.0|0|2711.0|0|2142.0|0|1000.0|0
0|2022-01-03|896.0|0|2711.0|0|2142.0|0|1000.0|0
0|2022-01-04|896.0|0|2711.0|0|2142.0|0|1000.0|0
0|2022-01-05|896.0|0|2711.0|0|2142.0|0|1000.0|0
0|2022-01-06|896.0|0|2711.0|0|2142.0|0|1000.0|0
0|2022-01-07|896.0|0|2711.0|0|2142.0|0|1000.0|0
0|2022-01-08|896.0|0|2711.0|0|2142.0|0|1000.0|0
0|2022-01-09|896.0|0|2711.0|0|2142.0|0|1000.0|0
0|2022-01-10|896.0|0|2711.0|0|2142.0|0|1000.0|0
0|2022-01-11|896.0|0|2711.0|0|2142.0|0|1000.0|0
0|2022-01-12|896.0|0|2711.0|0|2142.0|0|1000.0|0
0|2022-01-13|896.0|0|2711.0|0|2142.0|0|1000.0|0
0|2022-01-14|896.0|0|2711.0|0|2142.0|0|1000.0|0
0|2022-01-15|896.0|0|2711.0|0|2142.0|0|1000.0|0
0|2022-01-16|896.0|0|2711.0|0|2142.0|0|1000.0|0
0|2022-01-17|896.0|0|2711.0|0|2142.0|0|1000.0|0
