|dates|Valdez-Cordova_Alaska_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Valdez-Cordova_Alaska_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Valdez-Cordova_Alaska_UnitedStates.Male_Total_Population.data|Valdez-Cordova_Alaska_UnitedStates.Male_Total_Population.missing|Valdez-Cordova_Alaska_UnitedStates.Female_Total_Population.data|Valdez-Cordova_Alaska_UnitedStates.Female_Total_Population.missing|Valdez-Cordova_Alaska_UnitedStates.MaleAndFemale_Under18_Population.data|Valdez-Cordova_Alaska_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-11-09|1256.0|0|4803.0|0|4361.0|0|2146.0|0
0|2021-11-10|1256.0|0|4803.0|0|4361.0|0|2146.0|0
0|2021-11-11|1256.0|0|4803.0|0|4361.0|0|2146.0|0
0|2021-11-12|1256.0|0|4803.0|0|4361.0|0|2146.0|0
0|2021-11-13|1256.0|0|4803.0|0|4361.0|0|2146.0|0
0|2021-11-14|1256.0|0|4803.0|0|4361.0|0|2146.0|0
0|2021-11-15|1256.0|0|4803.0|0|4361.0|0|2146.0|0
0|2021-11-16|1256.0|0|4803.0|0|4361.0|0|2146.0|0
0|2021-11-17|1256.0|0|4803.0|0|4361.0|0|2146.0|0
0|2021-11-18|1256.0|0|4803.0|0|4361.0|0|2146.0|0
0|2021-11-19|1256.0|0|4803.0|0|4361.0|0|2146.0|0
0|2021-11-20|1256.0|0|4803.0|0|4361.0|0|2146.0|0
0|2021-11-21|1256.0|0|4803.0|0|4361.0|0|2146.0|0
0|2021-11-22|1256.0|0|4803.0|0|4361.0|0|2146.0|0
0|2021-11-23|1256.0|0|4803.0|0|4361.0|0|2146.0|0
0|2021-11-24|1256.0|0|4803.0|0|4361.0|0|2146.0|0
0|2021-11-25|1256.0|0|4803.0|0|4361.0|0|2146.0|0
0|2021-11-26|1256.0|0|4803.0|0|4361.0|0|2146.0|0
0|2021-11-27|1256.0|0|4803.0|0|4361.0|0|2146.0|0
0|2021-11-28|1256.0|0|4803.0|0|4361.0|0|2146.0|0
0|2021-11-29|1256.0|0|4803.0|0|4361.0|0|2146.0|0
0|2021-11-30|1256.0|0|4803.0|0|4361.0|0|2146.0|0
0|2021-12-01|1256.0|0|4803.0|0|4361.0|0|2146.0|0
0|2021-12-02|1256.0|0|4803.0|0|4361.0|0|2146.0|0
0|2021-12-03|1256.0|0|4803.0|0|4361.0|0|2146.0|0
0|2021-12-04|1256.0|0|4803.0|0|4361.0|0|2146.0|0
0|2021-12-05|1256.0|0|4803.0|0|4361.0|0|2146.0|0
0|2021-12-06|1256.0|0|4803.0|0|4361.0|0|2146.0|0
0|2021-12-07|1256.0|0|4803.0|0|4361.0|0|2146.0|0
0|2021-12-08|1256.0|0|4803.0|0|4361.0|0|2146.0|0
0|2021-12-09|1256.0|0|4803.0|0|4361.0|0|2146.0|0
0|2021-12-10|1256.0|0|4803.0|0|4361.0|0|2146.0|0
0|2021-12-11|1256.0|0|4803.0|0|4361.0|0|2146.0|0
0|2021-12-12|1256.0|0|4803.0|0|4361.0|0|2146.0|0
0|2021-12-13|1256.0|0|4803.0|0|4361.0|0|2146.0|0
0|2021-12-14|1256.0|0|4803.0|0|4361.0|0|2146.0|0
0|2021-12-15|1256.0|0|4803.0|0|4361.0|0|2146.0|0
0|2021-12-16|1256.0|0|4803.0|0|4361.0|0|2146.0|0
0|2021-12-17|1256.0|0|4803.0|0|4361.0|0|2146.0|0
0|2021-12-18|1256.0|0|4803.0|0|4361.0|0|2146.0|0
0|2021-12-19|1256.0|0|4803.0|0|4361.0|0|2146.0|0
0|2021-12-20|1256.0|0|4803.0|0|4361.0|0|2146.0|0
0|2021-12-21|1256.0|0|4803.0|0|4361.0|0|2146.0|0
0|2021-12-22|1256.0|0|4803.0|0|4361.0|0|2146.0|0
0|2021-12-23|1256.0|0|4803.0|0|4361.0|0|2146.0|0
0|2021-12-24|1256.0|0|4803.0|0|4361.0|0|2146.0|0
0|2021-12-25|1256.0|0|4803.0|0|4361.0|0|2146.0|0
0|2021-12-26|1256.0|0|4803.0|0|4361.0|0|2146.0|0
0|2021-12-27|1256.0|0|4803.0|0|4361.0|0|2146.0|0
0|2021-12-28|1256.0|0|4803.0|0|4361.0|0|2146.0|0
0|2021-12-29|1256.0|0|4803.0|0|4361.0|0|2146.0|0
0|2021-12-30|1256.0|0|4803.0|0|4361.0|0|2146.0|0
0|2021-12-31|1256.0|0|4803.0|0|4361.0|0|2146.0|0
0|2022-01-01|1256.0|0|4803.0|0|4361.0|0|2146.0|0
0|2022-01-02|1256.0|0|4803.0|0|4361.0|0|2146.0|0
0|2022-01-03|1256.0|0|4803.0|0|4361.0|0|2146.0|0
0|2022-01-04|1256.0|0|4803.0|0|4361.0|0|2146.0|0
0|2022-01-05|1256.0|0|4803.0|0|4361.0|0|2146.0|0
0|2022-01-06|1256.0|0|4803.0|0|4361.0|0|2146.0|0
0|2022-01-07|1256.0|0|4803.0|0|4361.0|0|2146.0|0
0|2022-01-08|1256.0|0|4803.0|0|4361.0|0|2146.0|0
0|2022-01-09|1256.0|0|4803.0|0|4361.0|0|2146.0|0
0|2022-01-10|1256.0|0|4803.0|0|4361.0|0|2146.0|0
0|2022-01-11|1256.0|0|4803.0|0|4361.0|0|2146.0|0
0|2022-01-12|1256.0|0|4803.0|0|4361.0|0|2146.0|0
0|2022-01-13|1256.0|0|4803.0|0|4361.0|0|2146.0|0
0|2022-01-14|1256.0|0|4803.0|0|4361.0|0|2146.0|0
0|2022-01-15|1256.0|0|4803.0|0|4361.0|0|2146.0|0
0|2022-01-16|1256.0|0|4803.0|0|4361.0|0|2146.0|0
0|2022-01-17|1256.0|0|4803.0|0|4361.0|0|2146.0|0
