|dates|Slope_NorthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Slope_NorthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Slope_NorthDakota_UnitedStates.Male_Total_Population.data|Slope_NorthDakota_UnitedStates.Male_Total_Population.missing|Slope_NorthDakota_UnitedStates.Female_Total_Population.data|Slope_NorthDakota_UnitedStates.Female_Total_Population.missing|Slope_NorthDakota_UnitedStates.MaleAndFemale_Under18_Population.data|Slope_NorthDakota_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2022-01-05|175.0|0|399.0|0|364.0|0|155.0|0
0|2022-01-06|175.0|0|399.0|0|364.0|0|155.0|0
0|2022-01-07|175.0|0|399.0|0|364.0|0|155.0|0
0|2022-01-08|175.0|0|399.0|0|364.0|0|155.0|0
0|2022-01-09|175.0|0|399.0|0|364.0|0|155.0|0
0|2022-01-10|175.0|0|399.0|0|364.0|0|155.0|0
0|2022-01-11|175.0|0|399.0|0|364.0|0|155.0|0
0|2022-01-12|175.0|0|399.0|0|364.0|0|155.0|0
0|2022-01-13|175.0|0|399.0|0|364.0|0|155.0|0
0|2022-01-14|175.0|0|399.0|0|364.0|0|155.0|0
0|2022-01-15|175.0|0|399.0|0|364.0|0|155.0|0
0|2022-01-16|175.0|0|399.0|0|364.0|0|155.0|0
0|2022-01-17|175.0|0|399.0|0|364.0|0|155.0|0
