|dates|Stutsman_NorthDakota_UnitedStates.JHU_ConfirmedCases.data|Stutsman_NorthDakota_UnitedStates.JHU_ConfirmedCases.missing|Stutsman_NorthDakota_UnitedStates.NYT_ConfirmedCases.data|Stutsman_NorthDakota_UnitedStates.NYT_ConfirmedCases.missing|Stutsman_NorthDakota_UnitedStates.JHU_ConfirmedDeaths.data|Stutsman_NorthDakota_UnitedStates.JHU_ConfirmedDeaths.missing|Stutsman_NorthDakota_UnitedStates.JHU_ConfirmedRecoveries.data|Stutsman_NorthDakota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-11-12|4614.0|0|4614.0|0|88.0|0|0.0|100
0|2021-11-13|4623.0|0|4623.0|0|88.0|0|0.0|100
0|2021-11-14|4626.0|0|4626.0|0|88.0|0|0.0|100
0|2021-11-15|4629.0|0|4629.0|0|88.0|0|0.0|100
0|2021-11-16|4642.0|0|4642.0|0|89.0|0|0.0|100
0|2021-11-17|4661.0|0|4661.0|0|90.0|0|0.0|100
0|2021-11-18|4690.0|0|4690.0|0|90.0|0|0.0|100
0|2021-11-19|4709.0|0|4709.0|0|91.0|0|0.0|100
0|2021-11-20|4718.0|0|4718.0|0|91.0|0|0.0|100
0|2021-11-21|4719.0|0|4719.0|0|91.0|0|0.0|100
0|2021-11-22|4724.0|0|4724.0|0|91.0|0|0.0|100
0|2021-11-23|4736.0|0|4736.0|0|92.0|0|0.0|100
0|2021-11-24|4770.0|0|4770.0|0|92.0|0|0.0|100
0|2021-11-25|4809.0|0|4809.0|0|92.0|0|0.0|100
0|2021-11-26|4816.0|0|4816.0|0|92.0|0|0.0|100
0|2021-11-27|4825.0|0|4825.0|0|92.0|0|0.0|100
0|2021-11-28|4833.0|0|4833.0|0|92.0|0|0.0|100
0|2021-11-29|4834.0|0|4834.0|0|92.0|0|0.0|100
0|2021-11-30|4851.0|0|4851.0|0|92.0|0|0.0|100
0|2021-12-01|4890.0|0|4890.0|0|92.0|0|0.0|100
0|2021-12-02|4916.0|0|4916.0|0|92.0|0|0.0|100
0|2021-12-03|4916.0|0|4933.0|0|92.0|0|0.0|100
0|2021-12-04|4945.0|0|4945.0|0|92.0|0|0.0|100
0|2021-12-05|4954.0|0|4954.0|0|92.0|0|0.0|100
0|2021-12-06|4956.0|0|4956.0|0|92.0|0|0.0|100
0|2021-12-07|4970.0|0|4970.0|0|92.0|0|0.0|100
0|2021-12-08|4987.0|0|4987.0|0|92.0|0|0.0|100
0|2021-12-09|5003.0|0|5003.0|0|92.0|0|0.0|100
0|2021-12-10|5012.0|0|5012.0|0|92.0|0|0.0|100
0|2021-12-11|5019.0|0|5019.0|0|92.0|0|0.0|100
0|2021-12-12|5021.0|0|5021.0|0|92.0|0|0.0|100
0|2021-12-13|5021.0|0|5021.0|0|92.0|0|0.0|100
0|2021-12-14|5021.0|0|5039.0|0|92.0|0|0.0|100
0|2021-12-15|5050.0|0|5050.0|0|92.0|0|0.0|100
0|2021-12-16|5063.0|0|5063.0|0|92.0|0|0.0|100
0|2021-12-17|5077.0|0|5077.0|0|92.0|0|0.0|100
0|2021-12-18|5077.0|0|5077.0|0|92.0|0|0.0|100
0|2021-12-19|5081.0|0|5081.0|0|92.0|0|0.0|100
0|2021-12-20|5081.0|0|5081.0|0|92.0|0|0.0|100
0|2021-12-21|5088.0|0|5088.0|0|92.0|0|0.0|100
0|2021-12-22|5094.0|0|5094.0|0|92.0|0|0.0|100
0|2021-12-23|5100.0|0|5100.0|0|92.0|0|0.0|100
0|2021-12-24|5113.0|0|5113.0|0|92.0|0|0.0|100
0|2021-12-25|5113.0|0|5113.0|0|92.0|0|0.0|100
0|2021-12-26|5113.0|0|5113.0|0|92.0|0|0.0|100
0|2021-12-27|5114.0|0|5114.0|0|92.0|0|0.0|100
0|2021-12-28|5114.0|0|5114.0|0|92.0|0|0.0|100
0|2021-12-29|5131.0|0|5131.0|0|92.0|0|0.0|100
0|2021-12-30|5152.0|0|5152.0|0|92.0|0|0.0|100
0|2021-12-31|5168.0|0|5168.0|0|92.0|0|0.0|100
0|2022-01-01|5175.0|0|5175.0|0|92.0|0|0.0|100
0|2022-01-02|5176.0|0|5176.0|0|92.0|0|0.0|100
0|2022-01-03|5186.0|0|5186.0|0|92.0|0|0.0|100
0|2022-01-04|5206.0|0|5206.0|0|92.0|0|0.0|100
0|2022-01-05|5238.0|0|5238.0|0|92.0|0|0.0|100
0|2022-01-06|5267.0|0|5267.0|0|92.0|0|0.0|100
0|2022-01-07|5304.0|0|5304.0|0|92.0|0|0.0|100
0|2022-01-08|5327.0|0|5327.0|0|92.0|0|0.0|100
0|2022-01-09|5340.0|0|5340.0|0|92.0|0|0.0|100
0|2022-01-10|5345.0|0|5345.0|0|92.0|0|0.0|100
0|2022-01-11|5370.0|0|5370.0|0|92.0|0|0.0|100
0|2022-01-12|5424.0|0|5424.0|0|92.0|0|0.0|100
0|2022-01-13|5424.0|0|5481.0|0|92.0|0|0.0|100
0|2022-01-14|5519.0|0|5519.0|0|92.0|0|0.0|100
0|2022-01-15|5542.0|0|5542.0|0|92.0|0|0.0|100
0|2022-01-16|5564.0|0|5564.0|0|92.0|0|0.0|100
0|2022-01-17|5574.0|0|0.0|100|92.0|0|0.0|100
