|dates|Lavaca_Texas_UnitedStates.JHU_ConfirmedCases.data|Lavaca_Texas_UnitedStates.JHU_ConfirmedCases.missing|Lavaca_Texas_UnitedStates.NYT_ConfirmedCases.data|Lavaca_Texas_UnitedStates.NYT_ConfirmedCases.missing|Lavaca_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Lavaca_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Lavaca_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Lavaca_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-11-30|3222.0|0|3222.0|0|100.0|0|0.0|100
0|2021-12-01|3222.0|0|3222.0|0|100.0|0|0.0|100
0|2021-12-02|3223.0|0|3223.0|0|100.0|0|0.0|100
0|2021-12-03|3229.0|0|3229.0|0|100.0|0|0.0|100
0|2021-12-04|3231.0|0|3231.0|0|100.0|0|0.0|100
0|2021-12-05|3231.0|0|3231.0|0|100.0|0|0.0|100
0|2021-12-06|3231.0|0|3231.0|0|100.0|0|0.0|100
0|2021-12-07|3232.0|0|3232.0|0|100.0|0|0.0|100
0|2021-12-08|3234.0|0|3234.0|0|100.0|0|0.0|100
0|2021-12-09|3234.0|0|3234.0|0|100.0|0|0.0|100
0|2021-12-10|3236.0|0|3236.0|0|100.0|0|0.0|100
0|2021-12-11|3236.0|0|3236.0|0|100.0|0|0.0|100
0|2021-12-12|3236.0|0|3236.0|0|100.0|0|0.0|100
0|2021-12-13|3237.0|0|3237.0|0|100.0|0|0.0|100
0|2021-12-14|3237.0|0|3239.0|0|100.0|0|0.0|100
0|2021-12-15|3240.0|0|3240.0|0|100.0|0|0.0|100
0|2021-12-16|3244.0|0|3244.0|0|100.0|0|0.0|100
0|2021-12-17|3248.0|0|3248.0|0|100.0|0|0.0|100
0|2021-12-18|3250.0|0|3250.0|0|100.0|0|0.0|100
0|2021-12-19|3252.0|0|3252.0|0|100.0|0|0.0|100
0|2021-12-20|3259.0|0|3259.0|0|100.0|0|0.0|100
0|2021-12-21|3259.0|0|3259.0|0|100.0|0|0.0|100
0|2021-12-22|3262.0|0|3262.0|0|100.0|0|0.0|100
0|2021-12-23|3266.0|0|3266.0|0|100.0|0|0.0|100
0|2021-12-24|3266.0|0|3266.0|0|100.0|0|0.0|100
0|2021-12-25|3266.0|0|3266.0|0|100.0|0|0.0|100
0|2021-12-26|3266.0|0|3266.0|0|100.0|0|0.0|100
0|2021-12-27|3274.0|0|3274.0|0|100.0|0|0.0|100
0|2021-12-28|3274.0|0|3274.0|0|100.0|0|0.0|100
0|2021-12-29|3280.0|0|3280.0|0|100.0|0|0.0|100
0|2021-12-30|3283.0|0|3283.0|0|100.0|0|0.0|100
0|2021-12-31|3283.0|0|3283.0|0|100.0|0|0.0|100
0|2022-01-01|3283.0|0|3283.0|0|100.0|0|0.0|100
0|2022-01-02|3283.0|0|3283.0|0|100.0|0|0.0|100
0|2022-01-03|3383.0|0|3383.0|0|100.0|0|0.0|100
0|2022-01-04|3401.0|0|3401.0|0|100.0|0|0.0|100
0|2022-01-05|3438.0|0|3438.0|0|100.0|0|0.0|100
0|2022-01-06|3466.0|0|3466.0|0|100.0|0|0.0|100
0|2022-01-07|3498.0|0|3498.0|0|100.0|0|0.0|100
0|2022-01-08|3513.0|0|3513.0|0|100.0|0|0.0|100
0|2022-01-09|3535.0|0|3535.0|0|100.0|0|0.0|100
0|2022-01-10|3556.0|0|3556.0|0|100.0|0|0.0|100
0|2022-01-11|3570.0|0|3570.0|0|100.0|0|0.0|100
0|2022-01-12|3625.0|0|3625.0|0|100.0|0|0.0|100
0|2022-01-13|3625.0|0|3690.0|0|100.0|0|0.0|100
0|2022-01-14|3690.0|0|3693.0|0|100.0|0|0.0|100
0|2022-01-15|3718.0|0|3718.0|0|100.0|0|0.0|100
0|2022-01-16|3733.0|0|3733.0|0|100.0|0|0.0|100
0|2022-01-17|3755.0|0|0.0|100|100.0|0|0.0|100
