|dates|RedLake_Minnesota_UnitedStates.MaleAndFemale_AtLeast65_Population.data|RedLake_Minnesota_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|RedLake_Minnesota_UnitedStates.Male_Total_Population.data|RedLake_Minnesota_UnitedStates.Male_Total_Population.missing|RedLake_Minnesota_UnitedStates.Female_Total_Population.data|RedLake_Minnesota_UnitedStates.Female_Total_Population.missing|RedLake_Minnesota_UnitedStates.MaleAndFemale_Under18_Population.data|RedLake_Minnesota_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-11-13|837.0|0|2042.0|0|1957.0|0|966.0|0
0|2021-11-14|837.0|0|2042.0|0|1957.0|0|966.0|0
0|2021-11-15|837.0|0|2042.0|0|1957.0|0|966.0|0
0|2021-11-16|837.0|0|2042.0|0|1957.0|0|966.0|0
0|2021-11-17|837.0|0|2042.0|0|1957.0|0|966.0|0
0|2021-11-18|837.0|0|2042.0|0|1957.0|0|966.0|0
0|2021-11-19|837.0|0|2042.0|0|1957.0|0|966.0|0
0|2021-11-20|837.0|0|2042.0|0|1957.0|0|966.0|0
0|2021-11-21|837.0|0|2042.0|0|1957.0|0|966.0|0
0|2021-11-22|837.0|0|2042.0|0|1957.0|0|966.0|0
0|2021-11-23|837.0|0|2042.0|0|1957.0|0|966.0|0
0|2021-11-24|837.0|0|2042.0|0|1957.0|0|966.0|0
0|2021-11-25|837.0|0|2042.0|0|1957.0|0|966.0|0
0|2021-11-26|837.0|0|2042.0|0|1957.0|0|966.0|0
0|2021-11-27|837.0|0|2042.0|0|1957.0|0|966.0|0
0|2021-11-28|837.0|0|2042.0|0|1957.0|0|966.0|0
0|2021-11-29|837.0|0|2042.0|0|1957.0|0|966.0|0
0|2021-11-30|837.0|0|2042.0|0|1957.0|0|966.0|0
0|2021-12-01|837.0|0|2042.0|0|1957.0|0|966.0|0
0|2021-12-02|837.0|0|2042.0|0|1957.0|0|966.0|0
0|2021-12-03|837.0|0|2042.0|0|1957.0|0|966.0|0
0|2021-12-04|837.0|0|2042.0|0|1957.0|0|966.0|0
0|2021-12-05|837.0|0|2042.0|0|1957.0|0|966.0|0
0|2021-12-06|837.0|0|2042.0|0|1957.0|0|966.0|0
0|2021-12-07|837.0|0|2042.0|0|1957.0|0|966.0|0
0|2021-12-08|837.0|0|2042.0|0|1957.0|0|966.0|0
0|2021-12-09|837.0|0|2042.0|0|1957.0|0|966.0|0
0|2021-12-10|837.0|0|2042.0|0|1957.0|0|966.0|0
0|2021-12-11|837.0|0|2042.0|0|1957.0|0|966.0|0
0|2021-12-12|837.0|0|2042.0|0|1957.0|0|966.0|0
0|2021-12-13|837.0|0|2042.0|0|1957.0|0|966.0|0
0|2021-12-14|837.0|0|2042.0|0|1957.0|0|966.0|0
0|2021-12-15|837.0|0|2042.0|0|1957.0|0|966.0|0
0|2021-12-16|837.0|0|2042.0|0|1957.0|0|966.0|0
0|2021-12-17|837.0|0|2042.0|0|1957.0|0|966.0|0
0|2021-12-18|837.0|0|2042.0|0|1957.0|0|966.0|0
0|2021-12-19|837.0|0|2042.0|0|1957.0|0|966.0|0
0|2021-12-20|837.0|0|2042.0|0|1957.0|0|966.0|0
0|2021-12-21|837.0|0|2042.0|0|1957.0|0|966.0|0
0|2021-12-22|837.0|0|2042.0|0|1957.0|0|966.0|0
0|2021-12-23|837.0|0|2042.0|0|1957.0|0|966.0|0
0|2021-12-24|837.0|0|2042.0|0|1957.0|0|966.0|0
0|2021-12-25|837.0|0|2042.0|0|1957.0|0|966.0|0
0|2021-12-26|837.0|0|2042.0|0|1957.0|0|966.0|0
0|2021-12-27|837.0|0|2042.0|0|1957.0|0|966.0|0
0|2021-12-28|837.0|0|2042.0|0|1957.0|0|966.0|0
0|2021-12-29|837.0|0|2042.0|0|1957.0|0|966.0|0
0|2021-12-30|837.0|0|2042.0|0|1957.0|0|966.0|0
0|2021-12-31|837.0|0|2042.0|0|1957.0|0|966.0|0
0|2022-01-01|837.0|0|2042.0|0|1957.0|0|966.0|0
0|2022-01-02|837.0|0|2042.0|0|1957.0|0|966.0|0
0|2022-01-03|837.0|0|2042.0|0|1957.0|0|966.0|0
0|2022-01-04|837.0|0|2042.0|0|1957.0|0|966.0|0
0|2022-01-05|837.0|0|2042.0|0|1957.0|0|966.0|0
0|2022-01-06|837.0|0|2042.0|0|1957.0|0|966.0|0
0|2022-01-07|837.0|0|2042.0|0|1957.0|0|966.0|0
0|2022-01-08|837.0|0|2042.0|0|1957.0|0|966.0|0
0|2022-01-09|837.0|0|2042.0|0|1957.0|0|966.0|0
0|2022-01-10|837.0|0|2042.0|0|1957.0|0|966.0|0
0|2022-01-11|837.0|0|2042.0|0|1957.0|0|966.0|0
0|2022-01-12|837.0|0|2042.0|0|1957.0|0|966.0|0
0|2022-01-13|837.0|0|2042.0|0|1957.0|0|966.0|0
0|2022-01-14|837.0|0|2042.0|0|1957.0|0|966.0|0
0|2022-01-15|837.0|0|2042.0|0|1957.0|0|966.0|0
0|2022-01-16|837.0|0|2042.0|0|1957.0|0|966.0|0
0|2022-01-17|837.0|0|2042.0|0|1957.0|0|966.0|0
