|dates|Robertson_Kentucky_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Robertson_Kentucky_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Robertson_Kentucky_UnitedStates.Male_Total_Population.data|Robertson_Kentucky_UnitedStates.Male_Total_Population.missing|Robertson_Kentucky_UnitedStates.Female_Total_Population.data|Robertson_Kentucky_UnitedStates.Female_Total_Population.missing|Robertson_Kentucky_UnitedStates.MaleAndFemale_Under18_Population.data|Robertson_Kentucky_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-11-22|460.0|0|1079.0|0|1056.0|0|440.0|0
0|2021-11-23|460.0|0|1079.0|0|1056.0|0|440.0|0
0|2021-11-24|460.0|0|1079.0|0|1056.0|0|440.0|0
0|2021-11-25|460.0|0|1079.0|0|1056.0|0|440.0|0
0|2021-11-26|460.0|0|1079.0|0|1056.0|0|440.0|0
0|2021-11-27|460.0|0|1079.0|0|1056.0|0|440.0|0
0|2021-11-28|460.0|0|1079.0|0|1056.0|0|440.0|0
0|2021-11-29|460.0|0|1079.0|0|1056.0|0|440.0|0
0|2021-11-30|460.0|0|1079.0|0|1056.0|0|440.0|0
0|2021-12-01|460.0|0|1079.0|0|1056.0|0|440.0|0
0|2021-12-02|460.0|0|1079.0|0|1056.0|0|440.0|0
0|2021-12-03|460.0|0|1079.0|0|1056.0|0|440.0|0
0|2021-12-04|460.0|0|1079.0|0|1056.0|0|440.0|0
0|2021-12-05|460.0|0|1079.0|0|1056.0|0|440.0|0
0|2021-12-06|460.0|0|1079.0|0|1056.0|0|440.0|0
0|2021-12-07|460.0|0|1079.0|0|1056.0|0|440.0|0
0|2021-12-08|460.0|0|1079.0|0|1056.0|0|440.0|0
0|2021-12-09|460.0|0|1079.0|0|1056.0|0|440.0|0
0|2021-12-10|460.0|0|1079.0|0|1056.0|0|440.0|0
0|2021-12-11|460.0|0|1079.0|0|1056.0|0|440.0|0
0|2021-12-12|460.0|0|1079.0|0|1056.0|0|440.0|0
0|2021-12-13|460.0|0|1079.0|0|1056.0|0|440.0|0
0|2021-12-14|460.0|0|1079.0|0|1056.0|0|440.0|0
0|2021-12-15|460.0|0|1079.0|0|1056.0|0|440.0|0
0|2021-12-16|460.0|0|1079.0|0|1056.0|0|440.0|0
0|2021-12-17|460.0|0|1079.0|0|1056.0|0|440.0|0
0|2021-12-18|460.0|0|1079.0|0|1056.0|0|440.0|0
0|2021-12-19|460.0|0|1079.0|0|1056.0|0|440.0|0
0|2021-12-20|460.0|0|1079.0|0|1056.0|0|440.0|0
0|2021-12-21|460.0|0|1079.0|0|1056.0|0|440.0|0
0|2021-12-22|460.0|0|1079.0|0|1056.0|0|440.0|0
0|2021-12-23|460.0|0|1079.0|0|1056.0|0|440.0|0
0|2021-12-24|460.0|0|1079.0|0|1056.0|0|440.0|0
0|2021-12-25|460.0|0|1079.0|0|1056.0|0|440.0|0
0|2021-12-26|460.0|0|1079.0|0|1056.0|0|440.0|0
0|2021-12-27|460.0|0|1079.0|0|1056.0|0|440.0|0
0|2021-12-28|460.0|0|1079.0|0|1056.0|0|440.0|0
0|2021-12-29|460.0|0|1079.0|0|1056.0|0|440.0|0
0|2021-12-30|460.0|0|1079.0|0|1056.0|0|440.0|0
0|2021-12-31|460.0|0|1079.0|0|1056.0|0|440.0|0
0|2022-01-01|460.0|0|1079.0|0|1056.0|0|440.0|0
0|2022-01-02|460.0|0|1079.0|0|1056.0|0|440.0|0
0|2022-01-03|460.0|0|1079.0|0|1056.0|0|440.0|0
0|2022-01-04|460.0|0|1079.0|0|1056.0|0|440.0|0
0|2022-01-05|460.0|0|1079.0|0|1056.0|0|440.0|0
0|2022-01-06|460.0|0|1079.0|0|1056.0|0|440.0|0
0|2022-01-07|460.0|0|1079.0|0|1056.0|0|440.0|0
0|2022-01-08|460.0|0|1079.0|0|1056.0|0|440.0|0
0|2022-01-09|460.0|0|1079.0|0|1056.0|0|440.0|0
0|2022-01-10|460.0|0|1079.0|0|1056.0|0|440.0|0
0|2022-01-11|460.0|0|1079.0|0|1056.0|0|440.0|0
0|2022-01-12|460.0|0|1079.0|0|1056.0|0|440.0|0
0|2022-01-13|460.0|0|1079.0|0|1056.0|0|440.0|0
0|2022-01-14|460.0|0|1079.0|0|1056.0|0|440.0|0
0|2022-01-15|460.0|0|1079.0|0|1056.0|0|440.0|0
0|2022-01-16|460.0|0|1079.0|0|1056.0|0|440.0|0
0|2022-01-17|460.0|0|1079.0|0|1056.0|0|440.0|0
