|dates|Coffee_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Coffee_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Coffee_Tennessee_UnitedStates.NYT_ConfirmedCases.data|Coffee_Tennessee_UnitedStates.NYT_ConfirmedCases.missing|Coffee_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Coffee_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Coffee_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Coffee_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-12-08|10983.0|0|10983.0|0|171.0|0|0.0|100
0|2021-12-09|10983.0|0|10983.0|0|171.0|0|0.0|100
0|2021-12-10|11010.0|0|11010.0|0|171.0|0|0.0|100
0|2021-12-11|11010.0|0|11010.0|0|171.0|0|0.0|100
0|2021-12-12|11010.0|0|11010.0|0|171.0|0|0.0|100
0|2021-12-13|11051.0|0|11051.0|0|174.0|0|0.0|100
0|2021-12-14|11051.0|0|11056.0|0|174.0|0|0.0|100
0|2021-12-15|11053.0|0|11053.0|0|174.0|0|0.0|100
0|2021-12-16|11068.0|0|11068.0|0|175.0|0|0.0|100
0|2021-12-17|11088.0|0|11088.0|0|176.0|0|0.0|100
0|2021-12-18|11088.0|0|11088.0|0|176.0|0|0.0|100
0|2021-12-19|11088.0|0|11088.0|0|176.0|0|0.0|100
0|2021-12-20|11115.0|0|11115.0|0|177.0|0|0.0|100
0|2021-12-21|11125.0|0|11125.0|0|177.0|0|0.0|100
0|2021-12-22|11139.0|0|11139.0|0|177.0|0|0.0|100
0|2021-12-23|11171.0|0|11171.0|0|208.0|0|0.0|100
0|2021-12-24|11171.0|0|11171.0|0|208.0|0|0.0|100
0|2021-12-25|11171.0|0|11171.0|0|208.0|0|0.0|100
0|2021-12-26|11171.0|0|11171.0|0|208.0|0|0.0|100
0|2021-12-27|11203.0|0|11203.0|0|212.0|0|0.0|100
0|2021-12-28|11231.0|0|11231.0|0|212.0|0|0.0|100
0|2021-12-29|11292.0|0|11292.0|0|212.0|0|0.0|100
0|2021-12-30|11365.0|0|11365.0|0|213.0|0|0.0|100
0|2021-12-31|11365.0|0|11365.0|0|213.0|0|0.0|100
0|2022-01-01|11365.0|0|11365.0|0|213.0|0|0.0|100
0|2022-01-02|11365.0|0|11365.0|0|213.0|0|0.0|100
0|2022-01-03|11593.0|0|11593.0|0|214.0|0|0.0|100
0|2022-01-04|11628.0|0|11628.0|0|214.0|0|0.0|100
0|2022-01-05|11628.0|0|11628.0|0|214.0|0|0.0|100
0|2022-01-06|11628.0|0|11628.0|0|214.0|0|0.0|100
0|2022-01-07|11628.0|0|11628.0|0|214.0|0|0.0|100
0|2022-01-08|11628.0|0|11628.0|0|214.0|0|0.0|100
0|2022-01-09|11628.0|0|11628.0|0|214.0|0|0.0|100
0|2022-01-10|11628.0|0|11628.0|0|214.0|0|0.0|100
0|2022-01-11|11628.0|0|11628.0|0|214.0|0|0.0|100
0|2022-01-12|12138.0|0|12138.0|0|214.0|0|0.0|100
0|2022-01-13|12138.0|0|12138.0|0|214.0|0|0.0|100
0|2022-01-14|12138.0|0|12138.0|0|214.0|0|0.0|100
0|2022-01-15|12138.0|0|12138.0|0|214.0|0|0.0|100
0|2022-01-16|12138.0|0|12138.0|0|214.0|0|0.0|100
0|2022-01-17|12138.0|0|0.0|100|214.0|0|0.0|100
