|dates|Calhoun_Alabama_UnitedStates.JHU_ConfirmedCases.data|Calhoun_Alabama_UnitedStates.JHU_ConfirmedCases.missing|Calhoun_Alabama_UnitedStates.NYT_ConfirmedCases.data|Calhoun_Alabama_UnitedStates.NYT_ConfirmedCases.missing|Calhoun_Alabama_UnitedStates.JHU_ConfirmedDeaths.data|Calhoun_Alabama_UnitedStates.JHU_ConfirmedDeaths.missing|Calhoun_Alabama_UnitedStates.JHU_ConfirmedRecoveries.data|Calhoun_Alabama_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-12-04|22630.0|0|22630.0|0|520.0|0|0.0|100
0|2021-12-05|22632.0|0|22632.0|0|520.0|0|0.0|100
0|2021-12-06|22636.0|0|22636.0|0|520.0|0|0.0|100
0|2021-12-07|22652.0|0|22652.0|0|520.0|0|0.0|100
0|2021-12-08|22662.0|0|22662.0|0|520.0|0|0.0|100
0|2021-12-09|22670.0|0|22670.0|0|520.0|0|0.0|100
0|2021-12-10|22682.0|0|22682.0|0|522.0|0|0.0|100
0|2021-12-11|22695.0|0|22695.0|0|522.0|0|0.0|100
0|2021-12-12|22700.0|0|22700.0|0|522.0|0|0.0|100
0|2021-12-13|22705.0|0|22705.0|0|522.0|0|0.0|100
0|2021-12-14|22705.0|0|22722.0|0|522.0|0|0.0|100
0|2021-12-15|22737.0|0|22737.0|0|523.0|0|0.0|100
0|2021-12-16|22754.0|0|22754.0|0|524.0|0|0.0|100
0|2021-12-17|22772.0|0|22772.0|0|525.0|0|0.0|100
0|2021-12-18|22794.0|0|22794.0|0|525.0|0|0.0|100
0|2021-12-19|22803.0|0|22803.0|0|525.0|0|0.0|100
0|2021-12-20|22810.0|0|22810.0|0|525.0|0|0.0|100
0|2021-12-21|22825.0|0|22825.0|0|526.0|0|0.0|100
0|2021-12-22|22837.0|0|22837.0|0|526.0|0|0.0|100
0|2021-12-23|22866.0|0|22866.0|0|527.0|0|0.0|100
0|2021-12-24|22897.0|0|22897.0|0|530.0|0|0.0|100
0|2021-12-25|22924.0|0|22924.0|0|530.0|0|0.0|100
0|2021-12-26|22934.0|0|22934.0|0|530.0|0|0.0|100
0|2021-12-27|22956.0|0|22956.0|0|530.0|0|0.0|100
0|2021-12-28|23011.0|0|23011.0|0|532.0|0|0.0|100
0|2021-12-29|23120.0|0|23120.0|0|532.0|0|0.0|100
0|2021-12-30|23242.0|0|23242.0|0|532.0|0|0.0|100
0|2021-12-31|23411.0|0|23411.0|0|532.0|0|0.0|100
0|2022-01-01|23411.0|0|23411.0|0|532.0|0|0.0|100
0|2022-01-02|23629.0|0|23629.0|0|532.0|0|0.0|100
0|2022-01-03|23694.0|0|23694.0|0|532.0|0|0.0|100
0|2022-01-04|23801.0|0|23801.0|0|532.0|0|0.0|100
0|2022-01-05|24047.0|0|24047.0|0|532.0|0|0.0|100
0|2022-01-06|24282.0|0|24282.0|0|532.0|0|0.0|100
0|2022-01-07|24507.0|0|24507.0|0|533.0|0|0.0|100
0|2022-01-08|24678.0|0|24678.0|0|535.0|0|0.0|100
0|2022-01-09|24866.0|0|24866.0|0|535.0|0|0.0|100
0|2022-01-10|24948.0|0|24948.0|0|535.0|0|0.0|100
0|2022-01-11|25110.0|0|25110.0|0|535.0|0|0.0|100
0|2022-01-12|25325.0|0|25325.0|0|535.0|0|0.0|100
0|2022-01-13|25325.0|0|25325.0|0|535.0|0|0.0|100
0|2022-01-14|25325.0|0|25325.0|0|535.0|0|0.0|100
0|2022-01-15|25325.0|0|25325.0|0|535.0|0|0.0|100
0|2022-01-16|26447.0|0|26447.0|0|538.0|0|0.0|100
0|2022-01-17|26576.0|0|0.0|100|538.0|0|0.0|100
