|dates|Kalawao_Hawaii_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Kalawao_Hawaii_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Kalawao_Hawaii_UnitedStates.Male_Total_Population.data|Kalawao_Hawaii_UnitedStates.Male_Total_Population.missing|Kalawao_Hawaii_UnitedStates.Female_Total_Population.data|Kalawao_Hawaii_UnitedStates.Female_Total_Population.missing|Kalawao_Hawaii_UnitedStates.MaleAndFemale_Under18_Population.data|Kalawao_Hawaii_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-12-05|37.0|0|41.0|0|47.0|0|0.0|0
0|2021-12-06|37.0|0|41.0|0|47.0|0|0.0|0
0|2021-12-07|37.0|0|41.0|0|47.0|0|0.0|0
0|2021-12-08|37.0|0|41.0|0|47.0|0|0.0|0
0|2021-12-09|37.0|0|41.0|0|47.0|0|0.0|0
0|2021-12-10|37.0|0|41.0|0|47.0|0|0.0|0
0|2021-12-11|37.0|0|41.0|0|47.0|0|0.0|0
0|2021-12-12|37.0|0|41.0|0|47.0|0|0.0|0
0|2021-12-13|37.0|0|41.0|0|47.0|0|0.0|0
0|2021-12-14|37.0|0|41.0|0|47.0|0|0.0|0
0|2021-12-15|37.0|0|41.0|0|47.0|0|0.0|0
0|2021-12-16|37.0|0|41.0|0|47.0|0|0.0|0
0|2021-12-17|37.0|0|41.0|0|47.0|0|0.0|0
0|2021-12-18|37.0|0|41.0|0|47.0|0|0.0|0
0|2021-12-19|37.0|0|41.0|0|47.0|0|0.0|0
0|2021-12-20|37.0|0|41.0|0|47.0|0|0.0|0
0|2021-12-21|37.0|0|41.0|0|47.0|0|0.0|0
0|2021-12-22|37.0|0|41.0|0|47.0|0|0.0|0
0|2021-12-23|37.0|0|41.0|0|47.0|0|0.0|0
0|2021-12-24|37.0|0|41.0|0|47.0|0|0.0|0
0|2021-12-25|37.0|0|41.0|0|47.0|0|0.0|0
0|2021-12-26|37.0|0|41.0|0|47.0|0|0.0|0
0|2021-12-27|37.0|0|41.0|0|47.0|0|0.0|0
0|2021-12-28|37.0|0|41.0|0|47.0|0|0.0|0
0|2021-12-29|37.0|0|41.0|0|47.0|0|0.0|0
0|2021-12-30|37.0|0|41.0|0|47.0|0|0.0|0
0|2021-12-31|37.0|0|41.0|0|47.0|0|0.0|0
0|2022-01-01|37.0|0|41.0|0|47.0|0|0.0|0
0|2022-01-02|37.0|0|41.0|0|47.0|0|0.0|0
0|2022-01-03|37.0|0|41.0|0|47.0|0|0.0|0
0|2022-01-04|37.0|0|41.0|0|47.0|0|0.0|0
0|2022-01-05|37.0|0|41.0|0|47.0|0|0.0|0
0|2022-01-06|37.0|0|41.0|0|47.0|0|0.0|0
0|2022-01-07|37.0|0|41.0|0|47.0|0|0.0|0
0|2022-01-08|37.0|0|41.0|0|47.0|0|0.0|0
0|2022-01-09|37.0|0|41.0|0|47.0|0|0.0|0
0|2022-01-10|37.0|0|41.0|0|47.0|0|0.0|0
0|2022-01-11|37.0|0|41.0|0|47.0|0|0.0|0
0|2022-01-12|37.0|0|41.0|0|47.0|0|0.0|0
0|2022-01-13|37.0|0|41.0|0|47.0|0|0.0|0
0|2022-01-14|37.0|0|41.0|0|47.0|0|0.0|0
0|2022-01-15|37.0|0|41.0|0|47.0|0|0.0|0
0|2022-01-16|37.0|0|41.0|0|47.0|0|0.0|0
0|2022-01-17|37.0|0|41.0|0|47.0|0|0.0|0
