|dates|Atchison_Missouri_UnitedStates.JHU_ConfirmedCases.data|Atchison_Missouri_UnitedStates.JHU_ConfirmedCases.missing|Atchison_Missouri_UnitedStates.NYT_ConfirmedCases.data|Atchison_Missouri_UnitedStates.NYT_ConfirmedCases.missing|Atchison_Missouri_UnitedStates.JHU_ConfirmedDeaths.data|Atchison_Missouri_UnitedStates.JHU_ConfirmedDeaths.missing|Atchison_Missouri_UnitedStates.JHU_ConfirmedRecoveries.data|Atchison_Missouri_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-11-15|728.0|0|728.0|0|7.0|0|0.0|100
0|2021-11-16|731.0|0|731.0|0|7.0|0|0.0|100
0|2021-11-17|746.0|0|746.0|0|7.0|0|0.0|100
0|2021-11-18|771.0|0|771.0|0|7.0|0|0.0|100
0|2021-11-19|771.0|0|771.0|0|7.0|0|0.0|100
0|2021-11-20|771.0|0|771.0|0|7.0|0|0.0|100
0|2021-11-21|778.0|0|778.0|0|7.0|0|0.0|100
0|2021-11-22|789.0|0|789.0|0|7.0|0|0.0|100
0|2021-11-23|800.0|0|800.0|0|7.0|0|0.0|100
0|2021-11-24|804.0|0|804.0|0|7.0|0|0.0|100
0|2021-11-25|804.0|0|804.0|0|7.0|0|0.0|100
0|2021-11-26|804.0|0|804.0|0|7.0|0|0.0|100
0|2021-11-27|804.0|0|804.0|0|7.0|0|0.0|100
0|2021-11-28|804.0|0|804.0|0|7.0|0|0.0|100
0|2021-11-29|815.0|0|815.0|0|7.0|0|0.0|100
0|2021-11-30|815.0|0|815.0|0|7.0|0|0.0|100
0|2021-12-01|816.0|0|816.0|0|7.0|0|0.0|100
0|2021-12-02|816.0|0|845.0|0|7.0|0|0.0|100
0|2021-12-03|845.0|0|845.0|0|16.0|0|0.0|100
0|2021-12-04|851.0|0|851.0|0|16.0|0|0.0|100
0|2021-12-05|859.0|0|859.0|0|16.0|0|0.0|100
0|2021-12-06|859.0|0|859.0|0|16.0|0|0.0|100
0|2021-12-07|865.0|0|865.0|0|17.0|0|0.0|100
0|2021-12-08|875.0|0|875.0|0|18.0|0|0.0|100
0|2021-12-09|878.0|0|878.0|0|18.0|0|0.0|100
0|2021-12-10|885.0|0|885.0|0|18.0|0|0.0|100
0|2021-12-11|888.0|0|888.0|0|18.0|0|0.0|100
0|2021-12-12|888.0|0|888.0|0|18.0|0|0.0|100
0|2021-12-13|888.0|0|888.0|0|18.0|0|0.0|100
0|2021-12-14|888.0|0|901.0|0|18.0|0|0.0|100
0|2021-12-15|915.0|0|915.0|0|18.0|0|0.0|100
0|2021-12-16|924.0|0|924.0|0|18.0|0|0.0|100
0|2021-12-17|926.0|0|926.0|0|18.0|0|0.0|100
0|2021-12-18|928.0|0|928.0|0|18.0|0|0.0|100
0|2021-12-19|928.0|0|928.0|0|18.0|0|0.0|100
0|2021-12-20|928.0|0|928.0|0|18.0|0|0.0|100
0|2021-12-21|932.0|0|932.0|0|18.0|0|0.0|100
0|2021-12-22|942.0|0|942.0|0|18.0|0|0.0|100
0|2021-12-23|949.0|0|949.0|0|18.0|0|0.0|100
0|2021-12-24|949.0|0|949.0|0|18.0|0|0.0|100
0|2021-12-25|949.0|0|949.0|0|18.0|0|0.0|100
0|2021-12-26|949.0|0|949.0|0|18.0|0|0.0|100
0|2021-12-27|958.0|0|958.0|0|18.0|0|0.0|100
0|2021-12-28|965.0|0|965.0|0|18.0|0|0.0|100
0|2021-12-29|974.0|0|974.0|0|18.0|0|0.0|100
0|2021-12-30|975.0|0|975.0|0|18.0|0|0.0|100
0|2021-12-31|975.0|0|975.0|0|18.0|0|0.0|100
0|2022-01-01|975.0|0|975.0|0|18.0|0|0.0|100
0|2022-01-02|975.0|0|975.0|0|18.0|0|0.0|100
0|2022-01-03|975.0|0|979.0|0|18.0|0|0.0|100
0|2022-01-04|987.0|0|987.0|0|19.0|0|0.0|100
0|2022-01-05|995.0|0|995.0|0|19.0|0|0.0|100
0|2022-01-06|1008.0|0|1008.0|0|19.0|0|0.0|100
0|2022-01-07|1017.0|0|1017.0|0|19.0|0|0.0|100
0|2022-01-08|1023.0|0|1023.0|0|19.0|0|0.0|100
0|2022-01-09|1023.0|0|1023.0|0|19.0|0|0.0|100
0|2022-01-10|1023.0|0|1023.0|0|19.0|0|0.0|100
0|2022-01-11|1032.0|0|1032.0|0|19.0|0|0.0|100
0|2022-01-12|1040.0|0|1040.0|0|19.0|0|0.0|100
0|2022-01-13|1040.0|0|1042.0|0|19.0|0|0.0|100
0|2022-01-14|1045.0|0|1045.0|0|19.0|0|0.0|100
0|2022-01-15|1049.0|0|1049.0|0|19.0|0|0.0|100
0|2022-01-16|1049.0|0|1049.0|0|19.0|0|0.0|100
0|2022-01-17|1049.0|0|0.0|100|19.0|0|0.0|100
