|dates|Dorchester_SouthCarolina_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Dorchester_SouthCarolina_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Dorchester_SouthCarolina_UnitedStates.Male_Total_Population.data|Dorchester_SouthCarolina_UnitedStates.Male_Total_Population.missing|Dorchester_SouthCarolina_UnitedStates.Female_Total_Population.data|Dorchester_SouthCarolina_UnitedStates.Female_Total_Population.missing|Dorchester_SouthCarolina_UnitedStates.MaleAndFemale_Under18_Population.data|Dorchester_SouthCarolina_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2022-01-07|22634.0|0|78076.0|0|82571.0|0|39214.0|0
0|2022-01-08|22634.0|0|78076.0|0|82571.0|0|39214.0|0
0|2022-01-09|22634.0|0|78076.0|0|82571.0|0|39214.0|0
0|2022-01-10|22634.0|0|78076.0|0|82571.0|0|39214.0|0
0|2022-01-11|22634.0|0|78076.0|0|82571.0|0|39214.0|0
0|2022-01-12|22634.0|0|78076.0|0|82571.0|0|39214.0|0
0|2022-01-13|22634.0|0|78076.0|0|82571.0|0|39214.0|0
0|2022-01-14|22634.0|0|78076.0|0|82571.0|0|39214.0|0
0|2022-01-15|22634.0|0|78076.0|0|82571.0|0|39214.0|0
0|2022-01-16|22634.0|0|78076.0|0|82571.0|0|39214.0|0
0|2022-01-17|22634.0|0|78076.0|0|82571.0|0|39214.0|0
