|dates|Cass_Illinois_UnitedStates.JHU_ConfirmedCases.data|Cass_Illinois_UnitedStates.JHU_ConfirmedCases.missing|Cass_Illinois_UnitedStates.NYT_ConfirmedCases.data|Cass_Illinois_UnitedStates.NYT_ConfirmedCases.missing|Cass_Illinois_UnitedStates.JHU_ConfirmedDeaths.data|Cass_Illinois_UnitedStates.JHU_ConfirmedDeaths.missing|Cass_Illinois_UnitedStates.JHU_ConfirmedRecoveries.data|Cass_Illinois_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-12-01|2769.0|0|2769.0|0|31.0|0|0.0|100
0|2021-12-02|2769.0|0|2783.0|0|31.0|0|0.0|100
0|2021-12-03|2792.0|0|2792.0|0|31.0|0|0.0|100
0|2021-12-04|2792.0|0|2792.0|0|31.0|0|0.0|100
0|2021-12-05|2792.0|0|2792.0|0|31.0|0|0.0|100
0|2021-12-06|2805.0|0|2805.0|0|31.0|0|0.0|100
0|2021-12-07|2827.0|0|2827.0|0|31.0|0|0.0|100
0|2021-12-08|2834.0|0|2834.0|0|31.0|0|0.0|100
0|2021-12-09|2855.0|0|2855.0|0|31.0|0|0.0|100
0|2021-12-10|2862.0|0|2862.0|0|31.0|0|0.0|100
0|2021-12-11|2862.0|0|2862.0|0|31.0|0|0.0|100
0|2021-12-12|2862.0|0|2862.0|0|31.0|0|0.0|100
0|2021-12-13|2877.0|0|2877.0|0|31.0|0|0.0|100
0|2021-12-14|2877.0|0|2900.0|0|31.0|0|0.0|100
0|2021-12-15|2907.0|0|2907.0|0|31.0|0|0.0|100
0|2021-12-16|2926.0|0|2926.0|0|31.0|0|0.0|100
0|2021-12-17|2944.0|0|2944.0|0|31.0|0|0.0|100
0|2021-12-18|2944.0|0|2944.0|0|31.0|0|0.0|100
0|2021-12-19|2944.0|0|2944.0|0|31.0|0|0.0|100
0|2021-12-20|2966.0|0|2966.0|0|31.0|0|0.0|100
0|2021-12-21|2991.0|0|2991.0|0|31.0|0|0.0|100
0|2021-12-22|3005.0|0|3005.0|0|31.0|0|0.0|100
0|2021-12-23|3023.0|0|3023.0|0|31.0|0|0.0|100
0|2021-12-24|3023.0|0|3023.0|0|31.0|0|0.0|100
0|2021-12-25|3023.0|0|3023.0|0|31.0|0|0.0|100
0|2021-12-26|3023.0|0|3023.0|0|31.0|0|0.0|100
0|2021-12-27|3041.0|0|3041.0|0|31.0|0|0.0|100
0|2021-12-28|3058.0|0|3058.0|0|31.0|0|0.0|100
0|2021-12-29|3080.0|0|3080.0|0|31.0|0|0.0|100
0|2021-12-30|3127.0|0|3127.0|0|31.0|0|0.0|100
0|2021-12-31|3127.0|0|3127.0|0|31.0|0|0.0|100
0|2022-01-01|3127.0|0|3127.0|0|31.0|0|0.0|100
0|2022-01-02|3127.0|0|3127.0|0|31.0|0|0.0|100
0|2022-01-03|3167.0|0|3167.0|0|31.0|0|0.0|100
0|2022-01-04|3233.0|0|3233.0|0|31.0|0|0.0|100
0|2022-01-05|3296.0|0|3296.0|0|31.0|0|0.0|100
0|2022-01-06|3360.0|0|3360.0|0|31.0|0|0.0|100
0|2022-01-07|3423.0|0|3423.0|0|31.0|0|0.0|100
0|2022-01-08|3423.0|0|3423.0|0|31.0|0|0.0|100
0|2022-01-09|3423.0|0|3423.0|0|31.0|0|0.0|100
0|2022-01-10|3532.0|0|3532.0|0|32.0|0|0.0|100
0|2022-01-11|3589.0|0|3589.0|0|32.0|0|0.0|100
0|2022-01-12|3664.0|0|3664.0|0|32.0|0|0.0|100
0|2022-01-13|3664.0|0|3748.0|0|32.0|0|0.0|100
0|2022-01-14|3789.0|0|3789.0|0|32.0|0|0.0|100
0|2022-01-15|3789.0|0|3789.0|0|32.0|0|0.0|100
0|2022-01-16|3789.0|0|3789.0|0|32.0|0|0.0|100
0|2022-01-17|3789.0|0|0.0|100|32.0|0|0.0|100
