|dates|Throckmorton_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Throckmorton_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Throckmorton_Texas_UnitedStates.Male_Total_Population.data|Throckmorton_Texas_UnitedStates.Male_Total_Population.missing|Throckmorton_Texas_UnitedStates.Female_Total_Population.data|Throckmorton_Texas_UnitedStates.Female_Total_Population.missing|Throckmorton_Texas_UnitedStates.MaleAndFemale_Under18_Population.data|Throckmorton_Texas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2022-01-01|425.0|0|708.0|0|807.0|0|298.0|0
0|2022-01-02|425.0|0|708.0|0|807.0|0|298.0|0
0|2022-01-03|425.0|0|708.0|0|807.0|0|298.0|0
0|2022-01-04|425.0|0|708.0|0|807.0|0|298.0|0
0|2022-01-05|425.0|0|708.0|0|807.0|0|298.0|0
0|2022-01-06|425.0|0|708.0|0|807.0|0|298.0|0
0|2022-01-07|425.0|0|708.0|0|807.0|0|298.0|0
0|2022-01-08|425.0|0|708.0|0|807.0|0|298.0|0
0|2022-01-09|425.0|0|708.0|0|807.0|0|298.0|0
0|2022-01-10|425.0|0|708.0|0|807.0|0|298.0|0
0|2022-01-11|425.0|0|708.0|0|807.0|0|298.0|0
0|2022-01-12|425.0|0|708.0|0|807.0|0|298.0|0
0|2022-01-13|425.0|0|708.0|0|807.0|0|298.0|0
0|2022-01-14|425.0|0|708.0|0|807.0|0|298.0|0
0|2022-01-15|425.0|0|708.0|0|807.0|0|298.0|0
0|2022-01-16|425.0|0|708.0|0|807.0|0|298.0|0
0|2022-01-17|425.0|0|708.0|0|807.0|0|298.0|0
