|dates|Fayette_Pennsylvania_UnitedStates.JHU_ConfirmedCases.data|Fayette_Pennsylvania_UnitedStates.JHU_ConfirmedCases.missing|Fayette_Pennsylvania_UnitedStates.NYT_ConfirmedCases.data|Fayette_Pennsylvania_UnitedStates.NYT_ConfirmedCases.missing|Fayette_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.data|Fayette_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.missing|Fayette_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.data|Fayette_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-12-01|20623.0|0|20623.0|0|462.0|0|0.0|100
0|2021-12-02|20723.0|0|20723.0|0|467.0|0|0.0|100
0|2021-12-03|20911.0|0|20911.0|0|468.0|0|0.0|100
0|2021-12-04|20951.0|0|20951.0|0|470.0|0|0.0|100
0|2021-12-05|20989.0|0|20989.0|0|470.0|0|0.0|100
0|2021-12-06|21066.0|0|21066.0|0|473.0|0|0.0|100
0|2021-12-07|21171.0|0|21171.0|0|475.0|0|0.0|100
0|2021-12-08|21275.0|0|21275.0|0|478.0|0|0.0|100
0|2021-12-09|21392.0|0|21392.0|0|480.0|0|0.0|100
0|2021-12-10|21461.0|0|21461.0|0|483.0|0|0.0|100
0|2021-12-11|21559.0|0|21559.0|0|491.0|0|0.0|100
0|2021-12-12|21636.0|0|21636.0|0|492.0|0|0.0|100
0|2021-12-13|21677.0|0|21677.0|0|493.0|0|0.0|100
0|2021-12-14|21677.0|0|21796.0|0|493.0|0|0.0|100
0|2021-12-15|21862.0|0|21862.0|0|507.0|0|0.0|100
0|2021-12-16|21912.0|0|21912.0|0|507.0|0|0.0|100
0|2021-12-17|22020.0|0|22020.0|0|508.0|0|0.0|100
0|2021-12-18|22084.0|0|22084.0|0|510.0|0|0.0|100
0|2021-12-19|22159.0|0|22159.0|0|510.0|0|0.0|100
0|2021-12-20|22185.0|0|22185.0|0|510.0|0|0.0|100
0|2021-12-21|22284.0|0|22284.0|0|514.0|0|0.0|100
0|2021-12-22|22327.0|0|22327.0|0|518.0|0|0.0|100
0|2021-12-23|22377.0|0|22377.0|0|524.0|0|0.0|100
0|2021-12-24|22520.0|0|22520.0|0|525.0|0|0.0|100
0|2021-12-25|22591.0|0|22591.0|0|525.0|0|0.0|100
0|2021-12-26|22622.0|0|22622.0|0|525.0|0|0.0|100
0|2021-12-27|22641.0|0|22641.0|0|525.0|0|0.0|100
0|2021-12-28|22690.0|0|22690.0|0|527.0|0|0.0|100
0|2021-12-29|22754.0|0|22754.0|0|533.0|0|0.0|100
0|2021-12-30|22880.0|0|22880.0|0|538.0|0|0.0|100
0|2021-12-31|23005.0|0|23005.0|0|539.0|0|0.0|100
0|2022-01-01|23163.0|0|23163.0|0|539.0|0|0.0|100
0|2022-01-02|23259.0|0|23259.0|0|539.0|0|0.0|100
0|2022-01-03|23315.0|0|23315.0|0|539.0|0|0.0|100
0|2022-01-04|23430.0|0|23430.0|0|541.0|0|0.0|100
0|2022-01-05|23710.0|0|23710.0|0|542.0|0|0.0|100
0|2022-01-06|23853.0|0|23853.0|0|544.0|0|0.0|100
0|2022-01-07|24055.0|0|24055.0|0|546.0|0|0.0|100
0|2022-01-08|24309.0|0|24309.0|0|548.0|0|0.0|100
0|2022-01-09|24430.0|0|24430.0|0|550.0|0|0.0|100
0|2022-01-10|24567.0|0|24567.0|0|550.0|0|0.0|100
0|2022-01-11|24662.0|0|24662.0|0|553.0|0|0.0|100
0|2022-01-12|24935.0|0|24935.0|0|556.0|0|0.0|100
0|2022-01-13|24935.0|0|25133.0|0|556.0|0|0.0|100
0|2022-01-14|25379.0|0|25379.0|0|562.0|0|0.0|100
0|2022-01-15|25629.0|0|25629.0|0|563.0|0|0.0|100
0|2022-01-16|25955.0|0|25955.0|0|563.0|0|0.0|100
0|2022-01-17|26096.0|0|0.0|100|563.0|0|0.0|100
