|dates|Rich_Utah_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Rich_Utah_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Rich_Utah_UnitedStates.Male_Total_Population.data|Rich_Utah_UnitedStates.Male_Total_Population.missing|Rich_Utah_UnitedStates.Female_Total_Population.data|Rich_Utah_UnitedStates.Female_Total_Population.missing|Rich_Utah_UnitedStates.MaleAndFemale_Under18_Population.data|Rich_Utah_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-11-18|443.0|0|1268.0|0|1196.0|0|716.0|0
0|2021-11-19|443.0|0|1268.0|0|1196.0|0|716.0|0
0|2021-11-20|443.0|0|1268.0|0|1196.0|0|716.0|0
0|2021-11-21|443.0|0|1268.0|0|1196.0|0|716.0|0
0|2021-11-22|443.0|0|1268.0|0|1196.0|0|716.0|0
0|2021-11-23|443.0|0|1268.0|0|1196.0|0|716.0|0
0|2021-11-24|443.0|0|1268.0|0|1196.0|0|716.0|0
0|2021-11-25|443.0|0|1268.0|0|1196.0|0|716.0|0
0|2021-11-26|443.0|0|1268.0|0|1196.0|0|716.0|0
0|2021-11-27|443.0|0|1268.0|0|1196.0|0|716.0|0
0|2021-11-28|443.0|0|1268.0|0|1196.0|0|716.0|0
0|2021-11-29|443.0|0|1268.0|0|1196.0|0|716.0|0
0|2021-11-30|443.0|0|1268.0|0|1196.0|0|716.0|0
0|2021-12-01|443.0|0|1268.0|0|1196.0|0|716.0|0
0|2021-12-02|443.0|0|1268.0|0|1196.0|0|716.0|0
0|2021-12-03|443.0|0|1268.0|0|1196.0|0|716.0|0
0|2021-12-04|443.0|0|1268.0|0|1196.0|0|716.0|0
0|2021-12-05|443.0|0|1268.0|0|1196.0|0|716.0|0
0|2021-12-06|443.0|0|1268.0|0|1196.0|0|716.0|0
0|2021-12-07|443.0|0|1268.0|0|1196.0|0|716.0|0
0|2021-12-08|443.0|0|1268.0|0|1196.0|0|716.0|0
0|2021-12-09|443.0|0|1268.0|0|1196.0|0|716.0|0
0|2021-12-10|443.0|0|1268.0|0|1196.0|0|716.0|0
0|2021-12-11|443.0|0|1268.0|0|1196.0|0|716.0|0
0|2021-12-12|443.0|0|1268.0|0|1196.0|0|716.0|0
0|2021-12-13|443.0|0|1268.0|0|1196.0|0|716.0|0
0|2021-12-14|443.0|0|1268.0|0|1196.0|0|716.0|0
0|2021-12-15|443.0|0|1268.0|0|1196.0|0|716.0|0
0|2021-12-16|443.0|0|1268.0|0|1196.0|0|716.0|0
0|2021-12-17|443.0|0|1268.0|0|1196.0|0|716.0|0
0|2021-12-18|443.0|0|1268.0|0|1196.0|0|716.0|0
0|2021-12-19|443.0|0|1268.0|0|1196.0|0|716.0|0
0|2021-12-20|443.0|0|1268.0|0|1196.0|0|716.0|0
0|2021-12-21|443.0|0|1268.0|0|1196.0|0|716.0|0
0|2021-12-22|443.0|0|1268.0|0|1196.0|0|716.0|0
0|2021-12-23|443.0|0|1268.0|0|1196.0|0|716.0|0
0|2021-12-24|443.0|0|1268.0|0|1196.0|0|716.0|0
0|2021-12-25|443.0|0|1268.0|0|1196.0|0|716.0|0
0|2021-12-26|443.0|0|1268.0|0|1196.0|0|716.0|0
0|2021-12-27|443.0|0|1268.0|0|1196.0|0|716.0|0
0|2021-12-28|443.0|0|1268.0|0|1196.0|0|716.0|0
0|2021-12-29|443.0|0|1268.0|0|1196.0|0|716.0|0
0|2021-12-30|443.0|0|1268.0|0|1196.0|0|716.0|0
0|2021-12-31|443.0|0|1268.0|0|1196.0|0|716.0|0
0|2022-01-01|443.0|0|1268.0|0|1196.0|0|716.0|0
0|2022-01-02|443.0|0|1268.0|0|1196.0|0|716.0|0
0|2022-01-03|443.0|0|1268.0|0|1196.0|0|716.0|0
0|2022-01-04|443.0|0|1268.0|0|1196.0|0|716.0|0
0|2022-01-05|443.0|0|1268.0|0|1196.0|0|716.0|0
0|2022-01-06|443.0|0|1268.0|0|1196.0|0|716.0|0
0|2022-01-07|443.0|0|1268.0|0|1196.0|0|716.0|0
0|2022-01-08|443.0|0|1268.0|0|1196.0|0|716.0|0
0|2022-01-09|443.0|0|1268.0|0|1196.0|0|716.0|0
0|2022-01-10|443.0|0|1268.0|0|1196.0|0|716.0|0
0|2022-01-11|443.0|0|1268.0|0|1196.0|0|716.0|0
0|2022-01-12|443.0|0|1268.0|0|1196.0|0|716.0|0
0|2022-01-13|443.0|0|1268.0|0|1196.0|0|716.0|0
0|2022-01-14|443.0|0|1268.0|0|1196.0|0|716.0|0
0|2022-01-15|443.0|0|1268.0|0|1196.0|0|716.0|0
0|2022-01-16|443.0|0|1268.0|0|1196.0|0|716.0|0
0|2022-01-17|443.0|0|1268.0|0|1196.0|0|716.0|0
