|dates|WallaWalla_Washington_UnitedStates.JHU_ConfirmedCases.data|WallaWalla_Washington_UnitedStates.JHU_ConfirmedCases.missing|WallaWalla_Washington_UnitedStates.NYT_ConfirmedCases.data|WallaWalla_Washington_UnitedStates.NYT_ConfirmedCases.missing|WallaWalla_Washington_UnitedStates.JHU_ConfirmedDeaths.data|WallaWalla_Washington_UnitedStates.JHU_ConfirmedDeaths.missing|WallaWalla_Washington_UnitedStates.JHU_ConfirmedRecoveries.data|WallaWalla_Washington_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2022-01-05|9856.0|0|9972.0|0|115.0|0|0.0|100
0|2022-01-06|9925.0|0|10071.0|0|116.0|0|0.0|100
0|2022-01-07|10029.0|0|10071.0|0|116.0|0|0.0|100
0|2022-01-08|10029.0|0|10071.0|0|116.0|0|0.0|100
0|2022-01-09|10029.0|0|10194.0|0|116.0|0|0.0|100
0|2022-01-10|10298.0|0|10457.0|0|116.0|0|0.0|100
0|2022-01-11|10304.0|0|10581.0|0|116.0|0|0.0|100
0|2022-01-12|10432.0|0|10664.0|0|118.0|0|0.0|100
0|2022-01-13|10432.0|0|10786.0|0|118.0|0|0.0|100
0|2022-01-14|10610.0|0|10786.0|0|120.0|0|0.0|100
0|2022-01-15|10610.0|0|10786.0|0|120.0|0|0.0|100
0|2022-01-16|10610.0|0|10863.0|0|120.0|0|0.0|100
0|2022-01-17|10610.0|0|0.0|100|120.0|0|0.0|100
