|dates|Brookings_SouthDakota_UnitedStates.JHU_ConfirmedCases.data|Brookings_SouthDakota_UnitedStates.JHU_ConfirmedCases.missing|Brookings_SouthDakota_UnitedStates.NYT_ConfirmedCases.data|Brookings_SouthDakota_UnitedStates.NYT_ConfirmedCases.missing|Brookings_SouthDakota_UnitedStates.JHU_ConfirmedDeaths.data|Brookings_SouthDakota_UnitedStates.JHU_ConfirmedDeaths.missing|Brookings_SouthDakota_UnitedStates.JHU_ConfirmedRecoveries.data|Brookings_SouthDakota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-11-16|5233.0|0|5233.0|0|39.0|0|0.0|100
0|2021-11-17|5249.0|0|5249.0|0|39.0|0|0.0|100
0|2021-11-18|5265.0|0|5265.0|0|39.0|0|0.0|100
0|2021-11-19|5272.0|0|5272.0|0|39.0|0|0.0|100
0|2021-11-20|5272.0|0|5272.0|0|39.0|0|0.0|100
0|2021-11-21|5272.0|0|5272.0|0|39.0|0|0.0|100
0|2021-11-22|5282.0|0|5282.0|0|39.0|0|0.0|100
0|2021-11-23|5308.0|0|5308.0|0|39.0|0|0.0|100
0|2021-11-24|5319.0|0|5319.0|0|40.0|0|0.0|100
0|2021-11-25|5319.0|0|5319.0|0|40.0|0|0.0|100
0|2021-11-26|5319.0|0|5319.0|0|40.0|0|0.0|100
0|2021-11-27|5319.0|0|5319.0|0|40.0|0|0.0|100
0|2021-11-28|5319.0|0|5319.0|0|40.0|0|0.0|100
0|2021-11-29|5333.0|0|5333.0|0|41.0|0|0.0|100
0|2021-11-30|5366.0|0|5366.0|0|41.0|0|0.0|100
0|2021-12-01|5389.0|0|5389.0|0|41.0|0|0.0|100
0|2021-12-02|5417.0|0|5417.0|0|41.0|0|0.0|100
0|2021-12-03|5444.0|0|5444.0|0|41.0|0|0.0|100
0|2021-12-04|5444.0|0|5444.0|0|41.0|0|0.0|100
0|2021-12-05|5444.0|0|5444.0|0|41.0|0|0.0|100
0|2021-12-06|5460.0|0|5460.0|0|42.0|0|0.0|100
0|2021-12-07|5495.0|0|5495.0|0|42.0|0|0.0|100
0|2021-12-08|5514.0|0|5514.0|0|42.0|0|0.0|100
0|2021-12-09|5515.0|0|5515.0|0|41.0|0|0.0|100
0|2021-12-10|5510.0|0|5510.0|0|41.0|0|0.0|100
0|2021-12-11|5510.0|0|5510.0|0|41.0|0|0.0|100
0|2021-12-12|5510.0|0|5510.0|0|41.0|0|0.0|100
0|2021-12-13|5519.0|0|5519.0|0|41.0|0|0.0|100
0|2021-12-14|5519.0|0|5542.0|0|41.0|0|0.0|100
0|2021-12-15|5563.0|0|5563.0|0|41.0|0|0.0|100
0|2021-12-16|5582.0|0|5582.0|0|41.0|0|0.0|100
0|2021-12-17|5603.0|0|5603.0|0|41.0|0|0.0|100
0|2021-12-18|5603.0|0|5603.0|0|41.0|0|0.0|100
0|2021-12-19|5603.0|0|5603.0|0|41.0|0|0.0|100
0|2021-12-20|5614.0|0|5614.0|0|41.0|0|0.0|100
0|2021-12-21|5640.0|0|5640.0|0|41.0|0|0.0|100
0|2021-12-22|5658.0|0|5658.0|0|41.0|0|0.0|100
0|2021-12-23|5669.0|0|5669.0|0|41.0|0|0.0|100
0|2021-12-24|5669.0|0|5669.0|0|41.0|0|0.0|100
0|2021-12-25|5669.0|0|5669.0|0|41.0|0|0.0|100
0|2021-12-26|5669.0|0|5669.0|0|41.0|0|0.0|100
0|2021-12-27|5682.0|0|5682.0|0|41.0|0|0.0|100
0|2021-12-28|5718.0|0|5718.0|0|41.0|0|0.0|100
0|2021-12-29|5745.0|0|5745.0|0|41.0|0|0.0|100
0|2021-12-30|5778.0|0|5778.0|0|41.0|0|0.0|100
0|2021-12-31|5778.0|0|5778.0|0|41.0|0|0.0|100
0|2022-01-01|5778.0|0|5778.0|0|41.0|0|0.0|100
0|2022-01-02|5778.0|0|5778.0|0|41.0|0|0.0|100
0|2022-01-03|5803.0|0|5803.0|0|41.0|0|0.0|100
0|2022-01-04|5889.0|0|5889.0|0|41.0|0|0.0|100
0|2022-01-05|5968.0|0|5968.0|0|41.0|0|0.0|100
0|2022-01-06|6066.0|0|6066.0|0|41.0|0|0.0|100
0|2022-01-07|6176.0|0|6176.0|0|41.0|0|0.0|100
0|2022-01-08|6176.0|0|6176.0|0|41.0|0|0.0|100
0|2022-01-09|6176.0|0|6176.0|0|41.0|0|0.0|100
0|2022-01-10|6280.0|0|6280.0|0|41.0|0|0.0|100
0|2022-01-11|6479.0|0|6479.0|0|41.0|0|0.0|100
0|2022-01-12|6604.0|0|6604.0|0|41.0|0|0.0|100
0|2022-01-13|6604.0|0|6741.0|0|41.0|0|0.0|100
0|2022-01-14|6741.0|0|6856.0|0|41.0|0|0.0|100
0|2022-01-15|6856.0|0|6856.0|0|41.0|0|0.0|100
0|2022-01-16|6856.0|0|6856.0|0|41.0|0|0.0|100
0|2022-01-17|6856.0|0|0.0|100|41.0|0|0.0|100
