|dates|Saline_Illinois_UnitedStates.JHU_ConfirmedCases.data|Saline_Illinois_UnitedStates.JHU_ConfirmedCases.missing|Saline_Illinois_UnitedStates.NYT_ConfirmedCases.data|Saline_Illinois_UnitedStates.NYT_ConfirmedCases.missing|Saline_Illinois_UnitedStates.JHU_ConfirmedDeaths.data|Saline_Illinois_UnitedStates.JHU_ConfirmedDeaths.missing|Saline_Illinois_UnitedStates.JHU_ConfirmedRecoveries.data|Saline_Illinois_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-12-18|4793.0|0|4793.0|0|74.0|0|0.0|100
0|2021-12-19|4793.0|0|4793.0|0|74.0|0|0.0|100
0|2021-12-20|4818.0|0|4818.0|0|74.0|0|0.0|100
0|2021-12-21|4841.0|0|4841.0|0|74.0|0|0.0|100
0|2021-12-22|4852.0|0|4852.0|0|74.0|0|0.0|100
0|2021-12-23|4871.0|0|4871.0|0|74.0|0|0.0|100
0|2021-12-24|4871.0|0|4871.0|0|74.0|0|0.0|100
0|2021-12-25|4871.0|0|4871.0|0|74.0|0|0.0|100
0|2021-12-26|4871.0|0|4871.0|0|74.0|0|0.0|100
0|2021-12-27|4925.0|0|4925.0|0|74.0|0|0.0|100
0|2021-12-28|4954.0|0|4954.0|0|74.0|0|0.0|100
0|2021-12-29|4981.0|0|4981.0|0|74.0|0|0.0|100
0|2021-12-30|5024.0|0|5024.0|0|74.0|0|0.0|100
0|2021-12-31|5024.0|0|5024.0|0|74.0|0|0.0|100
0|2022-01-01|5024.0|0|5024.0|0|74.0|0|0.0|100
0|2022-01-02|5024.0|0|5024.0|0|74.0|0|0.0|100
0|2022-01-03|5126.0|0|5126.0|0|76.0|0|0.0|100
0|2022-01-04|5194.0|0|5194.0|0|76.0|0|0.0|100
0|2022-01-05|5237.0|0|5237.0|0|77.0|0|0.0|100
0|2022-01-06|5320.0|0|5320.0|0|77.0|0|0.0|100
0|2022-01-07|5389.0|0|5389.0|0|78.0|0|0.0|100
0|2022-01-08|5389.0|0|5389.0|0|78.0|0|0.0|100
0|2022-01-09|5389.0|0|5389.0|0|78.0|0|0.0|100
0|2022-01-10|5581.0|0|5581.0|0|79.0|0|0.0|100
0|2022-01-11|5626.0|0|5626.0|0|79.0|0|0.0|100
0|2022-01-12|5714.0|0|5714.0|0|79.0|0|0.0|100
0|2022-01-13|5714.0|0|5902.0|0|79.0|0|0.0|100
0|2022-01-14|5981.0|0|5981.0|0|80.0|0|0.0|100
0|2022-01-15|5981.0|0|5981.0|0|80.0|0|0.0|100
0|2022-01-16|5981.0|0|5981.0|0|80.0|0|0.0|100
0|2022-01-17|5981.0|0|0.0|100|80.0|0|0.0|100
