|dates|Columbia_Washington_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Columbia_Washington_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Columbia_Washington_UnitedStates.Male_Total_Population.data|Columbia_Washington_UnitedStates.Male_Total_Population.missing|Columbia_Washington_UnitedStates.Female_Total_Population.data|Columbia_Washington_UnitedStates.Female_Total_Population.missing|Columbia_Washington_UnitedStates.MaleAndFemale_Under18_Population.data|Columbia_Washington_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-12-07|1131.0|0|1982.0|0|2077.0|0|765.0|0
0|2021-12-08|1131.0|0|1982.0|0|2077.0|0|765.0|0
0|2021-12-09|1131.0|0|1982.0|0|2077.0|0|765.0|0
0|2021-12-10|1131.0|0|1982.0|0|2077.0|0|765.0|0
0|2021-12-11|1131.0|0|1982.0|0|2077.0|0|765.0|0
0|2021-12-12|1131.0|0|1982.0|0|2077.0|0|765.0|0
0|2021-12-13|1131.0|0|1982.0|0|2077.0|0|765.0|0
0|2021-12-14|1131.0|0|1982.0|0|2077.0|0|765.0|0
0|2021-12-15|1131.0|0|1982.0|0|2077.0|0|765.0|0
0|2021-12-16|1131.0|0|1982.0|0|2077.0|0|765.0|0
0|2021-12-17|1131.0|0|1982.0|0|2077.0|0|765.0|0
0|2021-12-18|1131.0|0|1982.0|0|2077.0|0|765.0|0
0|2021-12-19|1131.0|0|1982.0|0|2077.0|0|765.0|0
0|2021-12-20|1131.0|0|1982.0|0|2077.0|0|765.0|0
0|2021-12-21|1131.0|0|1982.0|0|2077.0|0|765.0|0
0|2021-12-22|1131.0|0|1982.0|0|2077.0|0|765.0|0
0|2021-12-23|1131.0|0|1982.0|0|2077.0|0|765.0|0
0|2021-12-24|1131.0|0|1982.0|0|2077.0|0|765.0|0
0|2021-12-25|1131.0|0|1982.0|0|2077.0|0|765.0|0
0|2021-12-26|1131.0|0|1982.0|0|2077.0|0|765.0|0
0|2021-12-27|1131.0|0|1982.0|0|2077.0|0|765.0|0
0|2021-12-28|1131.0|0|1982.0|0|2077.0|0|765.0|0
0|2021-12-29|1131.0|0|1982.0|0|2077.0|0|765.0|0
0|2021-12-30|1131.0|0|1982.0|0|2077.0|0|765.0|0
0|2021-12-31|1131.0|0|1982.0|0|2077.0|0|765.0|0
0|2022-01-01|1131.0|0|1982.0|0|2077.0|0|765.0|0
0|2022-01-02|1131.0|0|1982.0|0|2077.0|0|765.0|0
0|2022-01-03|1131.0|0|1982.0|0|2077.0|0|765.0|0
0|2022-01-04|1131.0|0|1982.0|0|2077.0|0|765.0|0
0|2022-01-05|1131.0|0|1982.0|0|2077.0|0|765.0|0
0|2022-01-06|1131.0|0|1982.0|0|2077.0|0|765.0|0
0|2022-01-07|1131.0|0|1982.0|0|2077.0|0|765.0|0
0|2022-01-08|1131.0|0|1982.0|0|2077.0|0|765.0|0
0|2022-01-09|1131.0|0|1982.0|0|2077.0|0|765.0|0
0|2022-01-10|1131.0|0|1982.0|0|2077.0|0|765.0|0
0|2022-01-11|1131.0|0|1982.0|0|2077.0|0|765.0|0
0|2022-01-12|1131.0|0|1982.0|0|2077.0|0|765.0|0
0|2022-01-13|1131.0|0|1982.0|0|2077.0|0|765.0|0
0|2022-01-14|1131.0|0|1982.0|0|2077.0|0|765.0|0
0|2022-01-15|1131.0|0|1982.0|0|2077.0|0|765.0|0
0|2022-01-16|1131.0|0|1982.0|0|2077.0|0|765.0|0
0|2022-01-17|1131.0|0|1982.0|0|2077.0|0|765.0|0
