|dates|Edgar_Illinois_UnitedStates.JHU_ConfirmedCases.data|Edgar_Illinois_UnitedStates.JHU_ConfirmedCases.missing|Edgar_Illinois_UnitedStates.NYT_ConfirmedCases.data|Edgar_Illinois_UnitedStates.NYT_ConfirmedCases.missing|Edgar_Illinois_UnitedStates.JHU_ConfirmedDeaths.data|Edgar_Illinois_UnitedStates.JHU_ConfirmedDeaths.missing|Edgar_Illinois_UnitedStates.JHU_ConfirmedRecoveries.data|Edgar_Illinois_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-12-08|3064.0|0|3064.0|0|50.0|0|0.0|100
0|2021-12-09|3102.0|0|3102.0|0|51.0|0|0.0|100
0|2021-12-10|3137.0|0|3137.0|0|51.0|0|0.0|100
0|2021-12-11|3137.0|0|3137.0|0|51.0|0|0.0|100
0|2021-12-12|3137.0|0|3137.0|0|51.0|0|0.0|100
0|2021-12-13|3184.0|0|3184.0|0|51.0|0|0.0|100
0|2021-12-14|3184.0|0|3200.0|0|51.0|0|0.0|100
0|2021-12-15|3226.0|0|3226.0|0|51.0|0|0.0|100
0|2021-12-16|3254.0|0|3254.0|0|51.0|0|0.0|100
0|2021-12-17|3273.0|0|3273.0|0|51.0|0|0.0|100
0|2021-12-18|3273.0|0|3273.0|0|51.0|0|0.0|100
0|2021-12-19|3273.0|0|3273.0|0|51.0|0|0.0|100
0|2021-12-20|3313.0|0|3313.0|0|51.0|0|0.0|100
0|2021-12-21|3341.0|0|3341.0|0|51.0|0|0.0|100
0|2021-12-22|3359.0|0|3359.0|0|51.0|0|0.0|100
0|2021-12-23|3369.0|0|3369.0|0|51.0|0|0.0|100
0|2021-12-24|3369.0|0|3369.0|0|51.0|0|0.0|100
0|2021-12-25|3369.0|0|3369.0|0|51.0|0|0.0|100
0|2021-12-26|3369.0|0|3369.0|0|51.0|0|0.0|100
0|2021-12-27|3390.0|0|3390.0|0|51.0|0|0.0|100
0|2021-12-28|3433.0|0|3433.0|0|52.0|0|0.0|100
0|2021-12-29|3448.0|0|3448.0|0|52.0|0|0.0|100
0|2021-12-30|3475.0|0|3475.0|0|52.0|0|0.0|100
0|2021-12-31|3475.0|0|3475.0|0|52.0|0|0.0|100
0|2022-01-01|3475.0|0|3475.0|0|52.0|0|0.0|100
0|2022-01-02|3475.0|0|3475.0|0|52.0|0|0.0|100
0|2022-01-03|3511.0|0|3511.0|0|54.0|0|0.0|100
0|2022-01-04|3563.0|0|3563.0|0|54.0|0|0.0|100
0|2022-01-05|3600.0|0|3600.0|0|54.0|0|0.0|100
0|2022-01-06|3636.0|0|3636.0|0|55.0|0|0.0|100
0|2022-01-07|3671.0|0|3671.0|0|55.0|0|0.0|100
0|2022-01-08|3671.0|0|3671.0|0|55.0|0|0.0|100
0|2022-01-09|3671.0|0|3671.0|0|55.0|0|0.0|100
0|2022-01-10|3769.0|0|3769.0|0|55.0|0|0.0|100
0|2022-01-11|3838.0|0|3838.0|0|55.0|0|0.0|100
0|2022-01-12|3897.0|0|3897.0|0|55.0|0|0.0|100
0|2022-01-13|3897.0|0|3975.0|0|55.0|0|0.0|100
0|2022-01-14|4050.0|0|4050.0|0|55.0|0|0.0|100
0|2022-01-15|4050.0|0|4050.0|0|55.0|0|0.0|100
0|2022-01-16|4050.0|0|4050.0|0|55.0|0|0.0|100
0|2022-01-17|4050.0|0|0.0|100|55.0|0|0.0|100
